,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CNR CN,Canadian National Railway Co,,,,,,,,,,74%,9%,$      182.91,$        136.25,$        170.22,$           183.92,$        199.64,2.49%,1.58%,1.88%,4.58%,164.93%,175.25%,124%,,,,,,,NO,,,2.45%,1.49%,0.96%,0.02%,48
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Canadian National Railway Co - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.32%,11/10/2017,,,,,,,,,,$        170.22,-7%,1.73%,$        199.64,$          80.80,$             69.04,$          64.68,1.47%,2.32%,1.86%,1.72%,-0.55%,-0.55%,-14%,,,,5Y CAGR,5.14%,,Canadian National Railway Co - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.74%,,Canadian National Railway Co - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Canadian National Railway Co - Rating: 74% - Upside: 9%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       76.47,,,12/29/2014,,12/29/2014,,,,,1.96%,$             76.47,1.50,94.77,64.68,80.80,39%,24%,1.58%,2.32%,4.13%,139.19%,148.50%,7.12,1.86%,0.00%,,1997,0.00,-,74,,,0,1.49%,22,22,0.83%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       75.47,,,1/5/2015,,1/5/2015,,,,,1.99%,$             75.47,1.50,94.77,64.68,80.80,36%,26%,1.58%,2.32%,4.19%,142.36%,151.80%,7.12,1.86%,-1.31%,,1998,0.00,,9,,,1,1.51%,10,32,0.38%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       73.45,,,1/12/2015,,1/12/2015,,,,,2.04%,$             73.45,1.50,94.77,64.68,80.80,29%,29%,1.58%,2.32%,4.30%,149.03%,158.72%,7.12,1.86%,-3.95%,,1999,0.00,,,,,2,1.53%,17,49,0.64%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        71.93,,,1/19/2015,,1/20/2015,,,,,2.09%,$              71.93,1.50,94.77,64.68,80.80,24%,32%,1.58%,2.32%,4.39%,154.29%,164.19%,7.12,1.86%,-5.94%,,2000,0.00,,1/1/1970,1970,,3,1.55%,44,93,1.66%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       72.62,,,1/26/2015,,1/26/2015,,,,,2.07%,$             72.62,1.50,94.77,64.68,80.80,26%,30%,1.58%,2.32%,4.35%,151.87%,161.68%,7.12,1.86%,-5.03%,,2001,0.00,,1/1/1971,1971,,4,1.57%,53,146,2.00%
