,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,COLR BB,Etablissements Franz Colruyt N,,,,,,,,,,12%,125%,$       38.00,$           31.58,$          60.59,$             67.50,$          85.40,8.26%,2.11%,3.53%,8.84%,86.55%,86.55%,114%,,,,,,,NO,,,7.50%,1.97%,5.53%,0.10%,55
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Etablissements Franz Colruyt N - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.70%,11/10/2017,,,,,,,,,,$          60.59,59%,4.74%,$          85.40,$          37.03,$             20.37,$           19.30,1.94%,5.70%,2.97%,2.67%,-43.70%,-41.76%,-18%,,,,5Y CAGR,4.13%,,Etablissements Franz Colruyt N - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.86%,,Etablissements Franz Colruyt N - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Etablissements Franz Colruyt N - Rating: 12% - Upside: 125%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       47.66,,,12/29/2014,,12/29/2014,,,,,2.35%,€               47.66,1.12,53.13,19.65,37.70,84%,11%,2.11%,5.70%,3.78%,-20.27%,-10.13%,4.83,2.97%,0.00%,,1997,0.00,-,12,,,0,1.97%,70,70,2.59%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         47.45,,,1/5/2015,,1/5/2015,,,,,2.36%,€               47.45,1.12,53.13,19.65,37.70,83%,12%,2.11%,5.70%,3.79%,-19.92%,-9.74%,4.83,2.97%,-0.44%,,1998,0.00,,125,,,1,2.07%,103,173,3.81%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         46.92,,,1/12/2015,,1/12/2015,,,,,2.39%,€               46.92,1.12,53.13,19.65,37.70,81%,13%,2.11%,5.70%,3.84%,-19.00%,-8.71%,4.83,2.97%,-1.56%,,1999,0.00,,,,,2,2.17%,130,303,4.81%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                          46.51,,,1/19/2015,,1/20/2015,,,,,2.41%,€                46.51,1.12,53.13,19.65,37.70,80%,14%,2.11%,5.70%,3.87%,-18.29%,-7.90%,4.83,2.97%,-2.42%,,2000,0.00,,1/1/1970,1970,,3,2.27%,81,384,3.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         46.47,,,1/26/2015,,1/26/2015,,,,,2.41%,€               46.47,1.12,53.13,19.65,37.70,80%,14%,2.11%,5.70%,3.87%,-18.23%,-7.83%,4.83,2.97%,-2.50%,,2001,0.00,,1/1/1971,1971,,4,2.37%,152,536,5.63%
