,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,COST US,Costco,,,,,,,,,,92%,6%,$    935.03,$       368.35,$       560.74,$       1.094,32,$       987.09,1.30%,0.46%,0.83%,2.92%,588.53%,594.74%,117%,,,,,,,NO,,,1.28%,0.43%,0.85%,0.02%,43
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,4.35%,,Costco - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.22%,11/10/2017,,,,,,,,,,$       560.74,-40%,0.48%,$       987.09,$        218.07,$           135.80,$        143.25,0.41%,1.22%,0.80%,0.36%,-14.56%,-14.56%,-3%,,,,5Y CAGR,7.95%,,Costco - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,9.90%,,Costco - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Costco - Rating: 92% - Upside: 6%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     153.34,,,12/29/2014,,12/29/2014,,,,,1.14%,$           153.34,1.75,383.87,143.25,218.07,4%,150%,0.46%,1.22%,2.58%,509.77%,515.26%,8.43,0.80%,0.00%,,1997,0.00,-,92,,,0,0.43%,58,58,2.19%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                     153.72,,,1/5/2015,,1/5/2015,,,,,1.14%,$           153.72,1.75,383.87,143.25,218.07,4%,150%,0.46%,1.22%,2.58%,508.28%,513.76%,8.43,0.80%,0.00%,,1998,0.00,,6,,,1,0.45%,150,208,5.65%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     152.29,,,1/12/2015,,1/12/2015,,,,,1.15%,$           152.29,1.75,383.87,143.25,218.07,4%,152%,0.46%,1.22%,2.60%,513.96%,519.50%,8.43,0.80%,-0.93%,,1999,0.00,,,,,2,0.47%,125,333,4.71%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                      148.81,,,1/20/2015,,1/20/2015,,,,,1.18%,$            148.81,1.75,383.87,143.25,218.07,2%,158%,0.46%,1.22%,2.66%,528.36%,534.02%,8.43,0.80%,-3.20%,,2000,0.00,,1/1/1970,1970,,3,0.49%,94,427,3.54%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                     146.20,,,1/26/2015,,1/26/2015,,,,,1.20%,$           146.20,1.75,383.87,143.25,218.07,1%,163%,0.46%,1.22%,2.71%,539.55%,545.32%,8.43,0.80%,-4.89%,,2001,0.00,,1/1/1971,1971,,4,0.51%,61,488,2.30%
