,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CRDA LN,Croda International PLC,,,,,,,,,,2%,199%,$2.932,00,$  2.788,60,$  5.704,93,$     10.410,00,$  8.767,57,4.43%,1.23%,2.14%,4.43%,20.21%,20.21%,151%,,,,,,,NO,,,4.31%,0.95%,3.36%,0.05%,67
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Croda International PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.87%,11/10/2017,,,,,,,,,,$  5.704,93,95%,3.68%,$  8.767,57,$   3.828,41,$      2.439,00,$    1.871,35,0.91%,3.87%,1.89%,1.04%,-71.83%,-71.83%,-6%,,,,5Y CAGR,2.60%,,Croda International PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.07%,,Croda International PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Croda International PLC - Rating: 2% - Upside: 199%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                 3.174,44,,,12/29/2014,,12/29/2014,,,,,2.28%,3.174,44,72.48,5.883,66,1.871,35,3.828,41,32%,85%,1.23%,3.87%,3.40%,-7.64%,2.64%,326.3292683,1.89%,0.00%,,1997,0.00,-,2,,,0,0.95%,29,29,1.07%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,3.153,22,,,1/5/2015,,1/5/2015,,,,,2.30%,3.153,22,72.48,5.883,66,1.871,35,3.828,41,32%,87%,1.23%,3.87%,3.43%,-7.02%,3.33%,326.3292683,1.89%,-0.67%,,1998,0.00,,199,,,1,1.00%,32,61,1.19%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,3.129,88,,,1/12/2015,,1/12/2015,,,,,2.32%,3.129,88,72.48,5.883,66,1.871,35,3.828,41,31%,88%,1.23%,3.87%,3.45%,-6.32%,4.10%,326.3292683,1.89%,-1.40%,,1999,0.00,,,,,2,1.05%,27,88,1.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,3.069,40,,,1/19/2015,,1/20/2015,,,,,2.36%,3.069,40,72.48,5.883,66,1.871,35,3.828,41,30%,92%,1.23%,3.87%,3.52%,-4.48%,6.16%,326.3292683,1.89%,-3.31%,,2000,0.00,,1/1/1970,1970,,3,1.10%,14,102,0.52%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,3.052,43,,,1/26/2015,,1/26/2015,,,,,2.37%,3.052,43,72.48,5.883,66,1.871,35,3.828,41,29%,93%,1.23%,3.87%,3.54%,-3.95%,6.75%,326.3292683,1.89%,-3.84%,,2001,0.00,,1/1/1971,1971,,4,1.15%,7,109,0.26%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,3.001,50,,,2/2/2015,,2/2/2015,,,,,2.41%,3.001,50,72.48,5.883,66,1.871,35,3.828,41,28%,96%,1.23%,3.87%,3.60%,-2.32%,8.56%,326.3292683,1.89%,-5.45%,,2002,11.64,,1/1/1972,1972,,5,1.20%,18,127,0.67%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,3.041,82,,,2/9/2015,,2/9/2015,,,,,2.38%,3.041,82,72.48,5.883,66,1.871,35,3.828,41,29%,93%,1.23%,3.87%,3.55%,-3.61%,7.12%,326.3292683,1.89%,-4.18%,,2003,11.89,2.20%,1/1/1973,1973,,6,1.25%,12,139,0.44%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,3.078,95,,,2/16/2015,,2/17/2015,,,,,2.35%,3.078,95,72.48,5.883,66,1.871,35,3.828,41,30%,91%,1.23%,3.87%,3.51%,-4.77%,5.83%,326.3292683,1.89%,-3.01%,,2004,12.22,2.76%,1/1/1974,1974,,7,1.30%,31,170,1.15%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,3.041,82,,,2/23/2015,,2/23/2015,,,,,2.38%,3.041,82,72.48,5.883,66,1.871,35,3.828,41,29%,93%,1.23%,3.87%,3.55%,-3.61%,7.12%,326.3292683,1.89%,-4.18%,,2005,13.06,6.87%,1/1/1975,1975,,8,1.35%,52,222,1.93%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,3.056,67,,,3/2/2015,,3/2/2015,,,,,2.37%,3.056,67,72.48,5.883,66,1.871,35,3.828,41,30%,92%,1.23%,3.87%,3.53%,-4.08%,6.60%,326.3292683,1.89%,-3.71%,,2006,13.98,7.06%,1/1/1976,1976,,9,1.40%,93,315,3.45%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,3.043,94,,,3/9/2015,,3/9/2015,,,,,2.38%,3.043,94,72.48,5.883,66,1.871,35,3.828,41,29%,93%,1.23%,3.87%,3.55%,-3.68%,7.04%,326.3292683,1.89%,-4.11%,,2007,14.96,6.96%,1/1/1977,1977,,10,1.45%,104,419,3.85%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,3.064,10,,,3/16/2015,,3/16/2015,,,,,2.37%,3.064,10,72.48,5.883,66,1.871,35,3.828,41,30%,92%,1.23%,3.87%,3.52%,-4.31%,6.34%,326.3292683,1.89%,-3.48%,,2008,17.41,16.44%,1/1/1978,1978,,11,1.50%,135,554,5.00%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,2.966,49,,,3/23/2015,,3/23/2015,,,,,2.44%,2.966,49,72.48,5.883,66,1.871,35,3.828,41,27%,98%,1.23%,3.87%,3.64%,-1.16%,9.84%,326.3292683,1.89%,-6.55%,,2009,20.54,17.94%,1/1/1979,1979,,12,1.55%,92,646,3.41%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,2.998,32,,,3/30/2015,,3/30/2015,,,,,2.42%,2.998,32,72.48,5.883,66,1.871,35,3.828,41,28%,96%,1.23%,3.87%,3.60%,-2.21%,8.67%,326.3292683,1.89%,-5.55%,,2010,25.35,23.44%,1/1/1980,1980,,13,1.60%,74,720,2.74%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,3.028,02,,,4/7/2015,,4/6/2015,,,,,2.39%,3.028,02,72.48,5.883,66,1.871,35,3.828,41,29%,94%,1.23%,3.87%,3.57%,-3.17%,7.61%,326.3292683,1.89%,-4.61%,,2011,51.22,102.02%,1/1/1981,1981,,14,1.65%,55,775,2.04%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,3.088,50,,,4/13/2015,,4/13/2015,,,,,2.35%,3.088,50,72.48,5.883,66,1.871,35,3.828,41,30%,91%,1.23%,3.87%,3.50%,-5.07%,5.50%,326.3292683,1.89%,-2.71%,,2012,58.39,14.00%,1/1/1982,1982,,15,1.70%,132,907,4.89%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,3.048,18,,,4/20/2015,,4/20/2015,,,,,2.38%,3.048,18,72.48,5.883,66,1.871,35,3.828,41,29%,93%,1.23%,3.87%,3.54%,-3.81%,6.89%,326.3292683,1.89%,-3.98%,,2013,63.26,8.33%,1/1/1983,1983,,16,1.75%,175,1082,6.48%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,3.011,05,,,4/27/2015,,4/27/2015,,,,,2.41%,3.011,05,72.48,5.883,66,1.871,35,3.828,41,28%,95%,1.23%,3.87%,3.59%,-2.63%,8.21%,326.3292683,1.89%,-5.15%,,2014,66.59,5.26%,1/1/1984,1984,,17,1.80%,139,1221,5.15%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,2.969,67,,,5/5/2015,,5/4/2015,,,,,2.44%,2.969,67,72.48,5.883,66,1.871,35,3.828,41,27%,98%,1.23%,3.87%,3.64%,-1.27%,9.72%,326.3292683,1.89%,-6.45%,,2015,68.63,3.08%,1/1/1985,1985,,18,1.85%,123,1344,4.56%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,3.025,90,,,5/11/2015,,5/11/2015,,,,,2.40%,3.025,90,72.48,5.883,66,1.871,35,3.828,41,29%,94%,1.23%,3.87%,3.57%,-3.10%,7.68%,326.3292683,1.89%,-4.68%,,2016,72.48,5.60%,1/1/1986,1986,,19,1.90%,108,1452,4.00%
