,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CSL US,Carlisle Cos Inc,,,,,,,,,,37%,41%,$    336.04,$       254.56,$        334.91,$          480.93,$       475.43,2.04%,0.88%,1.25%,4.11%,331.82%,339.63%,132%,,,,,,,NO,,,1.80%,0.80%,1.00%,0.02%,50
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,9.49%,,Carlisle Cos Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.65%,11/10/2017,,,,,,,,,,$        334.91,0%,1.25%,$       475.43,$        103.66,$             77.82,$          78.79,0.77%,1.65%,1.25%,0.67%,-30.13%,-30.13%,-22%,,,,5Y CAGR,14.54%,,Carlisle Cos Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,12.44%,,Carlisle Cos Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Carlisle Cos Inc - Rating: 37% - Upside: 41%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       86.39,,,12/29/2014,,12/29/2014,,,,,1.50%,$             86.39,1.30,147.16,78.79,103.66,11%,70%,0.88%,1.65%,3.70%,288.98%,296.02%,6.08,1.25%,0.00%,,1997,0.00,-,37,,,0,0.80%,20,20,0.75%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       85.88,,,1/5/2015,,1/5/2015,,,,,1.51%,$             85.88,1.30,147.16,78.79,103.66,10%,71%,0.88%,1.65%,3.73%,291.29%,298.37%,6.08,1.25%,-0.59%,,1998,0.00,,41,,,1,0.82%,25,45,0.94%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       83.65,,,1/12/2015,,1/12/2015,,,,,1.55%,$             83.65,1.30,147.16,78.79,103.66,7%,76%,0.88%,1.65%,3.83%,301.72%,308.99%,6.08,1.25%,-3.17%,,1999,0.00,,,,,2,0.84%,22,67,0.83%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       80.94,,,1/20/2015,,1/20/2015,,,,,1.61%,$             80.94,1.30,147.16,78.79,103.66,3%,82%,0.88%,1.65%,3.95%,315.17%,322.68%,6.08,1.25%,-6.31%,,2000,0.00,,1/1/1970,1970,,3,0.86%,55,122,2.07%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       80.64,,,1/26/2015,,1/26/2015,,,,,1.61%,$             80.64,1.30,147.16,78.79,103.66,3%,82%,0.88%,1.65%,3.97%,316.72%,324.26%,6.08,1.25%,-6.66%,,2001,0.00,,1/1/1971,1971,,4,0.88%,60,182,2.26%
