,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CTBI US,Community Trust Bancorp Inc,,,,,,,,,,133%,-13%,$        76.15,$           36.31,$          50.56,$             76.98,$          66.25,5.45%,2.72%,3.65%,6.42%,171.48%,171.48%,136%,,,,,,,NO,,,5.35%,2.49%,2.87%,0.04%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Community Trust Bancorp Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.96%,11/10/2017,,,,,,,,,,$          50.56,-34%,2.36%,$          66.25,$          35.39,$             28.05,$          25.42,2.34%,4.96%,3.56%,2.34%,-1.08%,-1.08%,-11%,,,,5Y CAGR,2.77%,,Community Trust Bancorp Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.63%,,Community Trust Bancorp Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Community Trust Bancorp Inc - Rating: 133% - Upside: -13%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        34.10,,,12/29/2014,,12/29/2014,,,,,3.70%,$              34.10,1.26,46.38,25.42,35.39,41%,36%,2.72%,4.96%,5.28%,123.31%,139.21%,5.42,3.56%,0.00%,,1997,0.00,-,133,,,0,2.49%,8,8,0.30%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       34.36,,,1/5/2015,,1/5/2015,,,,,3.67%,$             34.36,1.26,46.38,25.42,35.39,43%,35%,2.72%,4.96%,5.24%,121.62%,137.40%,5.42,3.56%,0.00%,,1998,0.00,,-13,,,1,2.53%,11,19,0.41%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        34.61,,,1/12/2015,,1/12/2015,,,,,3.64%,$              34.61,1.26,46.38,25.42,35.39,44%,34%,2.72%,4.96%,5.20%,120.02%,135.68%,5.42,3.56%,0.00%,,1999,0.00,,,,,2,2.57%,9,28,0.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       33.85,,,1/20/2015,,1/20/2015,,,,,3.72%,$             33.85,1.26,46.38,25.42,35.39,40%,37%,2.72%,4.96%,5.32%,124.96%,140.97%,5.42,3.56%,-2.20%,,2000,0.00,,1/1/1970,1970,,3,2.61%,23,51,0.87%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        33.81,,,1/26/2015,,1/26/2015,,,,,3.73%,$              33.81,1.26,46.38,25.42,35.39,40%,37%,2.72%,4.96%,5.32%,125.23%,141.26%,5.42,3.56%,-2.31%,,2001,0.00,,1/1/1971,1971,,4,2.65%,38,89,1.43%
