,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CU CN,Canadian Utilities Ltd,,,,,,,,,,121%,-8%,$       55.85,$          30.82,$          37.64,$             55.85,$           51.45,6.82%,3.49%,4.67%,7.02%,118.59%,118.59%,121%,,,,,,,NO,,,6.17%,3.27%,2.90%,0.04%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Canadian Utilities Ltd - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.82%,11/10/2017,,,,,,,,,,$          37.64,-33%,3.21%,$           51.45,$          27.27,$             25.55,$          22.33,3.21%,5.82%,4.77%,3.21%,0.00%,0.00%,-22%,,,,5Y CAGR,0.40%,,Canadian Utilities Ltd - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.28%,,Canadian Utilities Ltd - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Canadian Utilities Ltd - Rating: 121% - Upside: -8%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        31.89,,,12/29/2014,,12/29/2014,,,,,4.08%,$              31.89,1.30,37.27,22.33,27.27,64%,17%,3.49%,5.82%,5.63%,75.13%,93.93%,5.994,4.77%,0.00%,,1997,0.00,-,121,,,0,3.27%,15,15,0.57%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       32.02,,,1/5/2015,,1/5/2015,,,,,4.06%,$             32.02,1.30,37.27,22.33,27.27,65%,16%,3.49%,5.82%,5.60%,74.42%,93.14%,5.994,4.77%,0.00%,,1998,0.00,,-8,,,1,3.31%,17,32,0.64%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        31.86,,,1/12/2015,,1/12/2015,,,,,4.08%,$              31.86,1.30,37.27,22.33,27.27,64%,17%,3.49%,5.82%,5.63%,75.30%,94.11%,5.994,4.77%,-0.50%,,1999,0.00,,,,,2,3.35%,14,46,0.53%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       30.92,,,1/19/2015,,1/20/2015,,,,,4.20%,$             30.92,1.30,37.27,22.33,27.27,57%,21%,3.49%,5.82%,5.80%,80.63%,100.01%,5.994,4.77%,-3.44%,,2000,0.00,,1/1/1970,1970,,3,3.39%,24,70,0.91%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        31.97,,,1/26/2015,,1/26/2015,,,,,4.07%,$              31.97,1.30,37.27,22.33,27.27,65%,17%,3.49%,5.82%,5.61%,74.70%,93.44%,5.994,4.77%,-0.16%,,2001,0.00,,1/1/1971,1971,,4,3.43%,33,103,1.25%
