,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CWC GR,Cewe Stiftung & Co KGAA,,,,,,,,,,28%,37%,$       97.40,$          83.40,$        102.27,$           137.60,$        133.59,3.39%,1.83%,2.38%,5.20%,106.66%,121.94%,126%,,,,,,,NO,,,3.30%,1.73%,1.57%,0.02%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Cewe Stiftung & Co KGAA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.94%,11/10/2017,,,,,,,,,,$        102.27,5%,2.52%,$        133.59,$          66.79,$              47.13,$          54.46,1.67%,2.94%,2.40%,1.78%,-29.22%,-29.22%,-22%,,,,5Y CAGR,1.27%,,Cewe Stiftung & Co KGAA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.35%,,Cewe Stiftung & Co KGAA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Cewe Stiftung & Co KGAA - Rating: 28% - Upside: 37%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       54.08,,,12/29/2014,,12/29/2014,,,,,2.96%,€               54.08,1.60,87.24,54.46,66.79,-1%,61%,1.83%,2.94%,4.53%,80.10%,93.42%,7.2,2.40%,0.00%,,1997,0.00,-,28,,,0,1.73%,20,20,0.75%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         52.93,,,1/5/2015,,1/5/2015,,,,,3.02%,€               52.93,1.60,87.24,54.46,66.79,-5%,65%,1.83%,2.94%,4.63%,84.02%,97.62%,7.2,2.40%,-2.13%,,1998,0.00,,37,,,1,1.75%,22,42,0.82%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         52.33,,,1/12/2015,,1/12/2015,,,,,3.06%,€               52.33,1.60,87.24,54.46,66.79,-7%,67%,1.83%,2.94%,4.68%,86.13%,99.89%,7.2,2.40%,-3.24%,,1999,0.00,,,,,2,1.77%,23,65,0.86%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         49.52,,,1/19/2015,,1/20/2015,,,,,3.23%,€               49.52,1.60,87.24,54.46,66.79,-15%,76%,1.83%,2.94%,4.95%,96.71%,111.25%,7.2,2.40%,-8.44%,,2000,0.00,,1/1/1970,1970,,3,1.79%,24,89,0.90%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         52.83,,,1/26/2015,,1/26/2015,,,,,3.03%,€               52.83,1.60,87.24,54.46,66.79,-5%,65%,1.83%,2.94%,4.64%,84.36%,97.99%,7.2,2.40%,-2.31%,,2001,0.00,,1/1/1971,1971,,4,1.81%,28,117,1.04%
