,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CWK LN,Cranswick PLC,,,,,,,,,,107%,-3%,$5.480,00,$   3.204,17,$  4.520,00,$      5.690,00,$  5.340,43,2.95%,1.53%,1.90%,4.31%,189.95%,200.33%,126%,,,,,,,NO,,,2.79%,1.44%,1.35%,0.02%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Cranswick PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.54%,11/10/2017,,,,,,,,,,$  4.520,00,-18%,1.49%,$  5.340,43,$   2.162,94,$       1.890,00,$   1.533,28,1.38%,2.54%,1.80%,1.43%,-3.69%,-3.69%,-21%,,,,5Y CAGR,2.71%,,Cranswick PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.65%,,Cranswick PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Cranswick PLC - Rating: 107% - Upside: -3%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                  1.913,00,,,12/29/2014,,12/29/2014,,,,,2.04%,1.913,00,39.00,2.555,55,1.533,28,2.162,94,37%,34%,1.53%,2.54%,4.26%,186.46%,196.72%,196.3,1.80%,0.00%,,1997,0.00,-,107,,,0,1.44%,11,11,0.41%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.918,00,,,1/5/2015,,1/5/2015,,,,,2.03%,1.918,00,39.00,2.555,55,1.533,28,2.162,94,38%,33%,1.53%,2.54%,4.25%,185.71%,195.95%,196.3,1.80%,0.00%,,1998,0.00,,-3,,,1,1.46%,23,34,0.85%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.910,00,,,1/12/2015,,1/12/2015,,,,,2.04%,1.910,00,39.00,2.555,55,1.533,28,2.162,94,37%,34%,1.53%,2.54%,4.27%,186.91%,197.19%,196.3,1.80%,-0.42%,,1999,0.00,,,,,2,1.48%,30,64,1.11%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.902,00,,,1/19/2015,,1/20/2015,,,,,2.05%,1.902,00,39.00,2.555,55,1.533,28,2.162,94,36%,34%,1.53%,2.54%,4.28%,188.12%,198.44%,196.3,1.80%,-0.83%,,2000,0.00,,1/1/1970,1970,,3,1.50%,27,91,1.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.916,00,,,1/26/2015,,1/26/2015,,,,,2.04%,1.916,00,39.00,2.555,55,1.533,28,2.162,94,37%,33%,1.53%,2.54%,4.25%,186.01%,196.26%,196.3,1.80%,-0.10%,,2001,0.00,,1/1/1971,1971,,4,1.52%,73,164,2.70%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.930,00,,,2/2/2015,,2/2/2015,,,,,2.02%,1.930,00,39.00,2.555,55,1.533,28,2.162,94,39%,32%,1.53%,2.54%,4.22%,183.94%,194.11%,196.3,1.80%,0.00%,,2002,12.00,,1/1/1972,1972,,5,1.54%,99,263,3.67%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,1.920,00,,,2/9/2015,,2/9/2015,,,,,2.03%,1.920,00,39.00,2.555,55,1.533,28,2.162,94,38%,33%,1.53%,2.54%,4.24%,185.42%,195.64%,196.3,1.80%,-0.52%,,2003,12.40,3.33%,1/1/1973,1973,,6,1.56%,62,325,2.30%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,1.928,00,,,2/16/2015,,2/17/2015,,,,,2.02%,1.928,00,39.00,2.555,55,1.533,28,2.162,94,39%,33%,1.53%,2.54%,4.23%,184.23%,194.41%,196.3,1.80%,-0.10%,,2004,13.50,8.87%,1/1/1974,1974,,7,1.58%,56,381,2.07%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,1.917,00,,,2/23/2015,,2/23/2015,,,,,2.03%,1.917,00,39.00,2.555,55,1.533,28,2.162,94,38%,33%,1.53%,2.54%,4.25%,185.86%,196.10%,196.3,1.80%,-0.67%,,2005,15.20,12.59%,1/1/1975,1975,,8,1.60%,80,461,2.96%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,1.931,00,,,3/2/2015,,3/2/2015,,,,,2.02%,1.931,00,39.00,2.555,55,1.533,28,2.162,94,39%,32%,1.53%,2.54%,4.22%,183.79%,193.96%,196.3,1.80%,0.00%,,2006,17.00,11.84%,1/1/1976,1976,,9,1.62%,103,564,3.82%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,1.912,00,,,3/9/2015,,3/9/2015,,,,,2.04%,1.912,00,39.00,2.555,55,1.533,28,2.162,94,37%,34%,1.53%,2.54%,4.26%,186.61%,196.88%,196.3,1.80%,-0.98%,,2007,18.70,10.00%,1/1/1977,1977,,10,1.64%,128,692,4.74%
