,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CWT US,California Water Service Group,,,,,,,,,,27%,39%,$       50.72,$          43.45,$          55.07,$              71.87,$          70.63,3.01%,1.47%,1.91%,4.53%,120.91%,133.75%,139%,,,,,,,NO,,,2.93%,1.33%,1.60%,0.02%,80
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,California Water Service Group - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.39%,11/10/2017,,,,,,,,,,$          55.07,9%,2.05%,$          70.63,$          36.54,$             22.96,$          28.83,1.28%,2.39%,1.89%,1.45%,-29.43%,-29.43%,-33%,,,,5Y CAGR,2.48%,,California Water Service Group - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.19%,,California Water Service Group - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,California Water Service Group - Rating: 27% - Upside: 39%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        23.15,,,12/29/2014,,12/29/2014,,,,,2.98%,$              23.15,0.69,46.86,28.83,36.54,-31%,102%,1.47%,2.39%,4.49%,119.09%,131.84%,2.95,1.89%,0.00%,,1997,0.00,-,27,,,0,1.33%,1,1,0.04%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       23.24,,,1/5/2015,,1/5/2015,,,,,2.97%,$             23.24,0.69,46.86,28.83,36.54,-31%,102%,1.47%,2.39%,4.48%,118.24%,130.94%,2.95,1.89%,0.00%,,1998,0.00,,39,,,1,1.35%,6,7,0.23%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        23.51,,,1/12/2015,,1/12/2015,,,,,2.93%,$              23.51,0.69,46.86,28.83,36.54,-29%,99%,1.47%,2.39%,4.42%,115.74%,128.29%,2.95,1.89%,0.00%,,1999,0.00,,,,,2,1.37%,5,12,0.19%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       23.23,,,1/20/2015,,1/20/2015,,,,,2.97%,$             23.23,0.69,46.86,28.83,36.54,-31%,102%,1.47%,2.39%,4.48%,118.34%,131.04%,2.95,1.89%,-1.19%,,2000,0.00,,1/1/1970,1970,,3,1.39%,12,24,0.45%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       23.42,,,1/26/2015,,1/26/2015,,,,,2.95%,$             23.42,0.69,46.86,28.83,36.54,-30%,100%,1.47%,2.39%,4.44%,116.57%,129.16%,2.95,1.89%,-0.38%,,2001,0.00,,1/1/1971,1971,,4,1.41%,24,48,0.90%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        23.51,,,2/2/2015,,2/2/2015,,,,,2.93%,$              23.51,0.69,46.86,28.83,36.54,-29%,99%,1.47%,2.39%,4.42%,115.74%,128.29%,2.95,1.89%,0.00%,,2002,0.56,,1/1/1972,1972,,5,1.43%,32,80,1.21%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       23.40,,,2/9/2015,,2/9/2015,,,,,2.95%,$             23.40,0.69,46.86,28.83,36.54,-30%,100%,1.47%,2.39%,4.44%,116.75%,129.36%,2.95,1.89%,-0.47%,,2003,0.56,0.45%,1/1/1973,1973,,6,1.45%,44,124,1.66%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       23.40,,,2/17/2015,,2/17/2015,,,,,2.95%,$             23.40,0.69,46.86,28.83,36.54,-30%,100%,1.47%,2.39%,4.44%,116.75%,129.36%,2.95,1.89%,-0.47%,,2004,0.57,0.44%,1/1/1974,1974,,7,1.47%,24,148,0.90%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       23.57,,,2/23/2015,,2/23/2015,,,,,2.93%,$             23.57,0.69,46.86,28.83,36.54,-29%,99%,1.47%,2.39%,4.41%,115.19%,127.70%,2.95,1.89%,0.00%,,2005,0.57,0.88%,1/1/1975,1975,,8,1.49%,32,180,1.21%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       22.96,,,3/2/2015,,3/2/2015,,,,,3.01%,$             22.96,0.69,46.86,28.83,36.54,-33%,104%,1.47%,2.39%,4.53%,120.91%,133.75%,2.95,1.89%,-2.59%,,2006,0.58,0.88%,1/1/1976,1976,,9,1.51%,46,226,1.73%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       23.26,,,3/9/2015,,3/9/2015,,,,,2.97%,$             23.26,0.69,46.86,28.83,36.54,-31%,101%,1.47%,2.39%,4.47%,118.06%,130.74%,2.95,1.89%,-1.32%,,2007,0.58,0.87%,1/1/1977,1977,,10,1.53%,62,288,2.34%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       23.30,,,3/16/2015,,3/16/2015,,,,,2.96%,$             23.30,0.69,46.86,28.83,36.54,-31%,101%,1.47%,2.39%,4.46%,117.68%,130.34%,2.95,1.89%,-1.15%,,2008,0.59,0.86%,1/1/1978,1978,,11,1.55%,87,375,3.28%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        23.31,,,3/23/2015,,3/23/2015,,,,,2.96%,$              23.31,0.69,46.86,28.83,36.54,-31%,101%,1.47%,2.39%,4.46%,117.59%,130.24%,2.95,1.89%,-1.10%,,2009,0.59,0.85%,1/1/1979,1979,,12,1.57%,72,447,2.71%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       23.88,,,3/30/2015,,3/30/2015,,,,,2.89%,$             23.88,0.69,46.86,28.83,36.54,-27%,96%,1.47%,2.39%,4.36%,112.40%,124.75%,2.95,1.89%,0.00%,,2010,0.60,0.85%,1/1/1980,1980,,13,1.59%,57,504,2.15%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        23.81,,,4/6/2015,,4/6/2015,,,,,2.90%,$              23.81,0.69,46.86,28.83,36.54,-28%,97%,1.47%,2.39%,4.37%,113.02%,125.41%,2.95,1.89%,-0.29%,,2011,0.62,3.36%,1/1/1981,1981,,14,1.61%,61,565,2.30%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       23.70,,,4/13/2015,,4/13/2015,,,,,2.91%,$             23.70,0.69,46.86,28.83,36.54,-28%,98%,1.47%,2.39%,4.39%,114.01%,126.46%,2.95,1.89%,-0.75%,,2012,0.63,2.44%,1/1/1982,1982,,15,1.63%,60,625,2.26%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       23.74,,,4/20/2015,,4/20/2015,,,,,2.91%,$             23.74,0.69,46.86,28.83,36.54,-28%,97%,1.47%,2.39%,4.38%,113.65%,126.07%,2.95,1.89%,-0.59%,,2013,0.64,1.59%,1/1/1983,1983,,16,1.65%,68,693,2.56%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       24.45,,,4/27/2015,,4/27/2015,,,,,2.82%,$             24.45,0.69,46.86,28.83,36.54,-24%,92%,1.47%,2.39%,4.25%,107.44%,119.51%,2.95,1.89%,0.00%,,2014,0.65,1.56%,1/1/1984,1984,,17,1.67%,52,745,1.96%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       25.09,,,5/4/2015,,5/4/2015,,,,,2.75%,$             25.09,0.69,46.86,28.83,36.54,-21%,87%,1.47%,2.39%,4.15%,102.15%,113.91%,2.95,1.89%,0.00%,,2015,0.67,3.08%,1/1/1985,1985,,18,1.69%,75,820,2.83%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                        25.18,,,5/11/2015,,5/11/2015,,,,,2.74%,$              25.18,0.69,46.86,28.83,36.54,-20%,86%,1.47%,2.39%,4.13%,101.43%,113.15%,2.95,1.89%,0.00%,,2016,0.69,2.99%,1/1/1986,1986,,19,1.71%,59,879,2.22%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       24.96,,,5/18/2015,,5/18/2015,,,,,2.76%,$             24.96,0.69,46.86,28.83,36.54,-21%,88%,1.47%,2.39%,4.17%,103.21%,115.02%,2.95,1.89%,-0.87%,,2017,0.72,4.35%,1/1/1987,1987,,20,1.73%,37,916,1.39%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       24.98,,,5/26/2015,,5/26/2015,,,,,2.76%,$             24.98,0.69,46.86,28.83,36.54,-21%,88%,1.47%,2.39%,4.16%,103.04%,114.85%,2.95,1.89%,-0.79%,,2018,0.75,4.17%,1/1/1988,1988,,21,1.75%,50,966,1.88%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       24.00,,,6/1/2015,,6/1/2015,,,,,2.88%,$             24.00,0.69,46.86,28.83,36.54,-27%,95%,1.47%,2.39%,4.33%,111.33%,123.63%,2.95,1.89%,-4.69%,,2019,0.79,5.33%,1/1/1989,1989,,22,1.77%,43,1009,1.62%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       23.53,,,6/8/2015,,6/8/2015,,,,,2.93%,$             23.53,0.69,46.86,28.83,36.54,-29%,99%,1.47%,2.39%,4.42%,115.55%,128.09%,2.95,1.89%,-6.55%,,2020,0.85,7.59%,1/1/1990,1990,,23,1.79%,57,1066,2.15%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       24.25,,,6/15/2015,,6/15/2015,,,,,2.85%,$             24.25,0.69,46.86,28.83,36.54,-25%,93%,1.47%,2.39%,4.29%,109.15%,121.32%,2.95,1.89%,-3.69%,,2021,0.92,8.24%,1/1/1991,1991,,24,1.81%,72,1138,2.71%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       24.55,,,6/22/2015,,6/22/2015,,,,,2.81%,$             24.55,0.69,46.86,28.83,36.54,-24%,91%,1.47%,2.39%,4.24%,106.60%,118.62%,2.95,1.89%,-2.50%,,2022,1.00,8.70%,1/1/1992,1992,,25,1.83%,66,1204,2.49%
