,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DCI US,Donaldson Co Inc,,,,,,,,,,118%,-7%,$       92.79,$          48.28,$          63.34,$            110.57,$           85.91,2.66%,1.14%,1.56%,3.74%,254.57%,265.93%,166%,,,,,,,NO,,,2.54%,0.92%,1.62%,0.03%,54
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Donaldson Co Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.03%,11/10/2017,,,,,,,,,,$          63.34,-32%,1.06%,$           85.91,$          44.92,$              26.17,$          34.24,0.89%,2.03%,1.55%,0.89%,-16.08%,-16.08%,-30%,,,,5Y CAGR,2.41%,,Donaldson Co Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.50%,,Donaldson Co Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Donaldson Co Inc - Rating: 118% - Upside: -7%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       28.43,,,12/29/2014,,12/29/2014,,,,,2.44%,$             28.43,0.70,60.93,34.24,44.92,-22%,114%,1.14%,2.03%,3.45%,226.38%,236.84%,2.975,1.55%,0.00%,,1997,0.00,-,118,,,0,0.92%,2,2,0.08%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       27.97,,,1/5/2015,,1/5/2015,,,,,2.48%,$             27.97,0.70,60.93,34.24,44.92,-23%,118%,1.14%,2.03%,3.50%,231.75%,242.38%,2.975,1.55%,-1.62%,,1998,0.00,,-7,,,1,0.95%,12,14,0.45%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       27.33,,,1/12/2015,,1/12/2015,,,,,2.54%,$             27.33,0.70,60.93,34.24,44.92,-26%,123%,1.14%,2.03%,3.59%,239.52%,250.40%,2.975,1.55%,-3.87%,,1999,0.00,,,,,2,0.98%,2,16,0.08%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       26.45,,,1/20/2015,,1/20/2015,,,,,2.63%,$             26.45,0.70,60.93,34.24,44.92,-29%,130%,1.14%,2.03%,3.71%,250.81%,262.06%,2.975,1.55%,-6.96%,,2000,0.00,,1/1/1970,1970,,3,1.01%,4,20,0.15%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        27.12,,,1/26/2015,,1/26/2015,,,,,2.56%,$              27.12,0.70,60.93,34.24,44.92,-27%,125%,1.14%,2.03%,3.61%,242.15%,253.12%,2.975,1.55%,-4.61%,,2001,0.00,,1/1/1971,1971,,4,1.04%,16,36,0.60%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       26.79,,,2/2/2015,,2/2/2015,,,,,2.59%,$             26.79,0.70,60.93,34.24,44.92,-28%,127%,1.14%,2.03%,3.66%,246.36%,257.47%,2.975,1.55%,-5.77%,,2002,0.08,,1/1/1972,1972,,5,1.07%,28,64,1.06%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        27.01,,,2/9/2015,,2/9/2015,,,,,2.57%,$              27.01,0.70,60.93,34.24,44.92,-27%,126%,1.14%,2.03%,3.63%,243.54%,254.55%,2.975,1.55%,-4.99%,,2003,0.09,12.12%,1/1/1973,1973,,6,1.10%,40,104,1.51%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       26.60,,,2/17/2015,,2/17/2015,,,,,2.61%,$             26.60,0.70,60.93,34.24,44.92,-29%,129%,1.14%,2.03%,3.68%,248.83%,260.02%,2.975,1.55%,-6.44%,,2004,0.11,21.62%,1/1/1974,1974,,7,1.13%,40,144,1.51%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       27.42,,,2/23/2015,,2/23/2015,,,,,2.53%,$             27.42,0.70,60.93,34.24,44.92,-26%,122%,1.14%,2.03%,3.57%,238.40%,249.25%,2.975,1.55%,-3.55%,,2005,0.14,24.44%,1/1/1975,1975,,8,1.16%,34,178,1.28%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        27.10,,,3/2/2015,,3/2/2015,,,,,2.56%,$              27.10,0.70,60.93,34.24,44.92,-27%,125%,1.14%,2.03%,3.62%,242.40%,253.38%,2.975,1.55%,-4.68%,,2006,0.17,21.43%,1/1/1976,1976,,9,1.19%,28,206,1.06%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       26.47,,,3/9/2015,,3/9/2015,,,,,2.63%,$             26.47,0.70,60.93,34.24,44.92,-29%,130%,1.14%,2.03%,3.70%,250.55%,261.79%,2.975,1.55%,-6.89%,,2007,0.19,11.76%,1/1/1977,1977,,10,1.22%,9,215,0.34%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        26.17,,,3/16/2015,,3/16/2015,,,,,2.66%,$              26.17,0.70,60.93,34.24,44.92,-30%,133%,1.14%,2.03%,3.74%,254.57%,265.93%,2.975,1.55%,-7.95%,,2008,0.22,17.11%,1/1/1978,1978,,11,1.25%,30,245,1.13%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        26.71,,,3/23/2015,,3/23/2015,,,,,2.60%,$              26.71,0.70,60.93,34.24,44.92,-28%,128%,1.14%,2.03%,3.67%,247.40%,258.54%,2.975,1.55%,-6.05%,,2009,0.23,3.37%,1/1/1979,1979,,12,1.28%,38,283,1.43%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       27.02,,,3/30/2015,,3/30/2015,,,,,2.57%,$             27.02,0.70,60.93,34.24,44.92,-27%,125%,1.14%,2.03%,3.63%,243.41%,254.42%,2.975,1.55%,-4.96%,,2010,0.25,7.61%,1/1/1980,1980,,13,1.31%,103,386,3.88%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       26.58,,,4/6/2015,,4/6/2015,,,,,2.61%,$             26.58,0.70,60.93,34.24,44.92,-29%,129%,1.14%,2.03%,3.69%,249.10%,260.29%,2.975,1.55%,-6.51%,,2011,0.29,17.17%,1/1/1981,1981,,14,1.34%,109,495,4.11%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       27.76,,,4/13/2015,,4/13/2015,,,,,2.50%,$             27.76,0.70,60.93,34.24,44.92,-24%,119%,1.14%,2.03%,3.53%,234.26%,244.97%,2.975,1.55%,-2.36%,,2012,0.35,20.69%,1/1/1982,1982,,15,1.37%,95,590,3.58%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       27.38,,,4/20/2015,,4/20/2015,,,,,2.54%,$             27.38,0.70,60.93,34.24,44.92,-26%,123%,1.14%,2.03%,3.58%,238.90%,249.76%,2.975,1.55%,-3.69%,,2013,0.50,42.86%,1/1/1983,1983,,16,1.40%,115,705,4.33%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       27.53,,,4/27/2015,,4/27/2015,,,,,2.52%,$             27.53,0.70,60.93,34.24,44.92,-25%,121%,1.14%,2.03%,3.56%,237.05%,247.86%,2.975,1.55%,-3.17%,,2014,0.64,27.00%,1/1/1984,1984,,17,1.43%,114,819,4.30%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                        28.18,,,5/4/2015,,5/4/2015,,,,,2.47%,$              28.18,0.70,60.93,34.24,44.92,-23%,116%,1.14%,2.03%,3.48%,229.28%,239.83%,2.975,1.55%,-0.88%,,2015,0.68,6.30%,1/1/1985,1985,,18,1.46%,145,964,5.46%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                        28.15,,,5/11/2015,,5/11/2015,,,,,2.47%,$              28.15,0.70,60.93,34.24,44.92,-23%,116%,1.14%,2.03%,3.48%,229.63%,240.20%,2.975,1.55%,-0.98%,,2016,0.70,2.96%,1/1/1986,1986,,19,1.49%,151,1115,5.69%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       27.72,,,5/18/2015,,5/18/2015,,,,,2.51%,$             27.72,0.70,60.93,34.24,44.92,-24%,120%,1.14%,2.03%,3.54%,234.74%,245.47%,2.975,1.55%,-2.50%,,2017,0.71,2.16%,1/1/1987,1987,,20,1.52%,199,1314,7.50%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       28.37,,,5/26/2015,,5/26/2015,,,,,2.45%,$             28.37,0.70,60.93,34.24,44.92,-22%,115%,1.14%,2.03%,3.45%,227.07%,237.56%,2.975,1.55%,-0.21%,,2018,0.75,5.63%,1/1/1988,1988,,21,1.55%,206,1520,7.76%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       29.62,,,6/1/2015,,6/1/2015,,,,,2.35%,$             29.62,0.70,60.93,34.24,44.92,-17%,106%,1.14%,2.03%,3.31%,213.27%,223.31%,2.975,1.55%,0.00%,,2019,0.82,9.33%,1/1/1989,1989,,22,1.58%,163,1683,6.14%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                        29.71,,,6/8/2015,,6/8/2015,,,,,2.34%,$              29.71,0.70,60.93,34.24,44.92,-17%,105%,1.14%,2.03%,3.30%,212.32%,222.33%,2.975,1.55%,0.00%,,2020,0.84,2.44%,1/1/1990,1990,,23,1.61%,112,1795,4.22%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       29.95,,,6/15/2015,,6/15/2015,,,,,2.32%,$             29.95,0.70,60.93,34.24,44.92,-16%,103%,1.14%,2.03%,3.27%,209.82%,219.75%,2.975,1.55%,0.00%,,2021,0.87,3.57%,1/1/1991,1991,,24,1.64%,136,1931,5.12%
