,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DG US,Dollar General Corp,,,,,,,,,,20%,111%,$      117.23,$          84.73,$        186.43,$          260.44,$       288.83,2.59%,0.72%,1.18%,2.64%,75.05%,81.63%,122%,,,,,,,NO,,,2.46%,0.64%,1.82%,0.03%,61
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Dollar General Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.09%,11/10/2017,,,,,,,,,,$         159.41,36%,1.51%,$       246.97,$          90.06,$             66.97,$          47.87,0.63%,2.09%,1.11%,0.68%,-54.99%,-54.99%,-10%,,,,5Y CAGR,1.79%,,Dollar General Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.88%,,Dollar General Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Dollar General Corp - Rating: 20% - Upside: 111%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        72.41,,,12/29/2014,,12/29/2014,,,,,1.38%,$              72.41,1.00,139.53,47.87,90.06,27%,93%,0.72%,2.09%,2.44%,61.90%,67.99%,4.41,1.11%,0.00%,,1997,0.00,-,20,,,0,0.64%,53,53,2.00%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       72.83,,,1/5/2015,,1/5/2015,,,,,1.37%,$             72.83,1.00,139.53,47.87,90.06,27%,92%,0.72%,2.09%,2.43%,60.96%,67.02%,4.41,1.11%,0.00%,,1998,0.00,,111,,,1,0.67%,44,97,1.66%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        72.71,,,1/12/2015,,1/12/2015,,,,,1.38%,$              72.71,1.00,139.53,47.87,90.06,27%,92%,0.72%,2.09%,2.43%,61.23%,67.29%,4.41,1.11%,-0.16%,,1999,0.00,,,,,2,0.70%,96,193,3.62%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        71.84,,,1/20/2015,,1/20/2015,,,,,1.39%,$              71.84,1.00,139.53,47.87,90.06,26%,94%,0.72%,2.09%,2.46%,63.18%,69.32%,4.41,1.11%,-1.36%,,2000,0.00,,1/1/1970,1970,,3,0.73%,119,312,4.48%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        71.46,,,1/26/2015,,1/26/2015,,,,,1.40%,$              71.46,1.00,139.53,47.87,90.06,26%,95%,0.72%,2.09%,2.48%,64.05%,70.22%,4.41,1.11%,-1.88%,,2001,0.00,,1/1/1971,1971,,4,0.76%,127,439,4.79%
