,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DHL GR,Deutsche Post AG,,,,,,,,,,52%,32%,$       57.20,$           37.31,$          48.54,$             60.90,$          75.40,6.05%,2.52%,3.86%,9.74%,201.02%,209.69%,127%,,,,,,,NO,,,5.63%,2.28%,3.35%,0.05%,67
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.89%,,Deutsche Post AG - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.09%,11/10/2017,,,,,,,,,,$          48.54,-15%,3.32%,$          75.40,$           21.72,$              19.00,$           16.69,2.22%,5.09%,3.91%,3.04%,-6.08%,-6.08%,-16%,,,,5Y CAGR,7.07%,,Deutsche Post AG - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.38%,,Deutsche Post AG - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Deutsche Post AG - Rating: 52% - Upside: 32%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       25.39,,,12/29/2014,,12/29/2014,,,,,3.35%,€               25.39,0.85,33.73,16.69,21.72,51%,33%,2.52%,5.09%,7.29%,125.33%,141.88%,4.2,3.91%,0.00%,,1997,0.00,-,52,,,0,2.28%,32,32,1.19%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         25.40,,,1/5/2015,,1/5/2015,,,,,3.35%,€               25.40,0.85,33.73,16.69,21.72,51%,33%,2.52%,5.09%,7.28%,125.19%,141.72%,4.2,3.91%,0.00%,,1998,0.00,,32,,,1,2.33%,34,66,1.27%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                          25.10,,,1/12/2015,,1/12/2015,,,,,3.39%,€                25.10,0.85,33.73,16.69,21.72,49%,34%,2.52%,5.09%,7.37%,127.88%,144.61%,4.2,3.91%,-1.18%,,1999,0.00,,,,,2,2.38%,26,92,0.97%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                           24.11,,,1/19/2015,,1/20/2015,,,,,3.53%,€                 24.11,0.85,33.73,16.69,21.72,44%,40%,2.52%,5.09%,7.67%,137.25%,154.67%,4.2,3.91%,-5.08%,,2000,0.00,,1/1/1970,1970,,3,2.43%,11,103,0.41%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         24.25,,,1/26/2015,,1/26/2015,,,,,3.51%,€               24.25,0.85,33.73,16.69,21.72,44%,39%,2.52%,5.09%,7.63%,135.88%,153.20%,4.2,3.91%,-4.53%,,2001,0.00,,1/1/1971,1971,,4,2.48%,24,127,0.90%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         23.76,,,2/2/2015,,2/2/2015,,,,,3.58%,€               23.76,0.85,33.73,16.69,21.72,41%,42%,2.52%,5.09%,7.79%,140.76%,158.44%,4.2,3.91%,-6.47%,,2002,0.00,,1/1/1972,1972,,5,2.53%,15,142,0.56%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         23.97,,,2/9/2015,,2/9/2015,,,,,3.55%,€               23.97,0.85,33.73,16.69,21.72,43%,41%,2.52%,5.09%,7.72%,138.64%,156.16%,4.2,3.91%,-5.64%,,2003,0.00,,1/1/1973,1973,,6,2.58%,27,169,1.01%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         23.50,,,2/16/2015,,2/17/2015,,,,,3.62%,€               23.50,0.85,33.73,16.69,21.72,40%,44%,2.52%,5.09%,7.87%,143.40%,161.28%,4.2,3.91%,-7.48%,,2004,0.00,,1/1/1974,1974,,7,2.63%,26,195,0.97%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         23.64,,,2/23/2015,,2/23/2015,,,,,3.60%,€               23.64,0.85,33.73,16.69,21.72,41%,43%,2.52%,5.09%,7.82%,141.93%,159.70%,4.2,3.91%,-6.92%,,2005,0.00,,1/1/1975,1975,,8,2.68%,10,205,0.37%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                         22.52,,,3/2/2015,,3/2/2015,,,,,3.77%,€               22.52,0.85,33.73,16.69,21.72,34%,50%,2.52%,5.09%,8.22%,154.02%,172.67%,4.2,3.91%,-11.35%,,2006,0.00,,1/1/1976,1976,,9,2.73%,35,240,1.31%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                         22.65,,,3/9/2015,,3/9/2015,,,,,3.75%,€               22.65,0.85,33.73,16.69,21.72,35%,49%,2.52%,5.09%,8.17%,152.55%,171.09%,4.2,3.91%,-10.83%,,2007,0.00,,1/1/1977,1977,,10,2.78%,38,278,1.42%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                         23.06,,,3/16/2015,,3/16/2015,,,,,3.69%,€               23.06,0.85,33.73,16.69,21.72,37%,46%,2.52%,5.09%,8.02%,148.06%,166.27%,4.2,3.91%,-9.22%,,2008,0.00,,1/1/1978,1978,,11,2.83%,35,313,1.31%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                         22.26,,,3/23/2015,,3/23/2015,,,,,3.82%,€               22.26,0.85,33.73,16.69,21.72,33%,52%,2.52%,5.09%,8.31%,157.01%,175.88%,4.2,3.91%,-12.38%,,2009,0.00,,1/1/1979,1979,,12,2.88%,40,353,1.49%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                         22.84,,,3/30/2015,,3/30/2015,,,,,3.72%,€               22.84,0.85,33.73,16.69,21.72,36%,48%,2.52%,5.09%,8.10%,150.43%,168.81%,4.2,3.91%,-10.08%,,2010,0.60,,1/1/1980,1980,,13,2.93%,49,402,1.83%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                          23.51,,,4/7/2015,,4/6/2015,,,,,3.62%,€                23.51,0.85,33.73,16.69,21.72,40%,43%,2.52%,5.09%,7.87%,143.32%,161.19%,4.2,3.91%,-7.45%,,2011,0.65,8.33%,1/1/1981,1981,,14,2.98%,65,467,2.43%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                         23.26,,,4/13/2015,,4/13/2015,,,,,3.65%,€               23.26,0.85,33.73,16.69,21.72,39%,45%,2.52%,5.09%,7.95%,145.87%,163.93%,4.2,3.91%,-8.41%,,2012,0.70,7.69%,1/1/1982,1982,,15,3.03%,55,522,2.05%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                         22.59,,,4/20/2015,,4/20/2015,,,,,3.76%,€               22.59,0.85,33.73,16.69,21.72,35%,49%,2.52%,5.09%,8.19%,153.23%,171.83%,4.2,3.91%,-11.07%,,2013,0.70,0.00%,1/1/1983,1983,,16,3.08%,46,568,1.72%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,€                                                         22.49,,,4/27/2015,,4/27/2015,,,,,3.78%,€               22.49,0.85,33.73,16.69,21.72,34%,50%,2.52%,5.09%,8.22%,154.30%,172.97%,4.2,3.91%,-11.45%,,2014,0.80,14.29%,1/1/1984,1984,,17,3.13%,48,616,1.79%
