,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DHR US,Danaher Corp,,,,,,,,,,37%,58%,$      191.50,$        125.06,$       206.33,$          294.66,$       303.40,1.02%,0.35%,0.55%,1.87%,241.01%,245.37%,136%,,,,,,,NO,,,1.00%,0.29%,0.71%,0.01%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Danaher Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,0.84%,11/10/2017,,,,,,,,,,$       206.33,8%,0.55%,$       303.40,$         110.04,$              56.16,$          66.70,0.29%,0.84%,0.51%,0.36%,-35.01%,-35.01%,-12%,,,,5Y CAGR,4.56%,,Danaher Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.30%,,Danaher Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Danaher Corp - Rating: 37% - Upside: 58%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        61.59,,,12/29/2014,,12/29/2014,,,,,0.93%,$              61.59,0.57,164.70,67.89,112.01,-7%,167%,0.35%,0.84%,1.70%,210.92%,214.90%,2.45,0.51%,0.00%,,1997,0.00,-,37,,,0,0.29%,34,34,1.28%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                         61.71,,,1/5/2015,,1/5/2015,,,,,0.92%,$               61.71,0.57,164.70,67.89,112.01,-6%,167%,0.35%,0.84%,1.70%,210.34%,214.31%,2.45,0.51%,0.00%,,1998,0.00,,58,,,1,0.30%,36,70,1.36%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       60.99,,,1/12/2015,,1/12/2015,,,,,0.93%,$             60.99,0.57,164.70,67.89,112.01,-7%,170%,0.35%,0.84%,1.72%,214.00%,218.02%,2.45,0.51%,-1.17%,,1999,0.00,,,,,2,0.31%,25,95,0.94%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       59.42,,,1/20/2015,,1/20/2015,,,,,0.96%,$             59.42,0.57,164.70,67.89,112.01,-9%,177%,0.35%,0.84%,1.77%,222.27%,226.40%,2.45,0.51%,-3.70%,,2000,0.00,,1/1/1970,1970,,3,0.32%,6,101,0.23%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       59.46,,,1/26/2015,,1/26/2015,,,,,0.96%,$             59.46,0.57,164.70,67.89,112.01,-9%,177%,0.35%,0.84%,1.77%,222.09%,226.21%,2.45,0.51%,-3.65%,,2001,0.00,,1/1/1971,1971,,4,0.33%,11,112,0.41%
