,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DIA IM,DiaSorin SpA,,,,,,,,,,-1%,203%,$       66.74,$          68.48,$          111.05,$          209.40,$        202.15,1.98%,0.54%,0.99%,1.98%,19.99%,19.99%,130%,,,,,,,NO,,,1.86%,0.49%,1.38%,0.02%,69
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,DiaSorin SpA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$          111.05,66%,1.65%,$        202.15,$           85.81,$             55.62,$          52.92,0.45%,1.61%,0.99%,0.53%,-68.13%,-68.13%,-10%,,,,5Y CAGR,1.92%,,DiaSorin SpA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.40%,,DiaSorin SpA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,DiaSorin SpA - Rating: -1% - Upside: 203%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2018,1/22/2018,$                                                        79.10,,,1/22/2018,,12/29/2014,,,,,1.07%,€                79.10,0.85,156.21,52.92,85.81,25%,97%,0.54%,1.61%,1.39%,-15.63%,-13.41%,1.75,0.99%,0.00%,,1997,0.00,-,-1,,,0,0.49%,36,36,1.67%
,,,,,,,,,,,,,,,,,,2018,1/23/2018,€                                                         79.05,,,1/29/2018,,1/5/2015,,,,,1.08%,€               79.05,0.85,156.21,52.92,85.81,25%,98%,0.54%,1.61%,1.39%,-15.57%,-13.36%,1.75,0.99%,-0.06%,,1998,0.00,,203,,,1,0.51%,21,57,0.97%
,,,,,,,,,,,,,,,,,,2018,1/24/2018,€                                                         79.00,,,2/5/2018,,1/12/2015,,,,,1.08%,€               79.00,0.85,156.21,52.92,85.81,25%,98%,0.54%,1.61%,1.39%,-15.52%,-13.30%,1.75,0.99%,-0.13%,,1999,0.00,,,,,2,0.53%,61,118,2.83%
,,,,,,,,,,,,,,,,,,2018,1/25/2018,€                                                         78.40,,,2/12/2018,,1/20/2015,,,,,1.08%,€               78.40,0.85,156.21,52.92,85.81,25%,99%,0.54%,1.61%,1.40%,-14.87%,-12.64%,1.75,0.99%,-0.88%,,2000,0.00,,1/1/1970,1970,,3,0.55%,99,217,4.59%
,,,,,,,,,,,,,,,,,,2018,1/26/2018,€                                                         79.30,,,2/19/2018,,1/26/2015,,,,,1.07%,€               79.30,0.85,156.21,52.92,85.81,26%,97%,0.54%,1.61%,1.39%,-15.84%,-13.63%,1.75,0.99%,0.00%,,2001,0.00,,1/1/1971,1971,,4,0.57%,41,258,1.90%
