,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DIA US,SPDR Dow Jones Industrial Aver,,,,,,,,,,119%,-8%,$     518.76,$       272.67,$       339.58,$          530.09,$       479.55,3.08%,1.42%,1.98%,4.34%,230.84%,243.92%,124%,,,,,,,NO,,,2.79%,1.30%,1.48%,0.02%,74
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,SPDR Dow Jones Industrial Aver - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.50%,11/10/2017,,,,,,,,,,$       339.58,-35%,1.31%,$       479.55,$       222.62,$           156.80,$        178.76,1.28%,2.50%,2.00%,1.28%,-2.14%,-2.14%,-25%,,,,5Y CAGR,3.45%,,SPDR Dow Jones Industrial Aver - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.31%,,SPDR Dow Jones Industrial Aver - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,SPDR Dow Jones Industrial Aver - Rating: 119% - Upside: -8%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                      171.29,,,12/29/2014,,12/29/2014,,,,,2.60%,$            171.29,4.46,314.39,178.76,222.62,-6%,84%,1.42%,2.50%,3.97%,202.85%,214.83%,20.50796,2.00%,0.00%,,1997,0.00,-,119,,,0,1.30%,17,17,0.64%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                      171.39,,,1/5/2015,,1/5/2015,,,,,2.60%,$            171.39,4.46,314.39,178.76,222.62,-5%,83%,1.42%,2.50%,3.97%,202.68%,214.64%,20.50796,2.00%,0.00%,,1998,0.00,,-8,,,1,1.32%,11,28,0.41%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     168.94,,,1/12/2015,,1/12/2015,,,,,2.64%,$           168.94,4.46,314.39,178.76,222.62,-7%,86%,1.42%,2.50%,4.03%,207.07%,219.21%,20.50796,2.00%,-1.43%,,1999,0.00,,,,,2,1.34%,10,38,0.38%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                     164.96,,,1/20/2015,,1/20/2015,,,,,2.70%,$           164.96,4.46,314.39,178.76,222.62,-10%,91%,1.42%,2.50%,4.13%,214.48%,226.91%,20.50796,2.00%,-3.75%,,2000,0.00,,1/1/1970,1970,,3,1.36%,39,77,1.47%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                     163.24,,,1/26/2015,,1/26/2015,,,,,2.73%,$           163.24,4.46,314.39,178.76,222.62,-11%,93%,1.42%,2.50%,4.17%,217.79%,230.35%,20.50796,2.00%,-4.76%,,2001,0.00,,1/1/1971,1971,,4,1.38%,28,105,1.06%
