,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DLN LN,Derwent London PLC,,,,,,,,,,10%,131%,$2.038,00,$   1.757,90,$  3.360,05,$      4.282,00,$  4.703,58,5.24%,1.68%,2.79%,5.24%,35.06%,35.06%,152%,,,,,,,NO,,,4.90%,1.37%,3.53%,0.05%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Derwent London PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.49%,11/10/2017,,,,,,,,,,$  3.360,05,65%,3.88%,$  4.703,58,$   1.899,49,$       1.509,00,$       993.77,1.26%,4.49%,2.35%,1.84%,-52.41%,-52.41%,-8%,,,,5Y CAGR,0.92%,,Derwent London PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.87%,,Derwent London PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Derwent London PLC - Rating: 10% - Upside: 131%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                3.484,54,,,12/29/2014,,12/29/2014,,,,,1.28%,3.484,54,44.66,2.659,01,993.77,1.899,49,150%,-24%,1.68%,4.49%,2.27%,-41.51%,-34.92%,229.74,2.35%,0.00%,,1997,0.00,-,10,,,0,1.37%,30,30,1.11%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,3.531,54,,,1/5/2015,,1/5/2015,,,,,1.26%,3.531,54,44.66,2.659,01,993.77,1.899,49,152%,-25%,1.68%,4.49%,2.24%,-42.29%,-35.79%,229.74,2.35%,0.00%,,1998,0.00,,131,,,1,1.42%,27,57,1.00%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,3.500,85,,,1/12/2015,,1/12/2015,,,,,1.28%,3.500,85,44.66,2.659,01,993.77,1.899,49,151%,-24%,1.68%,4.49%,2.26%,-41.79%,-35.22%,229.74,2.35%,-0.87%,,1999,0.00,,,,,2,1.47%,29,86,1.07%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,3.429,87,,,1/19/2015,,1/20/2015,,,,,1.30%,3.429,87,44.66,2.659,01,993.77,1.899,49,146%,-22%,1.68%,4.49%,2.30%,-40.58%,-33.88%,229.74,2.35%,-2.88%,,2000,0.00,,1/1/1970,1970,,3,1.52%,16,102,0.59%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,3.338,75,,,1/26/2015,,1/26/2015,,,,,1.34%,3.338,75,44.66,2.659,01,993.77,1.899,49,141%,-20%,1.68%,4.49%,2.37%,-38.96%,-32.08%,229.74,2.35%,-5.46%,,2001,0.00,,1/1/1971,1971,,4,1.57%,5,107,0.19%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,3.293,67,,,2/2/2015,,2/2/2015,,,,,1.36%,3.293,67,44.66,2.659,01,993.77,1.899,49,138%,-19%,1.68%,4.49%,2.40%,-38.12%,-31.15%,229.74,2.35%,-6.74%,,2002,9.65,,1/1/1972,1972,,5,1.62%,11,118,0.41%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,3.329,16,,,2/9/2015,,2/9/2015,,,,,1.34%,3.329,16,44.66,2.659,01,993.77,1.899,49,140%,-20%,1.68%,4.49%,2.37%,-38.78%,-31.88%,229.74,2.35%,-5.73%,,2003,10.65,10.36%,1/1/1973,1973,,6,1.67%,43,161,1.59%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,3.343,55,,,2/16/2015,,2/17/2015,,,,,1.34%,3.343,55,44.66,2.659,01,993.77,1.899,49,141%,-20%,1.68%,4.49%,2.36%,-39.05%,-32.18%,229.74,2.35%,-5.32%,,2004,11.70,9.86%,1/1/1974,1974,,7,1.72%,37,198,1.37%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,3.267,78,,,2/23/2015,,2/23/2015,,,,,1.37%,3.267,78,44.66,2.659,01,993.77,1.899,49,137%,-19%,1.68%,4.49%,2.42%,-37.63%,-30.60%,229.74,2.35%,-7.47%,,2005,12.83,9.62%,1/1/1975,1975,,8,1.77%,36,234,1.33%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,3.168,03,,,3/2/2015,,3/2/2015,,,,,1.41%,3.168,03,44.66,2.659,01,993.77,1.899,49,131%,-16%,1.68%,4.49%,2.49%,-35.67%,-28.42%,229.74,2.35%,-10.29%,,2006,13.95,8.77%,1/1/1976,1976,,9,1.82%,39,273,1.44%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,3.086,50,,,3/9/2015,,3/9/2015,,,,,1.45%,3.086,50,44.66,2.659,01,993.77,1.899,49,126%,-14%,1.68%,4.49%,2.56%,-33.97%,-26.53%,229.74,2.35%,-12.60%,,2007,18.03,29.21%,1/1/1977,1977,,10,1.87%,50,323,1.85%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,3.124,87,,,3/16/2015,,3/16/2015,,,,,1.43%,3.124,87,44.66,2.659,01,993.77,1.899,49,128%,-15%,1.68%,4.49%,2.53%,-34.78%,-27.43%,229.74,2.35%,-11.52%,,2008,23.15,28.43%,1/1/1978,1978,,11,1.92%,47,370,1.74%
