,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DOL CN,Dollarama Inc,,,,,,,,,,96%,3%,$     184.68,$           56.91,$           81.37,$           206.17,$        189.36,0.55%,0.14%,0.32%,1.13%,680.68%,683.22%,113%,,,,,,,NO,,,0.53%,0.13%,0.40%,0.01%,40
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Dollarama Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,0.47%,11/10/2017,,,,,,,,,,$           81.37,-56%,0.14%,$        189.36,$          39.52,$             23.66,$          27.64,0.13%,0.47%,0.33%,0.13%,-10.42%,-10.42%,-6%,,,,5Y CAGR,6.23%,,Dollarama Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.49%,,Dollarama Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Dollarama Inc - Rating: 96% - Upside: 3%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       26.29,,,12/29/2014,,12/29/2014,,,,,0.49%,$             26.29,0.13,91.95,27.64,39.52,-2%,250%,0.14%,0.47%,1.02%,602.48%,604.77%,0.602,0.33%,0.00%,,1997,0.00,-,96,,,0,0.13%,135,135,5.10%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       26.02,,,1/5/2015,,1/5/2015,,,,,0.50%,$             26.02,0.13,91.95,27.64,39.52,-3%,253%,0.14%,0.47%,1.03%,609.86%,612.17%,0.602,0.33%,-1.04%,,1998,0.00,,3,,,1,0.14%,102,237,3.85%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       26.02,,,1/12/2015,,1/12/2015,,,,,0.50%,$             26.02,0.13,91.95,27.64,39.52,-3%,253%,0.14%,0.47%,1.03%,609.77%,612.08%,0.602,0.33%,-1.03%,,1999,0.00,,,,,2,0.15%,71,308,2.68%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       25.53,,,1/19/2015,,1/20/2015,,,,,0.51%,$             25.53,0.13,91.95,27.64,39.52,-3%,260%,0.14%,0.47%,1.05%,623.30%,625.65%,0.602,0.33%,-2.88%,,2000,0.00,,1/1/1970,1970,,3,0.16%,5,313,0.19%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       24.56,,,1/26/2015,,1/26/2015,,,,,0.53%,$             24.56,0.13,91.95,27.64,39.52,-5%,274%,0.14%,0.47%,1.09%,651.86%,654.31%,0.602,0.33%,-6.57%,,2001,0.00,,1/1/1971,1971,,4,0.17%,46,359,1.74%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       23.95,,,2/2/2015,,2/2/2015,,,,,0.54%,$             23.95,0.13,91.95,27.64,39.52,-6%,284%,0.14%,0.47%,1.12%,671.22%,673.74%,0.602,0.33%,-8.91%,,2002,0.00,,1/1/1972,1972,,5,0.18%,61,420,2.30%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       24.79,,,2/9/2015,,2/9/2015,,,,,0.52%,$             24.79,0.13,91.95,27.64,39.52,-4%,271%,0.14%,0.47%,1.08%,644.88%,647.31%,0.602,0.33%,-5.69%,,2003,0.00,,1/1/1973,1973,,6,0.19%,51,471,1.93%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       24.25,,,2/17/2015,,2/17/2015,,,,,0.54%,$             24.25,0.13,91.95,27.64,39.52,-5%,279%,0.14%,0.47%,1.10%,661.47%,663.95%,0.602,0.33%,-7.75%,,2004,0.00,,1/1/1974,1974,,7,0.20%,40,511,1.51%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        25.21,,,2/23/2015,,2/23/2015,,,,,0.52%,$              25.21,0.13,91.95,27.64,39.52,-4%,265%,0.14%,0.47%,1.06%,632.48%,634.86%,0.602,0.33%,-4.10%,,2005,0.00,,1/1/1975,1975,,8,0.21%,29,540,1.09%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       24.34,,,3/2/2015,,3/2/2015,,,,,0.53%,$             24.34,0.13,91.95,27.64,39.52,-5%,278%,0.14%,0.47%,1.10%,658.65%,661.13%,0.602,0.33%,-7.40%,,2006,0.00,,1/1/1976,1976,,9,0.22%,11,551,0.42%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                       24.36,,,3/9/2015,,3/9/2015,,,,,0.53%,$             24.36,0.13,91.95,27.64,39.52,-5%,277%,0.14%,0.47%,1.10%,658.03%,660.50%,0.602,0.33%,-7.33%,,2007,0.00,,1/1/1977,1977,,10,0.23%,14,565,0.53%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       24.54,,,3/16/2015,,3/16/2015,,,,,0.53%,$             24.54,0.13,91.95,27.64,39.52,-5%,275%,0.14%,0.47%,1.09%,652.68%,655.13%,0.602,0.33%,-6.67%,,2008,0.00,,1/1/1978,1978,,11,0.24%,4,569,0.15%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        24.18,,,3/23/2015,,3/23/2015,,,,,0.54%,$              24.18,0.13,91.95,27.64,39.52,-5%,280%,0.14%,0.47%,1.11%,663.78%,666.27%,0.602,0.33%,-8.03%,,2009,0.00,,1/1/1979,1979,,12,0.25%,36,605,1.36%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       24.44,,,3/30/2015,,3/30/2015,,,,,0.53%,$             24.44,0.13,91.95,27.64,39.52,-5%,276%,0.14%,0.47%,1.10%,655.65%,658.12%,0.602,0.33%,-7.04%,,2010,0.00,,1/1/1980,1980,,13,0.26%,113,718,4.27%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       24.89,,,4/6/2015,,4/6/2015,,,,,0.52%,$             24.89,0.13,91.95,27.64,39.52,-4%,269%,0.14%,0.47%,1.08%,641.89%,644.31%,0.602,0.33%,-5.31%,,2011,0.03,,1/1/1981,1981,,14,0.27%,98,816,3.70%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       24.63,,,4/13/2015,,4/13/2015,,,,,0.53%,$             24.63,0.13,91.95,27.64,39.52,-5%,273%,0.14%,0.47%,1.09%,649.82%,652.27%,0.602,0.33%,-6.31%,,2012,0.07,133.33%,1/1/1982,1982,,15,0.28%,73,889,2.76%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       24.47,,,4/20/2015,,4/20/2015,,,,,0.53%,$             24.47,0.13,91.95,27.64,39.52,-5%,276%,0.14%,0.47%,1.09%,654.62%,657.08%,0.602,0.33%,-6.91%,,2013,0.09,26.19%,1/1/1983,1983,,16,0.29%,69,958,2.60%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        24.12,,,4/27/2015,,4/27/2015,,,,,0.54%,$              24.12,0.13,91.95,27.64,39.52,-5%,281%,0.14%,0.47%,1.11%,665.79%,668.28%,0.602,0.33%,-8.27%,,2014,0.10,16.98%,1/1/1984,1984,,17,0.30%,135,1093,5.10%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       24.43,,,5/4/2015,,5/4/2015,,,,,0.53%,$             24.43,0.13,91.95,27.64,39.52,-5%,276%,0.14%,0.47%,1.10%,655.86%,658.32%,0.602,0.33%,-7.06%,,2015,0.12,12.90%,1/1/1985,1985,,18,0.31%,157,1250,5.93%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       25.06,,,5/11/2015,,5/11/2015,,,,,0.52%,$             25.06,0.13,91.95,27.64,39.52,-4%,267%,0.14%,0.47%,1.07%,637.06%,639.46%,0.602,0.33%,-4.69%,,2016,0.13,11.43%,1/1/1986,1986,,19,0.32%,82,1332,3.10%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       24.96,,,5/19/2015,,5/18/2015,,,,,0.52%,$             24.96,0.13,91.95,27.64,39.52,-4%,268%,0.14%,0.47%,1.07%,640.01%,642.42%,0.602,0.33%,-5.07%,,2017,0.14,10.26%,1/1/1987,1987,,20,0.33%,144,1476,5.44%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       24.66,,,5/25/2015,,5/26/2015,,,,,0.53%,$             24.66,0.13,91.95,27.64,39.52,-5%,273%,0.14%,0.47%,1.09%,648.81%,651.25%,0.602,0.33%,-6.19%,,2018,0.16,9.30%,1/1/1988,1988,,21,0.34%,200,1676,7.55%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       24.69,,,6/1/2015,,6/1/2015,,,,,0.53%,$             24.69,0.13,91.95,27.64,39.52,-5%,272%,0.14%,0.47%,1.08%,648.10%,650.54%,0.602,0.33%,-6.10%,,2019,0.17,9.79%,1/1/1989,1989,,22,0.35%,142,1818,5.36%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       25.24,,,6/8/2015,,6/8/2015,,,,,0.51%,$             25.24,0.13,91.95,27.64,39.52,-4%,264%,0.14%,0.47%,1.06%,631.61%,633.99%,0.602,0.33%,-3.98%,,2020,0.18,2.33%,1/1/1990,1990,,23,0.36%,82,1900,3.10%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                        24.81,,,6/15/2015,,6/15/2015,,,,,0.52%,$              24.81,0.13,91.95,27.64,39.52,-4%,271%,0.14%,0.47%,1.08%,644.28%,646.71%,0.602,0.33%,-5.62%,,2021,0.20,12.44%,1/1/1991,1991,,24,0.37%,91,1991,3.44%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       23.88,,,6/22/2015,,6/22/2015,,,,,0.54%,$             23.88,0.13,91.95,27.64,39.52,-6%,285%,0.14%,0.47%,1.12%,673.48%,676.00%,0.602,0.33%,-9.18%,,2022,0.22,9.25%,1/1/1992,1992,,25,0.38%,117,2108,4.42%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       23.98,,,6/29/2015,,6/29/2015,,,,,0.54%,$             23.98,0.13,91.95,27.64,39.52,-6%,283%,0.14%,0.47%,1.12%,670.15%,672.66%,0.602,0.33%,-8.79%,,2023,0.27,23.82%,1/1/1993,1993,,26,0.39%,92,2200,3.47%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       24.33,,,7/6/2015,,7/6/2015,,,,,0.53%,$             24.33,0.13,91.95,27.64,39.52,-5%,278%,0.14%,0.47%,1.10%,659.18%,661.65%,0.602,0.33%,-7.47%,,2024,0.27,0.00%,1/1/1994,1994,,27,0.40%,48,2248,1.81%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                       23.66,,,7/13/2015,,7/13/2015,,,,,0.55%,$             23.66,0.13,91.95,27.64,39.52,-6%,289%,0.14%,0.47%,1.13%,680.68%,683.22%,0.602,0.33%,-10.02%,,2025,0.27,0.00%,1/1/1995,1995,,28,0.41%,55,2303,2.08%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       23.87,,,7/20/2015,,7/20/2015,,,,,0.54%,$             23.87,0.13,91.95,27.64,39.52,-6%,285%,0.14%,0.47%,1.12%,673.81%,676.33%,0.602,0.33%,-9.22%,,2026,0.27,0.00%,1/1/1996,1996,,29,0.42%,95,2398,3.59%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       24.87,,,7/27/2015,,7/27/2015,,,,,0.52%,$             24.87,0.13,91.95,27.64,39.52,-4%,270%,0.14%,0.47%,1.08%,642.69%,645.11%,0.602,0.33%,-5.41%,,,,,1/1/1997,1997,,30,0.43%,54,2452,2.04%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                       25.35,,,8/4/2015,,8/3/2015,,,,,0.51%,$             25.35,0.13,91.95,27.64,39.52,-4%,263%,0.14%,0.47%,1.06%,628.53%,630.90%,0.602,0.33%,-3.58%,,,,,1/1/1998,1998,,31,0.44%,25,2477,0.94%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                       25.78,,,8/10/2015,,8/10/2015,,,,,0.50%,$             25.78,0.13,91.95,27.64,39.52,-3%,257%,0.14%,0.47%,1.04%,616.38%,618.71%,0.602,0.33%,-1.94%,,,,,1/1/1999,1999,,32,0.45%,12,2489,0.45%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                       25.90,,,8/17/2015,,8/17/2015,,,,,0.50%,$             25.90,0.13,91.95,27.64,39.52,-3%,255%,0.14%,0.47%,1.03%,613.15%,615.47%,0.602,0.33%,-1.50%,,,,,1/1/2000,2000,,33,0.46%,19,2508,0.72%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                       25.98,,,8/24/2015,,8/24/2015,,,,,0.50%,$             25.98,0.13,91.95,27.64,39.52,-3%,254%,0.14%,0.47%,1.03%,610.95%,613.27%,0.602,0.33%,-1.19%,,,,,1/1/2001,2001,,34,0.47%,12,2520,0.45%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                       26.25,,,8/31/2015,,8/31/2015,,,,,0.50%,$             26.25,0.13,91.95,27.64,39.52,-2%,250%,0.14%,0.47%,1.02%,603.46%,605.75%,0.602,0.33%,-0.14%,,,,,1/1/2002,2002,,35,0.48%,35,2555,1.32%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                        26.21,,,9/8/2015,,9/8/2015,,,,,0.50%,$              26.21,0.13,91.95,27.64,39.52,-2%,251%,0.14%,0.47%,1.02%,604.62%,606.92%,0.602,0.33%,-0.30%,,,,,1/1/2003,2003,,36,0.49%,33,2588,1.25%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                       26.08,,,9/14/2015,,9/14/2015,,,,,0.50%,$             26.08,0.13,91.95,27.64,39.52,-2%,253%,0.14%,0.47%,1.03%,608.04%,610.35%,0.602,0.33%,-0.79%,,,,,1/1/2004,2004,,37,0.50%,10,2598,0.38%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,$                                                       26.40,,,9/21/2015,,9/21/2015,,,,,0.49%,$             26.40,0.13,91.95,27.64,39.52,-2%,248%,0.14%,0.47%,1.01%,599.64%,601.92%,0.602,0.33%,0.00%,,,,,1/1/2005,2005,,38,0.51%,12,2610,0.45%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                       26.25,,,9/28/2015,,9/28/2015,,,,,0.50%,$             26.25,0.13,91.95,27.64,39.52,-2%,250%,0.14%,0.47%,1.02%,603.46%,605.75%,0.602,0.33%,-0.54%,,,,,1/1/2006,2006,,39,0.52%,12,2622,0.45%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,$                                                       26.86,,,10/5/2015,,10/5/2015,,,,,0.48%,$             26.86,0.13,91.95,27.64,39.52,-1%,242%,0.14%,0.47%,1.00%,587.66%,589.90%,0.602,0.33%,0.00%,,,,,1/1/2007,2007,,40,0.53%,0,2622,0.00%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,$                                                       25.83,,,10/13/2015,,10/12/2015,,,,,0.50%,$             25.83,0.13,91.95,27.64,39.52,-3%,256%,0.14%,0.47%,1.04%,614.90%,617.23%,0.602,0.33%,-3.81%,,,,,1/1/2008,2008,,41,,,,
,,,,,,,,,,,,,,,,,,2016,3/3/2016,$                                                       25.20,,,10/19/2015,,10/19/2015,,,,,0.52%,$             25.20,0.13,91.95,27.64,39.52,-4%,265%,0.14%,0.47%,1.06%,632.87%,635.25%,0.602,0.33%,-6.17%,,,,,1/1/2009,2009,,42,,,,
,,,,,,,,,,,,,,,,,,2016,3/4/2016,$                                                       25.37,,,10/26/2015,,10/26/2015,,,,,0.51%,$             25.37,0.13,91.95,27.64,39.52,-4%,262%,0.14%,0.47%,1.06%,627.96%,630.33%,0.602,0.33%,-5.54%,,,,,1/1/2010,2010,,43,,,,
,,,,,,,,,,,,,,,,,,2016,3/7/2016,$                                                       25.32,,,11/2/2015,,11/2/2015,,,,,0.51%,$             25.32,0.13,91.95,27.64,39.52,-4%,263%,0.14%,0.47%,1.06%,629.29%,631.67%,0.602,0.33%,-5.71%,,,,,1/1/2011,2011,,44,,,,
,,,,,,,,,,,,,,,,,,2016,3/8/2016,$                                                       25.25,,,11/9/2015,,11/9/2015,,,,,0.51%,$             25.25,0.13,91.95,27.64,39.52,-4%,264%,0.14%,0.47%,1.06%,631.51%,633.89%,0.602,0.33%,-5.99%,,,,,1/1/2012,2012,,45,,,,
,,,,,,,,,,,,,,,,,,2016,3/9/2016,$                                                       25.36,,,11/16/2015,,11/16/2015,,,,,0.51%,$             25.36,0.13,91.95,27.64,39.52,-4%,263%,0.14%,0.47%,1.06%,628.34%,630.71%,0.602,0.33%,-5.59%,,,,,1/1/2013,2013,,46,,,,
,,,,,,,,,,,,,,,,,,2016,3/10/2016,$                                                       25.33,,,11/23/2015,,11/23/2015,,,,,0.51%,$             25.33,0.13,91.95,27.64,39.52,-4%,263%,0.14%,0.47%,1.06%,629.20%,631.58%,0.602,0.33%,-5.70%,,,,,1/1/2014,2014,,47,,,,
,,,,,,,,,,,,,,,,,,2016,3/11/2016,$                                                       25.77,,,11/30/2015,,11/30/2015,,,,,0.50%,$             25.77,0.13,91.95,27.64,39.52,-3%,257%,0.14%,0.47%,1.04%,616.75%,619.08%,0.602,0.33%,-4.06%,,,,,1/1/2015,2015,,48,,,,
,,,,,,,,,,,,,,,,,,2016,3/14/2016,$                                                       25.73,,,12/7/2015,,12/7/2015,,,,,0.51%,$             25.73,0.13,91.95,27.64,39.52,-3%,257%,0.14%,0.47%,1.04%,617.77%,620.11%,0.602,0.33%,-4.20%,,,,,1/1/2016,2016,,49,,,,
,,,,,,,,,,,,,,,,,,2016,3/15/2016,$                                                        26.13,,,12/14/2015,,12/14/2015,,,,,0.50%,$              26.13,0.13,91.95,27.64,39.52,-2%,252%,0.14%,0.47%,1.02%,606.87%,609.18%,0.602,0.33%,-2.72%,,,,,1/1/2017,2017,,50,,,,
,,,,,,,,,,,,,,,,,,2016,3/16/2016,$                                                       26.45,,,12/21/2015,,12/21/2015,,,,,0.49%,$             26.45,0.13,91.95,27.64,39.52,-2%,248%,0.14%,0.47%,1.01%,598.14%,600.42%,0.602,0.33%,-1.50%,,,,,1/1/2018,2018,,51,,,,
,,,,,,,,,,,,,,,,,,2016,3/17/2016,$                                                       26.50,,,12/29/2015,,12/28/2015,,,,,0.49%,$             26.50,0.13,91.95,27.64,39.52,-2%,247%,0.14%,0.47%,1.01%,597.00%,599.27%,0.602,0.33%,-1.34%,,,,,1/1/2019,2019,,52,,,,
,,,,,,,,,,,,,,,,,,2016,3/18/2016,$                                                       26.27,,,1/4/2016,,1/4/2016,,,,,0.49%,$             26.27,0.13,91.95,27.64,39.52,-2%,250%,0.14%,0.47%,1.02%,602.92%,605.22%,0.602,0.33%,-2.17%,,,,,1/1/2020,2020,,53,,,,
,,,,,,,,,,,,,,,,,,2016,3/21/2016,$                                                       26.66,,,1/11/2016,,1/11/2016,,,,,0.49%,$             26.66,0.13,91.95,27.64,39.52,-2%,245%,0.14%,0.47%,1.00%,592.82%,595.08%,0.602,0.33%,-0.74%,,,,,,,,54,,,,
,,,,,,,,,,,,,,,,,,2016,3/22/2016,$                                                       26.82,,,1/18/2016,,1/19/2016,,,,,0.48%,$             26.82,0.13,91.95,27.64,39.52,-1%,243%,0.14%,0.47%,1.00%,588.68%,590.93%,0.602,0.33%,-0.15%,,,,,,,,55,,,,
,,,,,,,,,,,,,,,,,,2016,3/23/2016,$                                                       26.45,,,1/25/2016,,1/25/2016,,,,,0.49%,$             26.45,0.13,91.95,27.64,39.52,-2%,248%,0.14%,0.47%,1.01%,598.32%,600.59%,0.602,0.33%,-1.53%,,,,,,,,56,,,,
,,,,,,,,,,,,,,,,,,2016,3/24/2016,$                                                       26.48,,,2/1/2016,,2/1/2016,,,,,0.49%,$             26.48,0.13,91.95,27.64,39.52,-2%,247%,0.14%,0.47%,1.01%,597.44%,599.71%,0.602,0.33%,-1.40%,,,,,,80%,,57,,,,
,,,,,,,,,,,,,,,,,,2016,3/28/2016,$                                                       26.95,,,2/8/2016,,2/8/2016,,,,,0.48%,$             26.95,0.13,91.95,27.64,39.52,-1%,241%,0.14%,0.47%,0.99%,585.36%,587.59%,0.602,0.33%,0.00%,,,,,,81%,,58,,,,
,,,,,,,,,,,,,,,,,,2016,3/29/2016,$                                                       27.58,,,2/16/2016,,2/16/2016,,,,,0.47%,$             27.58,0.13,91.95,27.64,39.52,0%,233%,0.14%,0.47%,0.97%,569.62%,571.81%,0.602,0.33%,0.00%,,,,,,82%,,59,,,,
,,,,,,,,,,,,,,,,,,2016,3/30/2016,$                                                       29.64,,,2/22/2016,,2/22/2016,,,,,0.44%,$             29.64,0.13,91.95,27.64,39.52,3%,210%,0.14%,0.47%,0.90%,523.15%,525.18%,0.602,0.33%,0.00%,,,,,,83%,,60,,,,
,,,,,,,,,,,,,,,,,,2016,3/31/2016,$                                                       30.46,,,2/29/2016,,2/29/2016,,,,,0.43%,$             30.46,0.13,91.95,27.64,39.52,4%,202%,0.14%,0.47%,0.88%,506.24%,508.22%,0.602,0.33%,0.00%,,,,,,84%,,61,,,,
,,,,,,,,,,,,,,,,,,2016,4/1/2016,$                                                        30.71,,,3/7/2016,,3/7/2016,,,,,0.42%,$              30.71,0.13,91.95,27.64,39.52,5%,199%,0.14%,0.47%,0.87%,501.37%,503.33%,0.602,0.33%,0.00%,,,,,,85%,,62,,,,
,,,,,,,,,,,,,,,,,,2016,4/4/2016,$                                                       30.28,,,3/14/2016,,3/14/2016,,,,,0.43%,$             30.28,0.13,91.95,27.64,39.52,4%,204%,0.14%,0.47%,0.88%,509.85%,511.84%,0.602,0.33%,-1.39%,,,,,,86%,,63,,,,
,,,,,,,,,,,,,,,,,,2016,4/5/2016,$                                                       30.28,,,3/21/2016,,3/21/2016,,,,,0.43%,$             30.28,0.13,91.95,27.64,39.52,4%,204%,0.14%,0.47%,0.88%,509.91%,511.90%,0.602,0.33%,-1.40%,,,,,,87%,,64,,,,
,,,,,,,,,,,,,,,,,,2016,4/6/2016,$                                                       30.20,,,3/28/2016,,3/28/2016,,,,,0.43%,$             30.20,0.13,91.95,27.64,39.52,4%,204%,0.14%,0.47%,0.89%,511.53%,513.52%,0.602,0.33%,-1.66%,,,,,,88%,,65,,,,
,,,,,,,,,,,,,,,,,,2016,4/7/2016,$                                                       29.83,,,4/4/2016,,4/4/2016,,,,,0.44%,$             29.83,0.13,91.95,27.64,39.52,3%,208%,0.14%,0.47%,0.90%,519.18%,521.20%,0.602,0.33%,-2.88%,,,,,,89%,,66,,,,
,,,,,,,,,,,,,,,,,,2016,4/8/2016,$                                                       29.84,,,4/11/2016,,4/11/2016,,,,,0.44%,$             29.84,0.13,91.95,27.64,39.52,3%,208%,0.14%,0.47%,0.90%,518.84%,520.86%,0.602,0.33%,-2.82%,,,,,,90%,,67,,,,
,,,,,,,,,,,,,,,,,,2016,4/11/2016,$                                                       29.60,,,4/18/2016,,4/18/2016,,,,,0.44%,$             29.60,0.13,91.95,27.64,39.52,3%,211%,0.14%,0.47%,0.90%,523.86%,525.89%,0.602,0.33%,-3.60%,,,,,,91%,,68,,,,
,,,,,,,,,,,,,,,,,,2016,4/12/2016,$                                                        29.51,,,4/25/2016,,4/25/2016,,,,,0.44%,$              29.51,0.13,91.95,27.64,39.52,3%,212%,0.14%,0.47%,0.91%,525.76%,527.80%,0.602,0.33%,-3.90%,,,,,,92%,,69,,,,
