,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DSM NA,Koninklijke DSM NV,,,,,,,,,,87%,8%,$      114.05,$          52.69,$          119.61,$           199.40,$        194.85,3.99%,1.35%,2.21%,4.01%,175.52%,194.29%,121%,,,,,,,NO,,,3.83%,1.21%,2.61%,0.04%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Koninklijke DSM NV - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.15%,11/10/2017,,,,,,,,,,$          75.45,-34%,1.45%,$         122.91,$          75.04,$              41.40,$           52.41,1.20%,3.15%,2.20%,0.83%,-42.80%,-42.80%,-16%,,,,5Y CAGR,-7.12%,,Koninklijke DSM NV - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,0.05%,,Koninklijke DSM NV - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Koninklijke DSM NV - Rating: 87% - Upside: 8%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        45.16,,,12/29/2014,,12/29/2014,,,,,3.65%,€                45.16,1.65,122.24,52.41,75.04,-10%,171%,1.35%,3.15%,3.67%,152.57%,169.78%,7.77,2.20%,0.00%,,1997,0.00,-,87,,,0,1.21%,24,24,1.27%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         46.02,,,1/5/2015,,1/5/2015,,,,,3.59%,€               46.02,1.65,122.24,52.41,75.04,-9%,166%,1.35%,3.15%,3.60%,147.83%,164.71%,7.77,2.20%,0.00%,,1998,0.00,,8,,,1,1.25%,21,45,1.11%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         45.02,,,1/12/2015,,1/12/2015,,,,,3.67%,€               45.02,1.65,122.24,52.41,75.04,-11%,172%,1.35%,3.15%,3.69%,153.33%,170.59%,7.77,2.20%,-2.17%,,1999,0.00,,,,,2,1.29%,30,75,1.58%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         43.87,,,1/19/2015,,1/20/2015,,,,,3.76%,€               43.87,1.65,122.24,52.41,75.04,-12%,179%,1.35%,3.15%,3.78%,160.00%,177.72%,7.77,2.20%,-4.68%,,2000,0.00,,1/1/1970,1970,,3,1.33%,38,113,2.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         43.85,,,1/26/2015,,1/26/2015,,,,,3.76%,€               43.85,1.65,122.24,52.41,75.04,-12%,179%,1.35%,3.15%,3.78%,160.09%,177.81%,7.77,2.20%,-4.72%,,2001,0.00,,1/1/1971,1971,,4,1.37%,45,158,2.37%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         43.37,,,2/2/2015,,2/2/2015,,,,,3.80%,€               43.37,1.65,122.24,52.41,75.04,-13%,182%,1.35%,3.15%,3.83%,162.97%,180.89%,7.77,2.20%,-5.76%,,2002,0.88,,1/1/1972,1972,,5,1.41%,30,188,1.58%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         44.53,,,2/9/2015,,2/9/2015,,,,,3.71%,€               44.53,1.65,122.24,52.41,75.04,-11%,175%,1.35%,3.15%,3.73%,156.12%,173.57%,7.77,2.20%,-3.24%,,2003,0.88,0.00%,1/1/1973,1973,,6,1.45%,36,224,1.90%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         44.62,,,2/16/2015,,2/17/2015,,,,,3.70%,€               44.62,1.65,122.24,52.41,75.04,-11%,174%,1.35%,3.15%,3.72%,155.60%,173.02%,7.77,2.20%,-3.04%,,2004,0.88,0.00%,1/1/1974,1974,,7,1.49%,22,246,1.16%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         43.93,,,2/23/2015,,2/23/2015,,,,,3.76%,€               43.93,1.65,122.24,52.41,75.04,-12%,178%,1.35%,3.15%,3.78%,159.65%,177.34%,7.77,2.20%,-4.55%,,2005,0.88,0.00%,1/1/1975,1975,,8,1.53%,13,259,0.69%
