,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DSV DC,DSV A/S,,,,,,,,,,27%,73%,$ 1.448,50,$    1.061,85,$    1.516,93,$       1.902,50,$  2.505,38,0.74%,0.26%,0.44%,2.83%,529.76%,533.13%,128%,,,,,,,NO,,,0.66%,0.23%,0.43%,0.01%,43
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,DSV A/S - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,0.61%,11/10/2017,,,,,,,,,,$    1.516,93,5%,0.45%,$  2.505,38,$       396.74,$           230.01,$        277.71,0.22%,0.61%,0.43%,0.34%,-23.86%,-23.86%,-13%,,,,5Y CAGR,10.20%,,DSV A/S - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,14.35%,,DSV A/S - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,DSV A/S - Rating: 27% - Upside: 73%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    265.78,,,12/29/2014,,12/29/2014,,,,,0.64%,265.78 kr,1.70,655.25,277.71,396.74,-3%,147%,0.26%,0.61%,2.45%,445.00%,447.91%,7.75,0.43%,0.00%,,1997,0.00,-,27,,,0,0.23%,41,41,1.55%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,268.30 kr,,,1/5/2015,,1/5/2015,,,,,0.63%,268.30 kr,1.70,655.25,277.71,396.74,-2%,144%,0.26%,0.61%,2.42%,439.89%,442.78%,7.75,0.43%,0.00%,,1998,0.00,,73,,,1,0.24%,51,92,1.93%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,269.39 kr,,,1/12/2015,,1/12/2015,,,,,0.63%,269.39 kr,1.70,655.25,277.71,396.74,-2%,143%,0.26%,0.61%,2.41%,437.71%,440.58%,7.75,0.43%,0.00%,,1999,0.00,,,,,2,0.25%,65,157,2.46%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,262.44 kr,,,1/19/2015,,1/20/2015,,,,,0.65%,262.44 kr,1.70,655.25,277.71,396.74,-4%,150%,0.26%,0.61%,2.48%,451.95%,454.90%,7.75,0.43%,-2.58%,,2000,0.00,,1/1/1970,1970,,3,0.26%,65,222,2.46%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,266.67 kr,,,1/26/2015,,1/26/2015,,,,,0.64%,266.67 kr,1.70,655.25,277.71,396.74,-3%,146%,0.26%,0.61%,2.44%,443.18%,446.09%,7.75,0.43%,-1.01%,,2001,0.00,,1/1/1971,1971,,4,0.27%,29,251,1.10%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,263.59 kr,,,2/2/2015,,2/2/2015,,,,,0.64%,263.59 kr,1.70,655.25,277.71,396.74,-4%,149%,0.26%,0.61%,2.47%,449.54%,452.48%,7.75,0.43%,-2.15%,,2002,0.30,,1/1/1972,1972,,5,0.28%,33,284,1.25%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,265.70 kr,,,2/9/2015,,2/9/2015,,,,,0.64%,265.70 kr,1.70,655.25,277.71,396.74,-3%,147%,0.26%,0.61%,2.45%,445.17%,448.08%,7.75,0.43%,-1.37%,,2003,0.60,100.00%,1/1/1973,1973,,6,0.29%,31,315,1.17%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,265.55 kr,,,2/16/2015,,2/17/2015,,,,,0.64%,265.55 kr,1.70,655.25,277.71,396.74,-3%,147%,0.26%,0.61%,2.45%,445.48%,448.40%,7.75,0.43%,-1.43%,,2004,1.05,75.00%,1/1/1974,1974,,7,0.30%,26,341,0.98%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,255.93 kr,,,2/23/2015,,2/23/2015,,,,,0.66%,255.93 kr,1.70,655.25,277.71,396.74,-6%,156%,0.26%,0.61%,2.54%,465.98%,469.01%,7.75,0.43%,-5.00%,,2005,1.25,19.05%,1/1/1975,1975,,8,0.31%,29,370,1.10%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,252.11 kr,,,3/2/2015,,3/2/2015,,,,,0.67%,252.11 kr,1.70,655.25,277.71,396.74,-7%,160%,0.26%,0.61%,2.58%,474.55%,477.63%,7.75,0.43%,-6.41%,,2006,1.25,0.00%,1/1/1976,1976,,9,0.32%,42,412,1.59%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,248.16 kr,,,3/9/2015,,3/9/2015,,,,,0.69%,248.16 kr,1.70,655.25,277.71,396.74,-8%,164%,0.26%,0.61%,2.62%,483.69%,486.82%,7.75,0.43%,-7.88%,,2007,1.25,0.00%,1/1/1977,1977,,10,0.33%,63,475,2.39%
