,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ED US,Consolidated Edison,,,,,,,,,,120%,-5%,$       113.01,$          76.78,$           91.98,$            115.46,$        106.95,4.72%,3.03%,3.55%,5.03%,75.48%,92.97%,128%,,,,,,,NO,,,4.54%,2.85%,1.68%,0.03%,56
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Consolidated Edison - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.22%,11/10/2017,,,,,,,,,,$           91.98,-19%,2.87%,$        106.95,$          76.08,$             64.40,$           63.51,2.81%,4.22%,3.52%,2.81%,-2.12%,-2.12%,-27%,,,,5Y CAGR,0.89%,,Consolidated Edison - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.92%,,Consolidated Edison - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Consolidated Edison - Rating: 120% - Upside: -5%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       64.40,,,12/29/2014,,12/29/2014,,,,,4.16%,$             64.40,2.68,88.46,63.51,76.08,4%,37%,3.03%,4.22%,5.03%,75.48%,92.97%,11.26,3.52%,0.00%,,1997,0.00,-,120,,,0,2.85%,15,15,0.57%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        64.91,,,1/5/2015,,1/5/2015,,,,,4.13%,$              64.91,2.68,88.46,63.51,76.08,6%,36%,3.03%,4.22%,4.99%,74.10%,91.45%,11.26,3.52%,0.00%,,1998,0.00,,-5,,,1,2.88%,30,45,1.13%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       65.22,,,1/12/2015,,1/12/2015,,,,,4.11%,$             65.22,2.68,88.46,63.51,76.08,7%,36%,3.03%,4.22%,4.97%,73.28%,90.54%,11.26,3.52%,0.00%,,1999,0.00,,,,,2,2.91%,23,68,0.87%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       65.72,,,1/20/2015,,1/20/2015,,,,,4.08%,$             65.72,2.68,88.46,63.51,76.08,9%,35%,3.03%,4.22%,4.93%,71.96%,89.09%,11.26,3.52%,0.00%,,2000,0.00,,1/1/1970,1970,,3,2.94%,18,86,0.68%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       66.43,,,1/26/2015,,1/26/2015,,,,,4.03%,$             66.43,2.68,88.46,63.51,76.08,12%,33%,3.03%,4.22%,4.88%,70.12%,87.07%,11.26,3.52%,0.00%,,2001,0.00,,1/1/1971,1971,,4,2.97%,16,102,0.60%
