,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ELISA FH,Elisa Oyj,,,,,,,,,,-33%,77%,$       34.40,$          40.93,$          49.33,$             58.64,$          60.79,6.30%,3.54%,4.38%,7.57%,21.13%,43.31%,137%,,,,,,,NO,,,6.08%,3.29%,2.80%,0.04%,70
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Elisa Oyj - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.25%,11/10/2017,,,,,,,,,,$          49.33,43%,6.25%,$          60.79,$           32.12,$             28.40,$          26.65,3.15%,5.25%,4.36%,3.67%,-41.34%,-41.34%,-34%,,,,5Y CAGR,1.97%,,Elisa Oyj - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.38%,,Elisa Oyj - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Elisa Oyj - Rating: -33% - Upside: 77%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        33.91,,,12/29/2014,,12/29/2014,,,,,4.13%,€                33.91,1.40,39.58,26.65,32.12,56%,17%,3.54%,5.25%,6.34%,1.45%,20.02%,6.3,4.36%,0.00%,,1997,0.00,-,-33,,,0,3.29%,13,13,0.49%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         33.87,,,1/5/2015,,1/5/2015,,,,,4.13%,€               33.87,1.40,39.58,26.65,32.12,56%,17%,3.54%,5.25%,6.35%,1.56%,20.17%,6.3,4.36%,-0.12%,,1998,0.00,,77,,,1,3.33%,17,30,0.64%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         34.43,,,1/12/2015,,1/12/2015,,,,,4.07%,€               34.43,1.40,39.58,26.65,32.12,60%,15%,3.54%,5.25%,6.24%,-0.09%,18.21%,6.3,4.36%,0.00%,,1999,0.00,,,,,2,3.37%,18,48,0.68%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         34.72,,,1/19/2015,,1/20/2015,,,,,4.03%,€               34.72,1.40,39.58,26.65,32.12,62%,14%,3.54%,5.25%,6.19%,-0.92%,17.22%,6.3,4.36%,0.00%,,2000,0.00,,1/1/1970,1970,,3,3.41%,22,70,0.83%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         34.70,,,1/26/2015,,1/26/2015,,,,,4.03%,€               34.70,1.40,39.58,26.65,32.12,62%,14%,3.54%,5.25%,6.20%,-0.86%,17.29%,6.3,4.36%,-0.06%,,2001,0.00,,1/1/1971,1971,,4,3.45%,18,88,0.68%
