,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,EMA CN,Emera Inc,,,,,,,,,,142%,-11%,$       77.52,$           48.01,$           61.23,$             77.52,$          68.77,6.29%,4.05%,4.75%,7.26%,101.88%,114.00%,142%,,,,,,,NO,,,6.14%,3.68%,2.46%,0.04%,61
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Emera Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.81%,11/10/2017,,,,,,,,,,$           61.23,-21%,3.60%,$          68.77,$          43.82,$             38.40,$          34.36,3.60%,5.81%,4.55%,3.60%,0.00%,0.00%,-18%,,,,5Y CAGR,1.60%,,Emera Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.40%,,Emera Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Emera Inc - Rating: 142% - Upside: -11%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       42.84,,,12/29/2014,,12/29/2014,,,,,4.66%,$             42.84,2.00,49.22,34.36,43.82,57%,15%,4.05%,5.81%,6.51%,80.95%,101.46%,8.785,4.55%,0.00%,,1997,0.00,-,142,,,0,3.68%,8,8,0.30%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       43.08,,,1/5/2015,,1/5/2015,,,,,4.63%,$             43.08,2.00,49.22,34.36,43.82,59%,14%,4.05%,5.81%,6.47%,79.94%,100.34%,8.785,4.55%,0.00%,,1998,0.00,,-11,,,1,3.72%,3,11,0.11%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        43.16,,,1/12/2015,,1/12/2015,,,,,4.62%,$              43.16,2.00,49.22,34.36,43.82,59%,14%,4.05%,5.81%,6.46%,79.61%,99.97%,8.785,4.55%,0.00%,,1999,0.00,,,,,2,3.76%,12,23,0.45%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       42.34,,,1/19/2015,,1/20/2015,,,,,4.71%,$             42.34,2.00,49.22,34.36,43.82,54%,16%,4.05%,5.81%,6.58%,83.09%,103.84%,8.785,4.55%,-1.90%,,2000,0.00,,1/1/1970,1970,,3,3.80%,12,35,0.45%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       42.80,,,1/26/2015,,1/26/2015,,,,,4.66%,$             42.80,2.00,49.22,34.36,43.82,57%,15%,4.05%,5.81%,6.51%,81.12%,101.65%,8.785,4.55%,-0.83%,,2001,0.00,,1/1/1971,1971,,4,3.84%,22,57,0.83%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       43.30,,,2/2/2015,,2/2/2015,,,,,4.61%,$             43.30,2.00,49.22,34.36,43.82,60%,14%,4.05%,5.81%,6.44%,79.03%,99.32%,8.785,4.55%,0.00%,,2002,0.86,,1/1/1972,1972,,5,3.88%,18,75,0.68%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       43.72,,,2/9/2015,,2/9/2015,,,,,4.56%,$             43.72,2.00,49.22,34.36,43.82,63%,13%,4.05%,5.81%,6.38%,77.31%,97.40%,8.785,4.55%,0.00%,,2003,0.86,0.00%,1/1/1973,1973,,6,3.92%,12,87,0.45%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       43.39,,,2/17/2015,,2/17/2015,,,,,4.60%,$             43.39,2.00,49.22,34.36,43.82,61%,13%,4.05%,5.81%,6.42%,78.66%,98.91%,8.785,4.55%,-0.75%,,2004,0.88,2.33%,1/1/1974,1974,,7,3.96%,11,98,0.42%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       43.03,,,2/23/2015,,2/23/2015,,,,,4.64%,$             43.03,2.00,49.22,34.36,43.82,58%,14%,4.05%,5.81%,6.48%,80.15%,100.57%,8.785,4.55%,-1.58%,,2005,0.89,1.14%,1/1/1975,1975,,8,4.00%,13,111,0.49%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       42.43,,,3/2/2015,,3/2/2015,,,,,4.70%,$             42.43,2.00,49.22,34.36,43.82,54%,16%,4.05%,5.81%,6.57%,82.70%,103.41%,8.785,4.55%,-2.95%,,2006,0.89,0.00%,1/1/1976,1976,,9,4.04%,40,151,1.51%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                       42.08,,,3/9/2015,,3/9/2015,,,,,4.74%,$             42.08,2.00,49.22,34.36,43.82,52%,17%,4.05%,5.81%,6.62%,84.22%,105.10%,8.785,4.55%,-3.75%,,2007,0.90,1.12%,1/1/1977,1977,,10,4.08%,56,207,2.11%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       42.74,,,3/16/2015,,3/16/2015,,,,,4.67%,$             42.74,2.00,49.22,34.36,43.82,56%,15%,4.05%,5.81%,6.52%,81.38%,101.93%,8.785,4.55%,-2.24%,,2008,0.97,7.22%,1/1/1978,1978,,11,4.12%,64,271,2.42%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       42.66,,,3/23/2015,,3/23/2015,,,,,4.68%,$             42.66,2.00,49.22,34.36,43.82,56%,15%,4.05%,5.81%,6.53%,81.72%,102.31%,8.785,4.55%,-2.42%,,2009,1.03,6.74%,1/1/1979,1979,,12,4.16%,71,342,2.68%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       43.25,,,3/30/2015,,3/30/2015,,,,,4.61%,$             43.25,2.00,49.22,34.36,43.82,60%,14%,4.05%,5.81%,6.45%,79.24%,99.55%,8.785,4.55%,-1.08%,,2010,1.16,12.86%,1/1/1980,1980,,13,4.20%,77,419,2.91%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       43.72,,,4/6/2015,,4/6/2015,,,,,4.56%,$             43.72,2.00,49.22,34.36,43.82,63%,13%,4.05%,5.81%,6.38%,77.31%,97.40%,8.785,4.55%,0.00%,,2011,1.31,12.90%,1/1/1981,1981,,14,4.24%,63,482,2.38%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       43.55,,,4/13/2015,,4/13/2015,,,,,4.58%,$             43.55,2.00,49.22,34.36,43.82,62%,13%,4.05%,5.81%,6.40%,78.00%,98.17%,8.785,4.55%,-0.39%,,2012,1.36,3.81%,1/1/1982,1982,,15,4.28%,84,566,3.17%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       43.69,,,4/20/2015,,4/20/2015,,,,,4.57%,$             43.69,2.00,49.22,34.36,43.82,63%,13%,4.05%,5.81%,6.38%,77.43%,97.54%,8.785,4.55%,-0.07%,,2013,1.41,3.67%,1/1/1983,1983,,16,4.32%,112,678,4.23%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        43.91,,,4/27/2015,,4/27/2015,,,,,4.54%,$              43.91,2.00,49.22,34.36,43.82,64%,12%,4.05%,5.81%,6.35%,76.54%,96.55%,8.785,4.55%,0.00%,,2014,1.48,4.42%,1/1/1984,1984,,17,4.36%,133,811,5.02%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       44.64,,,5/4/2015,,5/4/2015,,,,,4.47%,$             44.64,2.00,49.22,34.36,43.82,69%,10%,4.05%,5.81%,6.24%,73.66%,93.34%,8.785,4.55%,0.00%,,2015,1.66,12.71%,1/1/1985,1985,,18,4.40%,132,943,4.98%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       44.67,,,5/11/2015,,5/11/2015,,,,,4.47%,$             44.67,2.00,49.22,34.36,43.82,69%,10%,4.05%,5.81%,6.24%,73.54%,93.21%,8.785,4.55%,0.00%,,2016,2.00,20.00%,1/1/1986,1986,,19,4.44%,147,1090,5.55%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       44.97,,,5/19/2015,,5/18/2015,,,,,4.44%,$             44.97,2.00,49.22,34.36,43.82,71%,9%,4.05%,5.81%,6.20%,72.38%,91.92%,8.785,4.55%,0.00%,,2017,2.13,6.89%,1/1/1987,1987,,20,4.48%,112,1202,4.23%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                        45.12,,,5/25/2015,,5/26/2015,,,,,4.42%,$              45.12,2.00,49.22,34.36,43.82,72%,9%,4.05%,5.81%,6.18%,71.81%,91.28%,8.785,4.55%,0.00%,,2018,2.28,7.03%,1/1/1988,1988,,21,4.52%,140,1342,5.29%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       45.52,,,6/1/2015,,6/1/2015,,,,,4.38%,$             45.52,2.00,49.22,34.36,43.82,75%,8%,4.05%,5.81%,6.12%,70.30%,89.60%,8.785,4.55%,0.00%,,2019,2.38,4.05%,1/1/1989,1989,,22,4.56%,106,1448,4.00%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       45.87,,,6/8/2015,,6/8/2015,,,,,4.35%,$             45.87,2.00,49.22,34.36,43.82,77%,7%,4.05%,5.81%,6.08%,69.00%,88.15%,8.785,4.55%,0.00%,,2020,2.48,4.21%,1/1/1990,1990,,23,4.60%,59,1507,2.23%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       45.96,,,6/15/2015,,6/15/2015,,,,,4.34%,$             45.96,2.00,49.22,34.36,43.82,78%,7%,4.05%,5.81%,6.07%,68.67%,87.78%,8.785,4.55%,0.00%,,2021,2.58,4.04%,1/1/1991,1991,,24,4.64%,45,1552,1.70%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       46.44,,,6/22/2015,,6/22/2015,,,,,4.30%,$             46.44,2.00,49.22,34.36,43.82,81%,6%,4.05%,5.81%,6.00%,66.93%,85.84%,8.785,4.55%,0.00%,,2022,2.68,3.98%,1/1/1992,1992,,25,4.68%,75,1627,2.83%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                        46.17,,,6/29/2015,,6/29/2015,,,,,4.32%,$              46.17,2.00,49.22,34.36,43.82,80%,7%,4.05%,5.81%,6.04%,67.90%,86.93%,8.785,4.55%,-0.58%,,2023,2.79,4.11%,1/1/1993,1993,,26,4.72%,44,1671,1.66%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       45.27,,,7/6/2015,,7/6/2015,,,,,4.41%,$             45.27,2.00,49.22,34.36,43.82,73%,9%,4.05%,5.81%,6.16%,71.24%,90.65%,8.785,4.55%,-2.52%,,2024,2.79,0.00%,1/1/1994,1994,,27,4.76%,16,1687,0.60%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                       45.05,,,7/13/2015,,7/13/2015,,,,,4.43%,$             45.05,2.00,49.22,34.36,43.82,72%,9%,4.05%,5.81%,6.19%,72.08%,91.58%,8.785,4.55%,-2.99%,,2025,2.79,0.00%,1/1/1995,1995,,28,4.80%,23,1710,0.87%
