,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,EN FP,Bouygues SA,,,,,,,,,,97%,1%,$       47.54,$          28.87,$          35.28,$             53.00,$          48.04,7.34%,3.75%,5.08%,7.77%,105.27%,116.65%,126%,,,,,,,NO,,,6.78%,3.45%,3.33%,0.05%,67
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Bouygues SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.23%,11/10/2017,,,,,,,,,,$          35.28,-26%,3.79%,$          48.04,$           31.36,$              23.16,$          25.66,3.40%,6.23%,5.10%,3.40%,-10.30%,-10.30%,-23%,,,,5Y CAGR,1.15%,,Bouygues SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.18%,,Bouygues SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Bouygues SA - Rating: 97% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       36.55,,,12/29/2014,,12/29/2014,,,,,4.38%,€               36.55,1.60,42.70,25.66,31.36,64%,17%,3.75%,6.23%,4.93%,30.09%,48.15%,6.6,5.10%,0.00%,,1997,0.00,-,97,,,0,3.45%,7,7,0.26%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          37.16,,,1/5/2015,,1/5/2015,,,,,4.31%,€                37.16,1.60,42.70,25.66,31.36,67%,15%,3.75%,6.23%,4.84%,27.95%,45.71%,6.6,5.10%,0.00%,,1998,0.00,,1,,,1,3.50%,11,18,0.41%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         37.30,,,1/12/2015,,1/12/2015,,,,,4.29%,€               37.30,1.60,42.70,25.66,31.36,68%,14%,3.75%,6.23%,4.83%,27.45%,45.15%,6.6,5.10%,0.00%,,1999,0.00,,,,,2,3.55%,32,50,1.18%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         36.68,,,1/19/2015,,1/20/2015,,,,,4.36%,€               36.68,1.60,42.70,25.66,31.36,65%,16%,3.75%,6.23%,4.91%,29.61%,47.60%,6.6,5.10%,-1.66%,,2000,0.00,,1/1/1970,1970,,3,3.60%,30,80,1.11%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          36.13,,,1/26/2015,,1/26/2015,,,,,4.43%,€                36.13,1.60,42.70,25.66,31.36,61%,18%,3.75%,6.23%,4.98%,31.58%,49.85%,6.6,5.10%,-3.14%,,2001,0.00,,1/1/1971,1971,,4,3.65%,19,99,0.70%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         35.72,,,2/2/2015,,2/2/2015,,,,,4.48%,€               35.72,1.60,42.70,25.66,31.36,59%,20%,3.75%,6.23%,5.04%,33.11%,51.59%,6.6,5.10%,-4.25%,,2002,0.41,,1/1/1972,1972,,5,3.70%,25,124,0.93%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         35.48,,,2/9/2015,,2/9/2015,,,,,4.51%,€               35.48,1.60,42.70,25.66,31.36,58%,20%,3.75%,6.23%,5.07%,34.01%,52.61%,6.6,5.10%,-4.89%,,2003,0.40,-4.35%,1/1/1973,1973,,6,3.75%,18,142,0.67%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         35.84,,,2/16/2015,,2/17/2015,,,,,4.46%,€               35.84,1.60,42.70,25.66,31.36,60%,19%,3.75%,6.23%,5.02%,32.66%,51.08%,6.6,5.10%,-3.93%,,2004,0.50,26.26%,1/1/1974,1974,,7,3.80%,13,155,0.48%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         35.97,,,2/23/2015,,2/23/2015,,,,,4.45%,€               35.97,1.60,42.70,25.66,31.36,60%,19%,3.75%,6.23%,5.00%,32.17%,50.51%,6.6,5.10%,-3.57%,,2005,0.75,50.00%,1/1/1975,1975,,8,3.85%,15,170,0.56%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                          35.51,,,3/2/2015,,3/2/2015,,,,,4.51%,€                35.51,1.60,42.70,25.66,31.36,58%,20%,3.75%,6.23%,5.07%,33.90%,52.49%,6.6,5.10%,-4.81%,,2006,0.90,20.00%,1/1/1976,1976,,9,3.90%,16,186,0.59%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                           35.11,,,3/9/2015,,3/9/2015,,,,,4.56%,€                 35.11,1.60,42.70,25.66,31.36,55%,22%,3.75%,6.23%,5.13%,35.40%,54.20%,6.6,5.10%,-5.87%,,2007,1.20,33.33%,1/1/1977,1977,,10,3.95%,40,226,1.48%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                         34.64,,,3/16/2015,,3/16/2015,,,,,4.62%,€               34.64,1.60,42.70,25.66,31.36,53%,23%,3.75%,6.23%,5.20%,37.24%,56.29%,6.6,5.10%,-7.13%,,2008,1.50,25.00%,1/1/1978,1978,,11,4.00%,25,251,0.93%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                         35.26,,,3/23/2015,,3/23/2015,,,,,4.54%,€               35.26,1.60,42.70,25.66,31.36,56%,21%,3.75%,6.23%,5.11%,34.85%,53.57%,6.6,5.10%,-5.48%,,2009,1.60,6.67%,1/1/1979,1979,,12,4.05%,34,285,1.26%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                         34.20,,,3/30/2015,,3/30/2015,,,,,4.68%,€               34.20,1.60,42.70,25.66,31.36,50%,25%,3.75%,6.23%,5.26%,39.03%,58.33%,6.6,5.10%,-8.32%,,2010,1.60,0.00%,1/1/1980,1980,,13,4.10%,31,316,1.15%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                         34.72,,,4/7/2015,,4/6/2015,,,,,4.61%,€               34.72,1.60,42.70,25.66,31.36,53%,23%,3.75%,6.23%,5.18%,36.92%,55.93%,6.6,5.10%,-6.92%,,2011,1.60,0.00%,1/1/1981,1981,,14,4.15%,64,380,2.37%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                         35.69,,,4/13/2015,,4/13/2015,,,,,4.48%,€               35.69,1.60,42.70,25.66,31.36,59%,20%,3.75%,6.23%,5.04%,33.20%,51.70%,6.6,5.10%,-4.32%,,2012,1.60,0.00%,1/1/1982,1982,,15,4.20%,41,421,1.52%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                         35.40,,,4/20/2015,,4/20/2015,,,,,4.52%,€               35.40,1.60,42.70,25.66,31.36,57%,21%,3.75%,6.23%,5.08%,34.29%,52.94%,6.6,5.10%,-5.09%,,2013,1.60,0.00%,1/1/1983,1983,,16,4.25%,28,449,1.04%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,€                                                         35.39,,,4/27/2015,,4/27/2015,,,,,4.52%,€               35.39,1.60,42.70,25.66,31.36,57%,21%,3.75%,6.23%,5.09%,34.33%,52.98%,6.6,5.10%,-5.12%,,2014,1.60,0.00%,1/1/1984,1984,,17,4.30%,36,485,1.33%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,€                                                         36.05,,,5/4/2015,,5/4/2015,,,,,4.44%,€               36.05,1.60,42.70,25.66,31.36,61%,18%,3.75%,6.23%,4.99%,31.87%,50.18%,6.6,5.10%,-3.35%,,2015,1.60,0.00%,1/1/1985,1985,,18,4.35%,44,529,1.63%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,€                                                         35.67,,,5/11/2015,,5/11/2015,,,,,4.49%,€               35.67,1.60,42.70,25.66,31.36,59%,20%,3.75%,6.23%,5.05%,33.28%,51.78%,6.6,5.10%,-4.37%,,2016,1.60,0.00%,1/1/1986,1986,,19,4.40%,47,576,1.74%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,€                                                         36.07,,,5/18/2015,,5/18/2015,,,,,4.44%,€               36.07,1.60,42.70,25.66,31.36,61%,18%,3.75%,6.23%,4.99%,31.82%,50.12%,6.6,5.10%,-3.31%,,2017,1.60,0.00%,1/1/1987,1987,,20,4.45%,43,619,1.59%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,€                                                         36.05,,,5/25/2015,,5/26/2015,,,,,4.44%,€               36.05,1.60,42.70,25.66,31.36,61%,18%,3.75%,6.23%,4.99%,31.87%,50.18%,6.6,5.10%,-3.35%,,2018,1.70,6.25%,1/1/1988,1988,,21,4.50%,50,669,1.85%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,€                                                         35.35,,,6/1/2015,,6/1/2015,,,,,4.53%,€               35.35,1.60,42.70,25.66,31.36,57%,21%,3.75%,6.23%,5.09%,34.50%,53.18%,6.6,5.10%,-5.24%,,2019,1.70,0.00%,1/1/1989,1989,,22,4.55%,48,717,1.78%
