,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ENB CN,Enbridge,,,,,,,,,,69%,18%,$        80.21,$          47.96,$          60.55,$              80.21,$          94.46,9.50%,3.99%,6.15%,10.41%,135.29%,135.29%,123%,,,,,,,NO,,,8.72%,3.65%,5.07%,0.10%,51
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,2.02%,,Enbridge - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.86%,11/10/2017,,,,,,,,,,$          60.55,-25%,4.70%,$          94.46,$          34.05,$             34.09,$          26.97,3.59%,7.86%,6.23%,4.43%,0.00%,0.00%,-18%,,,,5Y CAGR,2.45%,,Enbridge - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.93%,,Enbridge - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Enbridge - Rating: 69% - Upside: 18%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       45.88,,,12/29/2014,,12/29/2014,,,,,4.62%,$             45.88,2.12,53.12,26.97,34.05,72%,16%,3.99%,7.86%,7.74%,74.83%,96.99%,10.169,6.23%,0.00%,,1997,0.00,-,69,,,0,3.65%,45,45,1.70%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       46.00,,,1/5/2015,,1/5/2015,,,,,4.61%,$             46.00,2.12,53.12,26.97,34.05,73%,15%,3.99%,7.86%,7.72%,74.37%,96.48%,10.169,6.23%,0.00%,,1998,0.00,,18,,,1,3.75%,24,69,0.91%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       44.58,,,1/12/2015,,1/12/2015,,,,,4.76%,$             44.58,2.12,53.12,26.97,34.05,67%,19%,3.99%,7.86%,7.96%,79.92%,102.73%,10.169,6.23%,-3.09%,,1999,0.00,,,,,2,3.85%,37,106,1.40%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       43.70,,,1/19/2015,,1/20/2015,,,,,4.85%,$             43.70,2.12,53.12,26.97,34.05,64%,22%,3.99%,7.86%,8.12%,83.55%,106.82%,10.169,6.23%,-5.00%,,2000,0.00,,1/1/1970,1970,,3,3.95%,34,140,1.28%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       44.89,,,1/26/2015,,1/26/2015,,,,,4.72%,$             44.89,2.12,53.12,26.97,34.05,69%,18%,3.99%,7.86%,7.91%,78.68%,101.33%,10.169,6.23%,-2.41%,,2001,0.00,,1/1/1971,1971,,4,4.05%,25,165,0.94%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       44.33,,,2/2/2015,,2/2/2015,,,,,4.78%,$             44.33,2.12,53.12,26.97,34.05,66%,20%,3.99%,7.86%,8.01%,80.94%,103.88%,10.169,6.23%,-3.63%,,2002,0.38,,1/1/1972,1972,,5,4.15%,38,203,1.44%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       44.53,,,2/9/2015,,2/9/2015,,,,,4.76%,$             44.53,2.12,53.12,26.97,34.05,67%,19%,3.99%,7.86%,7.97%,80.13%,102.96%,10.169,6.23%,-3.20%,,2003,0.42,9.21%,1/1/1973,1973,,6,4.25%,58,261,2.19%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       42.82,,,2/17/2015,,2/17/2015,,,,,4.95%,$             42.82,2.12,53.12,26.97,34.05,61%,24%,3.99%,7.86%,8.29%,87.32%,111.07%,10.169,6.23%,-6.91%,,2004,0.46,10.24%,1/1/1974,1974,,7,4.35%,28,289,1.06%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       44.78,,,2/23/2015,,2/23/2015,,,,,4.73%,$             44.78,2.12,53.12,26.97,34.05,68%,19%,3.99%,7.86%,7.93%,79.12%,101.83%,10.169,6.23%,-2.65%,,2005,0.52,13.39%,1/1/1975,1975,,8,4.45%,15,304,0.57%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       44.04,,,3/2/2015,,3/2/2015,,,,,4.81%,$             44.04,2.12,53.12,26.97,34.05,65%,21%,3.99%,7.86%,8.06%,82.13%,105.22%,10.169,6.23%,-4.26%,,2006,0.58,10.84%,1/1/1976,1976,,9,4.55%,39,343,1.47%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                       43.54,,,3/9/2015,,3/9/2015,,,,,4.87%,$             43.54,2.12,53.12,26.97,34.05,63%,22%,3.99%,7.86%,8.15%,84.22%,107.58%,10.169,6.23%,-5.35%,,2007,0.62,6.96%,1/1/1977,1977,,10,4.65%,55,398,2.08%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       44.07,,,3/16/2015,,3/16/2015,,,,,4.81%,$             44.07,2.12,53.12,26.97,34.05,65%,21%,3.99%,7.86%,8.06%,82.01%,105.08%,10.169,6.23%,-4.20%,,2008,0.66,7.32%,1/1/1978,1978,,11,4.75%,59,457,2.23%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        41.23,,,3/23/2015,,3/23/2015,,,,,5.14%,$              41.23,2.12,53.12,26.97,34.05,55%,29%,3.99%,7.86%,8.61%,94.54%,119.21%,10.169,6.23%,-10.37%,,2009,0.74,12.12%,1/1/1979,1979,,12,4.85%,49,506,1.85%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       44.66,,,3/30/2015,,3/30/2015,,,,,4.75%,$             44.66,2.12,53.12,26.97,34.05,68%,19%,3.99%,7.86%,7.95%,79.60%,102.37%,10.169,6.23%,-2.91%,,2010,0.85,14.86%,1/1/1980,1980,,13,4.95%,27,533,1.02%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       47.42,,,4/6/2015,,4/6/2015,,,,,4.47%,$             47.42,2.12,53.12,26.97,34.05,78%,12%,3.99%,7.86%,7.49%,69.15%,90.59%,10.169,6.23%,0.00%,,2011,0.98,15.29%,1/1/1981,1981,,14,5.05%,28,561,1.06%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       44.98,,,4/13/2015,,4/13/2015,,,,,4.71%,$             44.98,2.12,53.12,26.97,34.05,69%,18%,3.99%,7.86%,7.89%,78.32%,100.93%,10.169,6.23%,-5.15%,,2012,1.13,15.31%,1/1/1982,1982,,15,5.15%,21,582,0.79%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       45.87,,,4/20/2015,,4/20/2015,,,,,4.62%,$             45.87,2.12,53.12,26.97,34.05,72%,16%,3.99%,7.86%,7.74%,74.86%,97.03%,10.169,6.23%,-3.27%,,2013,1.26,11.50%,1/1/1983,1983,,16,5.25%,18,600,0.68%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       45.39,,,4/27/2015,,4/27/2015,,,,,4.67%,$             45.39,2.12,53.12,26.97,34.05,70%,17%,3.99%,7.86%,7.82%,76.71%,99.12%,10.169,6.23%,-4.28%,,2014,1.40,11.11%,1/1/1984,1984,,17,5.35%,20,620,0.76%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       46.45,,,5/4/2015,,5/4/2015,,,,,4.56%,$             46.45,2.12,53.12,26.97,34.05,74%,14%,3.99%,7.86%,7.64%,72.68%,94.57%,10.169,6.23%,-2.05%,,2015,1.86,32.86%,1/1/1985,1985,,18,5.45%,23,643,0.87%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       48.66,,,5/11/2015,,5/11/2015,,,,,4.36%,$             48.66,2.12,53.12,26.97,34.05,83%,9%,3.99%,7.86%,7.30%,64.84%,85.74%,10.169,6.23%,0.00%,,2016,2.12,13.98%,1/1/1986,1986,,19,5.55%,31,674,1.17%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       46.97,,,5/19/2015,,5/18/2015,,,,,4.51%,$             46.97,2.12,53.12,26.97,34.05,76%,13%,3.99%,7.86%,7.56%,70.77%,92.42%,10.169,6.23%,-3.47%,,2017,2.41,13.82%,1/1/1987,1987,,20,5.65%,68,742,2.57%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                         46.11,,,5/25/2015,,5/26/2015,,,,,4.60%,$               46.11,2.12,53.12,26.97,34.05,73%,15%,3.99%,7.86%,7.70%,73.95%,96.01%,10.169,6.23%,-5.24%,,2018,2.68,11.23%,1/1/1988,1988,,21,5.75%,84,826,3.17%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       47.87,,,6/1/2015,,6/1/2015,,,,,4.43%,$             47.87,2.12,53.12,26.97,34.05,80%,11%,3.99%,7.86%,7.42%,67.56%,88.80%,10.169,6.23%,-1.62%,,2019,2.95,9.99%,1/1/1989,1989,,22,5.85%,114,940,4.31%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       47.64,,,6/8/2015,,6/8/2015,,,,,4.45%,$             47.64,2.12,53.12,26.97,34.05,79%,12%,3.99%,7.86%,7.45%,68.37%,89.71%,10.169,6.23%,-2.10%,,2020,3.24,9.76%,1/1/1990,1990,,23,5.95%,138,1078,5.21%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                        47.16,,,6/15/2015,,6/15/2015,,,,,4.50%,$              47.16,2.12,53.12,26.97,34.05,77%,13%,3.99%,7.86%,7.53%,70.08%,91.64%,10.169,6.23%,-3.08%,,2021,3.34,3.09%,1/1/1991,1991,,24,6.05%,131,1209,4.95%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       46.42,,,6/22/2015,,6/22/2015,,,,,4.57%,$             46.42,2.12,53.12,26.97,34.05,74%,14%,3.99%,7.86%,7.65%,72.79%,94.70%,10.169,6.23%,-4.60%,,2022,3.44,2.99%,1/1/1992,1992,,25,6.15%,125,1334,4.72%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       44.77,,,6/29/2015,,6/29/2015,,,,,4.74%,$             44.77,2.12,53.12,26.97,34.05,68%,19%,3.99%,7.86%,7.93%,79.16%,101.87%,10.169,6.23%,-7.99%,,2023,3.55,3.20%,1/1/1993,1993,,26,6.25%,130,1464,4.91%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       44.00,,,7/6/2015,,7/6/2015,,,,,4.82%,$             44.00,2.12,53.12,26.97,34.05,65%,21%,3.99%,7.86%,8.07%,82.30%,105.41%,10.169,6.23%,-9.58%,,2024,3.66,3.10%,1/1/1994,1994,,27,6.35%,111,1575,4.19%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                       42.98,,,7/13/2015,,7/13/2015,,,,,4.93%,$             42.98,2.12,53.12,26.97,34.05,61%,24%,3.99%,7.86%,8.26%,86.62%,110.28%,10.169,6.23%,-11.67%,,2025,3.77,3.01%,1/1/1995,1995,,28,6.45%,83,1658,3.13%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                        44.13,,,7/20/2015,,7/20/2015,,,,,4.80%,$              44.13,2.12,53.12,26.97,34.05,66%,20%,3.99%,7.86%,8.04%,81.76%,104.80%,10.169,6.23%,-9.31%,,2026,3.77,0.00%,1/1/1996,1996,,29,6.55%,108,1766,4.08%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       45.27,,,7/27/2015,,7/27/2015,,,,,4.68%,$             45.27,2.12,53.12,26.97,34.05,70%,17%,3.99%,7.86%,7.84%,77.18%,99.64%,10.169,6.23%,-6.97%,,,,,1/1/1997,1997,,30,6.65%,100,1866,3.78%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                        45.51,,,8/4/2015,,8/3/2015,,,,,4.66%,$              45.51,2.12,53.12,26.97,34.05,71%,17%,3.99%,7.86%,7.80%,76.25%,98.59%,10.169,6.23%,-6.47%,,,,,1/1/1998,1998,,31,6.75%,72,1938,2.72%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                       44.05,,,8/10/2015,,8/10/2015,,,,,4.81%,$             44.05,2.12,53.12,26.97,34.05,65%,21%,3.99%,7.86%,8.06%,82.09%,105.17%,10.169,6.23%,-9.47%,,,,,1/1/1999,1999,,32,6.85%,53,1991,2.00%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                        43.14,,,8/17/2015,,8/17/2015,,,,,4.91%,$              43.14,2.12,53.12,26.97,34.05,62%,23%,3.99%,7.86%,8.23%,85.93%,109.50%,10.169,6.23%,-11.34%,,,,,1/1/2000,2000,,33,6.95%,31,2022,1.17%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                       43.68,,,8/24/2015,,8/24/2015,,,,,4.85%,$             43.68,2.12,53.12,26.97,34.05,64%,22%,3.99%,7.86%,8.13%,83.63%,106.91%,10.169,6.23%,-10.23%,,,,,1/1/2001,2001,,34,7.05%,36,2058,1.36%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                       42.77,,,8/31/2015,,8/31/2015,,,,,4.96%,$             42.77,2.12,53.12,26.97,34.05,60%,24%,3.99%,7.86%,8.30%,87.54%,111.31%,10.169,6.23%,-12.10%,,,,,1/1/2002,2002,,35,7.15%,57,2115,2.15%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                        43.16,,,9/8/2015,,9/8/2015,,,,,4.91%,$              43.16,2.12,53.12,26.97,34.05,62%,23%,3.99%,7.86%,8.23%,85.84%,109.40%,10.169,6.23%,-11.30%,,,,,1/1/2003,2003,,36,7.25%,54,2169,2.04%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                       45.60,,,9/14/2015,,9/14/2015,,,,,4.65%,$             45.60,2.12,53.12,26.97,34.05,71%,16%,3.99%,7.86%,7.79%,75.90%,98.20%,10.169,6.23%,-6.29%,,,,,1/1/2004,2004,,37,7.35%,73,2242,2.76%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,$                                                       46.98,,,9/21/2015,,9/21/2015,,,,,4.51%,$             46.98,2.12,53.12,26.97,34.05,77%,13%,3.99%,7.86%,7.56%,70.73%,92.38%,10.169,6.23%,-3.45%,,,,,1/1/2005,2005,,38,7.45%,82,2324,3.10%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                       47.79,,,9/28/2015,,9/28/2015,,,,,4.44%,$             47.79,2.12,53.12,26.97,34.05,80%,11%,3.99%,7.86%,7.43%,67.84%,89.12%,10.169,6.23%,-1.79%,,,,,1/1/2006,2006,,39,7.55%,75,2399,2.83%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,$                                                       47.03,,,10/5/2015,,10/5/2015,,,,,4.51%,$             47.03,2.12,53.12,26.97,34.05,77%,13%,3.99%,7.86%,7.55%,70.55%,92.17%,10.169,6.23%,-3.35%,,,,,1/1/2007,2007,,40,7.65%,51,2450,1.93%
