,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ERG IM,ERG SpA,,,,,,,,,,21%,57%,$       22.42,$           18.89,$          24.28,$             35.58,$           35.31,6.18%,2.83%,4.05%,11.28%,152.82%,181.01%,140%,,,,,,,NO,,,5.75%,2.45%,3.30%,0.05%,66
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,ERG SpA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.29%,11/10/2017,,,,,,,,,,$          24.28,8%,4.46%,$           35.31,$            12.14,$                8.87,$             9.45,2.39%,5.29%,4.12%,2.81%,-36.99%,-36.99%,-17%,,,,5Y CAGR,5.92%,,ERG SpA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.18%,,ERG SpA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,ERG SpA - Rating: 21% - Upside: 57%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        12.07,,,12/29/2014,,12/29/2014,,,,,4.14%,€                12.07,0.50,17.65,9.45,12.14,32%,46%,2.83%,5.29%,8.29%,85.81%,106.53%,2.5,4.12%,0.00%,,1997,0.00,-,21,,,0,2.45%,3,3,0.11%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                           11.98,,,1/5/2015,,1/5/2015,,,,,4.17%,€                 11.98,0.50,17.65,9.45,12.14,31%,47%,2.83%,5.29%,8.35%,87.13%,108.00%,2.5,4.12%,-0.71%,,1998,0.00,,57,,,1,2.50%,8,11,0.30%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                           11.79,,,1/12/2015,,1/12/2015,,,,,4.24%,€                 11.79,0.50,17.65,9.45,12.14,29%,50%,2.83%,5.29%,8.48%,90.20%,111.41%,2.5,4.12%,-2.31%,,1999,0.00,,,,,2,2.55%,13,24,0.48%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                            11.19,,,1/19/2015,,1/20/2015,,,,,4.47%,€                  11.19,0.50,17.65,9.45,12.14,21%,58%,2.83%,5.29%,8.93%,100.29%,122.63%,2.5,4.12%,-7.23%,,2000,0.00,,1/1/1970,1970,,3,2.60%,25,49,0.93%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                            11.31,,,1/26/2015,,1/26/2015,,,,,4.42%,€                  11.31,0.50,17.65,9.45,12.14,23%,56%,2.83%,5.29%,8.84%,98.24%,120.35%,2.5,4.12%,-6.27%,,2001,0.00,,1/1/1971,1971,,4,2.65%,15,64,0.56%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                            11.16,,,2/2/2015,,2/2/2015,,,,,4.48%,€                  11.16,0.50,17.65,9.45,12.14,21%,58%,2.83%,5.29%,8.96%,100.81%,123.20%,2.5,4.12%,-7.47%,,2002,0.20,,1/1/1972,1972,,5,2.70%,19,83,0.71%
