,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ETN US,Eaton,,,,,,,,,,109%,-6%,$    404.07,$         110.74,$        174.40,$          435.78,$       379.84,5.05%,1.10%,2.46%,7.28%,754.81%,776.31%,121%,,,,,,,NO,,,4.63%,0.99%,3.64%,0.05%,73
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,6.54%,,Eaton - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.76%,11/10/2017,,,,,,,,,,$        174.40,-57%,1.03%,$       379.84,$          95.58,$             47.27,$          60.69,0.95%,3.76%,2.39%,0.79%,-7.28%,-7.28%,-11%,,,,5Y CAGR,6.47%,,Eaton - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.20%,,Eaton - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Eaton - Rating: 109% - Upside: -6%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       52.22,,,12/29/2014,,12/29/2014,,,,,4.37%,$             52.22,2.28,208.18,60.69,95.58,-6%,299%,1.10%,3.76%,6.59%,673.78%,693.24%,10.16,2.39%,0.00%,,1997,0.00,-,109,,,0,0.99%,69,69,2.60%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        51.85,,,1/5/2015,,1/5/2015,,,,,4.40%,$              51.85,2.28,208.18,60.69,95.58,-6%,302%,1.10%,3.76%,6.63%,679.31%,698.90%,10.16,2.39%,-0.71%,,1998,0.00,,-6,,,1,1.04%,49,118,1.85%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       50.92,,,1/12/2015,,1/12/2015,,,,,4.48%,$             50.92,2.28,208.18,60.69,95.58,-7%,309%,1.10%,3.76%,6.76%,693.54%,713.49%,10.16,2.39%,-2.49%,,1999,0.00,,,,,2,1.09%,110,228,4.14%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       49.73,,,1/20/2015,,1/20/2015,,,,,4.58%,$             49.73,2.28,208.18,60.69,95.58,-7%,319%,1.10%,3.76%,6.92%,712.53%,732.96%,10.16,2.39%,-4.77%,,2000,0.00,,1/1/1970,1970,,3,1.14%,112,340,4.22%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        49.17,,,1/26/2015,,1/26/2015,,,,,4.64%,$              49.17,2.28,208.18,60.69,95.58,-8%,323%,1.10%,3.76%,7.00%,721.78%,742.44%,10.16,2.39%,-5.84%,,2001,0.00,,1/1/1971,1971,,4,1.19%,73,413,2.75%
