,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ETR US,Entergy Corp,,,,,,,,,,138%,-17%,$      115.95,$           46.13,$           55.81,$             117.91,$          96.54,10.28%,4.50%,7.53%,13.04%,248.41%,290.96%,142%,,,,,,,NO,,,10.04%,3.76%,6.28%,0.10%,63
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Entergy Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,9.41%,11/10/2017,,,,,,,,,,$           55.81,-52%,3.74%,$          96.54,$          43.98,$             33.28,$          36.35,3.68%,9.41%,7.78%,3.68%,-1.66%,-1.66%,-8%,,,,5Y CAGR,2.37%,,Entergy Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.41%,,Entergy Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Entergy Corp - Rating: 138% - Upside: -17%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       34.29,,,12/29/2014,,12/29/2014,,,,,9.97%,$             34.29,3.42,76.08,36.35,43.98,-5%,122%,4.50%,9.41%,12.66%,238.15%,279.44%,14.16,7.78%,0.00%,,1997,1.80,-,138,,,0,3.76%,34,34,1.28%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       34.48,,,1/5/2015,,1/5/2015,,,,,9.92%,$             34.48,3.42,76.08,36.35,43.98,-5%,121%,4.50%,9.41%,12.59%,236.33%,277.40%,14.16,7.78%,0.00%,,1998,1.50,-16.67%,-17,,,1,3.86%,26,60,0.98%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       34.26,,,1/12/2015,,1/12/2015,,,,,9.98%,$             34.26,3.42,76.08,36.35,43.98,-5%,122%,4.50%,9.41%,12.67%,238.49%,279.83%,14.16,7.78%,-0.64%,,1999,1.20,-20.00%,,,,2,3.96%,9,69,0.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       33.77,,,1/20/2015,,1/20/2015,,,,,10.13%,$             33.77,3.42,76.08,36.35,43.98,-6%,125%,4.50%,9.41%,12.85%,243.35%,285.28%,14.16,7.78%,-2.04%,,2000,1.22,1.25%,1/1/1970,1970,,3,4.06%,18,87,0.68%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       33.76,,,1/26/2015,,1/26/2015,,,,,10.13%,$             33.76,3.42,76.08,36.35,43.98,-7%,125%,4.50%,9.41%,12.86%,243.45%,285.40%,14.16,7.78%,-2.07%,,2001,1.28,4.94%,1/1/1971,1971,,4,4.16%,10,97,0.38%
