,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,FAST US,Fastenal Co,,,,,,,,,,54%,25%,$       47.02,$          32.78,$          43.28,$             50.39,$          58.93,4.52%,2.38%,3.26%,7.66%,414.86%,414.86%,,,,,,,,NO,,,4.49%,2.15%,2.34%,0.03%,78
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,25.99%,,Fastenal Co - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.27%,11/10/2017,,,,,,,,,,$          43.28,-8%,2.98%,$          58.93,$           21.64,$                 9.13,$           16.39,2.14%,4.27%,3.23%,1.39%,-6.69%,-6.69%,,,,,5Y CAGR,,,Fastenal Co - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,Fastenal Co - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Fastenal Co - Rating: 54% - Upside: 25%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        10.05,,,12/29/2014,,12/29/2014,,,,,,$              10.05,#N/A Connection,,,,,,2.38%,4.27%,6.97%,367.98%,367.98%,0,3.23%,0.00%,,1997,#N/A Connection,-,54,,,0,2.15%,7,7,0.78%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                          9.94,,,1/5/2015,,1/5/2015,,,,,,$                9.94,#N/A Connection,,,,,,2.38%,4.27%,7.04%,373.16%,373.16%,0,3.23%,-1.09%,,1998,#N/A Connection,,25,,,1,2.18%,3,10,0.34%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                          9.97,,,1/12/2015,,1/12/2015,,,,,,$                9.97,#N/A Connection,,,,,,2.38%,4.27%,7.02%,371.85%,371.85%,0,3.23%,-0.82%,,1999,#N/A Connection,,,,,2,2.21%,0,10,0.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                          9.76,,,1/20/2015,,1/20/2015,,,,,,$                9.76,#N/A Connection,,,,,,2.38%,4.27%,7.17%,381.64%,381.64%,0,3.23%,-2.84%,,2000,#N/A Connection,,1/1/1970,1970,,3,2.24%,3,13,0.34%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                          9.70,,,1/26/2015,,1/26/2015,,,,,,$                9.70,#N/A Connection,,,,,,2.38%,4.27%,7.22%,384.74%,384.74%,0,3.23%,-3.46%,,2001,#N/A Connection,,1/1/1971,1971,,4,2.27%,9,22,1.01%
