,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,FLO US,Flower Foods Inc,,,,,,,,,,-17%,277%,$          7.74,$            10.81,$           25.61,$              30.13,$           29.16,12.98%,3.12%,4.14%,12.98%,10.41%,10.41%,114%,,,,,,,NO,,,12.12%,2.93%,9.19%,0.15%,61
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Flower Foods Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,8.42%,11/10/2017,,,,,,,,,,$           25.61,231%,11.76%,$           29.16,$           17.59,$                 7.01,$             7.42,2.86%,8.42%,3.55%,3.02%,-74.31%,-74.31%,-21%,,,,5Y CAGR,1.86%,,Flower Foods Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.83%,,Flower Foods Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Flower Foods Inc - Rating: -17% - Upside: 277%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        21.49,,,12/29/2014,,12/29/2014,,,,,2.91%,$              21.49,0.63,20.03,7.42,17.59,112%,-7%,3.12%,8.42%,4.23%,-63.98%,-51.16%,2.755,3.55%,0.00%,,1997,0.00,-,-17,,,0,2.93%,80,80,3.01%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                         21.61,,,1/5/2015,,1/5/2015,,,,,2.89%,$               21.61,0.63,20.03,7.42,17.59,113%,-7%,3.12%,8.42%,4.21%,-64.18%,-51.43%,2.755,3.55%,0.00%,,1998,0.00,,277,,,1,3.08%,231,311,8.70%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        21.37,,,1/12/2015,,1/12/2015,,,,,2.92%,$              21.37,0.63,20.03,7.42,17.59,111%,-6%,3.12%,8.42%,4.26%,-63.78%,-50.89%,2.755,3.55%,-1.11%,,1999,0.00,,,,,2,3.23%,410,721,15.45%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        21.08,,,1/20/2015,,1/20/2015,,,,,2.96%,$              21.08,0.63,20.03,7.42,17.59,108%,-5%,3.12%,8.42%,4.32%,-63.28%,-50.21%,2.755,3.55%,-2.45%,,2000,0.00,,1/1/1970,1970,,3,3.38%,531,1252,20.01%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        21.25,,,1/26/2015,,1/26/2015,,,,,2.94%,$              21.25,0.63,20.03,7.42,17.59,110%,-6%,3.12%,8.42%,4.28%,-63.58%,-50.61%,2.755,3.55%,-1.67%,,2001,0.00,,1/1/1971,1971,,4,3.53%,334,1586,12.58%
