,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,FME GR,Fresenius Medical Care AG & Co,,,,,,,,,,14%,149%,$       43.28,$          32.69,$          66.82,$             93.08,$        129.99,5.08%,1.04%,2.12%,4.21%,62.77%,62.77%,115%,,,,,,,NO,,,4.83%,0.98%,3.86%,0.05%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Fresenius Medical Care AG & Co - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.43%,11/10/2017,,,,,,,,,,$          55.43,28%,2.59%,$        107.84,$          39.60,$             26.59,$          23.35,0.94%,3.43%,2.02%,1.20%,-53.50%,-51.11%,-14%,,,,5Y CAGR,-3.52%,,Fresenius Medical Care AG & Co - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.42%,,Fresenius Medical Care AG & Co - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Fresenius Medical Care AG & Co - Rating: 14% - Upside: 149%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       76.03,,,12/29/2014,,12/29/2014,,,,,1.05%,€               76.03,0.80,77.03,23.35,39.60,98%,1%,1.04%,3.43%,1.47%,-43.07%,-37.82%,3.99,2.02%,0.00%,,1997,0.00,-,14,,,0,0.98%,92,92,3.43%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         78.92,,,1/5/2015,,1/5/2015,,,,,1.01%,€               78.92,0.80,77.03,23.35,39.60,104%,-2%,1.04%,3.43%,1.42%,-45.16%,-40.10%,3.99,2.02%,0.00%,,1998,0.00,,149,,,1,1.03%,104,196,3.88%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         79.52,,,1/12/2015,,1/12/2015,,,,,1.01%,€               79.52,0.80,77.03,23.35,39.60,105%,-3%,1.04%,3.43%,1.41%,-45.57%,-40.56%,3.99,2.02%,0.00%,,1999,0.00,,,,,2,1.08%,88,284,3.28%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         77.50,,,1/19/2015,,1/20/2015,,,,,1.03%,€               77.50,0.80,77.03,23.35,39.60,101%,-1%,1.04%,3.43%,1.45%,-44.15%,-39.01%,3.99,2.02%,-2.54%,,2000,0.00,,1/1/1970,1970,,3,1.13%,99,383,3.69%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         77.68,,,1/26/2015,,1/26/2015,,,,,1.03%,€               77.68,0.80,77.03,23.35,39.60,101%,-1%,1.04%,3.43%,1.44%,-44.28%,-39.15%,3.99,2.02%,-2.32%,,2001,0.00,,1/1/1971,1971,,4,1.18%,147,530,5.49%
