,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,FN CN,First National Financial Corp,,,,,,,,,,82%,7%,$       47.98,$           32.13,$          37.82,$             52.34,$           51.46,9.95%,4.68%,6.24%,13.04%,159.73%,198.93%,122%,,,,,,,NO,,,8.75%,4.39%,4.36%,0.10%,44
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,First National Financial Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.50%,11/10/2017,,,,,,,,,,$          37.82,-21%,5.02%,$           51.46,$           25.91,$              18.47,$           22.01,4.33%,7.50%,6.37%,4.60%,-8.33%,-8.33%,-41%,,,,5Y CAGR,1.22%,,First National Financial Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.85%,,First National Financial Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,First National Financial Corp - Rating: 82% - Upside: 7%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       20.63,,,12/29/2014,,12/29/2014,,,,,8.00%,$             20.63,1.65,35.26,22.01,25.91,-10%,71%,4.68%,7.50%,11.67%,132.54%,167.64%,7.241674,6.37%,0.00%,,1997,0.00,-,82,,,0,4.39%,23,23,0.94%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        20.51,,,1/5/2015,,1/5/2015,,,,,8.04%,$              20.51,1.65,35.26,22.01,25.91,-11%,72%,4.68%,7.50%,11.74%,133.93%,169.24%,7.241674,6.37%,-0.60%,,1998,0.00,,7,,,1,4.49%,37,60,1.50%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        19.74,,,1/12/2015,,1/12/2015,,,,,8.36%,$              19.74,1.65,35.26,22.01,25.91,-17%,79%,4.68%,7.50%,12.20%,143.03%,179.71%,7.241674,6.37%,-4.32%,,1999,0.00,,,,,2,4.59%,53,113,2.16%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        19.69,,,1/19/2015,,1/20/2015,,,,,8.38%,$              19.69,1.65,35.26,22.01,25.91,-18%,79%,4.68%,7.50%,12.23%,143.73%,180.51%,7.241674,6.37%,-4.59%,,2000,0.00,,1/1/1970,1970,,3,4.69%,12,125,0.49%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       20.45,,,1/26/2015,,1/26/2015,,,,,8.07%,$             20.45,1.65,35.26,22.01,25.91,-12%,72%,4.68%,7.50%,11.77%,134.58%,169.99%,7.241674,6.37%,-0.87%,,2001,0.00,,1/1/1971,1971,,4,4.79%,16,141,0.65%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        19.88,,,2/2/2015,,2/2/2015,,,,,8.30%,$              19.88,1.65,35.26,22.01,25.91,-16%,77%,4.68%,7.50%,12.12%,141.41%,177.84%,7.241674,6.37%,-3.67%,,2002,0.00,,1/1/1972,1972,,5,4.89%,48,189,1.95%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        19.83,,,2/9/2015,,2/9/2015,,,,,8.32%,$              19.83,1.65,35.26,22.01,25.91,-16%,78%,4.68%,7.50%,12.15%,141.98%,178.50%,7.241674,6.37%,-3.90%,,2003,0.00,,1/1/1973,1973,,6,4.99%,100,289,4.07%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        19.30,,,2/17/2015,,2/17/2015,,,,,8.55%,$              19.30,1.65,35.26,22.01,25.91,-20%,83%,4.68%,7.50%,12.48%,148.63%,186.16%,7.241674,6.37%,-6.47%,,2004,0.00,,1/1/1974,1974,,7,5.09%,48,337,1.95%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        18.80,,,2/23/2015,,2/23/2015,,,,,8.78%,$              18.80,1.65,35.26,22.01,25.91,-24%,88%,4.68%,7.50%,12.81%,155.28%,193.80%,7.241674,6.37%,-8.91%,,2005,0.00,,1/1/1975,1975,,8,5.19%,56,393,2.28%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        18.80,,,3/2/2015,,3/2/2015,,,,,8.77%,$              18.80,1.65,35.26,22.01,25.91,-24%,87%,4.68%,7.50%,12.81%,155.15%,193.66%,7.241674,6.37%,-8.86%,,2006,0.51,,1/1/1976,1976,,9,5.29%,54,447,2.20%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                        19.00,,,3/9/2015,,3/9/2015,,,,,8.68%,$              19.00,1.65,35.26,22.01,25.91,-23%,86%,4.68%,7.50%,12.67%,152.48%,190.58%,7.241674,6.37%,-7.90%,,2007,1.15,123.48%,1/1/1977,1977,,10,5.39%,42,489,1.71%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        18.82,,,3/16/2015,,3/16/2015,,,,,8.77%,$              18.82,1.65,35.26,22.01,25.91,-24%,87%,4.68%,7.50%,12.79%,154.89%,193.36%,7.241674,6.37%,-8.77%,,2008,1.28,11.59%,1/1/1978,1978,,11,5.49%,39,528,1.59%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        18.94,,,3/23/2015,,3/23/2015,,,,,8.71%,$              18.94,1.65,35.26,22.01,25.91,-23%,86%,4.68%,7.50%,12.72%,153.36%,191.60%,7.241674,6.37%,-8.22%,,2009,1.40,9.09%,1/1/1979,1979,,12,5.59%,53,581,2.16%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        18.47,,,3/30/2015,,3/30/2015,,,,,8.93%,$              18.47,1.65,35.26,22.01,25.91,-27%,91%,4.68%,7.50%,13.04%,159.73%,198.93%,7.241674,6.37%,-10.47%,,2010,1.50,7.14%,1/1/1980,1980,,13,5.69%,55,636,2.24%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        18.88,,,4/6/2015,,4/6/2015,,,,,8.74%,$              18.88,1.65,35.26,22.01,25.91,-24%,87%,4.68%,7.50%,12.76%,154.12%,192.48%,7.241674,6.37%,-8.49%,,2011,1.25,-16.67%,1/1/1981,1981,,14,5.79%,82,718,3.33%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        18.86,,,4/13/2015,,4/13/2015,,,,,8.75%,$              18.86,1.65,35.26,22.01,25.91,-24%,87%,4.68%,7.50%,12.77%,154.38%,192.77%,7.241674,6.37%,-8.59%,,2012,1.27,1.67%,1/1/1982,1982,,15,5.89%,81,799,3.29%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        19.43,,,4/20/2015,,4/20/2015,,,,,8.49%,$              19.43,1.65,35.26,22.01,25.91,-19%,81%,4.68%,7.50%,12.39%,146.94%,184.21%,7.241674,6.37%,-5.83%,,2013,1.38,8.85%,1/1/1983,1983,,16,5.99%,109,908,4.43%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        19.77,,,4/27/2015,,4/27/2015,,,,,8.35%,$              19.77,1.65,35.26,22.01,25.91,-17%,78%,4.68%,7.50%,12.18%,142.74%,179.37%,7.241674,6.37%,-4.20%,,2014,1.48,7.23%,1/1/1984,1984,,17,6.09%,104,1012,4.23%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                        19.80,,,5/4/2015,,5/4/2015,,,,,8.33%,$              19.80,1.65,35.26,22.01,25.91,-17%,78%,4.68%,7.50%,12.16%,142.33%,178.90%,7.241674,6.37%,-4.04%,,2015,1.51,1.69%,1/1/1985,1985,,18,6.19%,92,1104,3.74%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       20.82,,,5/11/2015,,5/11/2015,,,,,7.92%,$             20.82,1.65,35.26,22.01,25.91,-9%,69%,4.68%,7.50%,11.57%,130.42%,165.20%,7.241674,6.37%,0.00%,,2016,1.65,9.39%,1/1/1986,1986,,19,6.29%,146,1250,5.94%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                        21.26,,,5/19/2015,,5/18/2015,,,,,7.76%,$              21.26,1.65,35.26,22.01,25.91,-6%,66%,4.68%,7.50%,11.33%,125.70%,159.76%,7.241674,6.37%,0.00%,,2017,1.83,10.61%,1/1/1987,1987,,20,6.39%,201,1451,8.17%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                        20.61,,,5/25/2015,,5/26/2015,,,,,8.00%,$              20.61,1.65,35.26,22.01,25.91,-11%,71%,4.68%,7.50%,11.68%,132.75%,167.88%,7.241674,6.37%,-3.03%,,2018,1.86,1.83%,1/1/1988,1988,,21,6.49%,180,1631,7.32%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       20.30,,,6/1/2015,,6/1/2015,,,,,8.13%,$             20.30,1.65,35.26,22.01,25.91,-13%,74%,4.68%,7.50%,11.86%,136.33%,172.01%,7.241674,6.37%,-4.50%,,2019,1.91,2.69%,1/1/1989,1989,,22,6.59%,125,1756,5.08%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       20.25,,,6/8/2015,,6/8/2015,,,,,8.15%,$             20.25,1.65,35.26,22.01,25.91,-13%,74%,4.68%,7.50%,11.89%,136.89%,172.64%,7.241674,6.37%,-4.72%,,2020,1.98,3.49%,1/1/1990,1990,,23,6.69%,152,1908,6.18%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                        19.78,,,6/15/2015,,6/15/2015,,,,,8.34%,$              19.78,1.65,35.26,22.01,25.91,-17%,78%,4.68%,7.50%,12.18%,142.56%,179.17%,7.241674,6.37%,-6.95%,,2021,2.27,14.77%,1/1/1991,1991,,24,6.79%,103,2011,4.19%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                        18.93,,,6/22/2015,,6/22/2015,,,,,8.72%,$              18.93,1.65,35.26,22.01,25.91,-23%,86%,4.68%,7.50%,12.72%,153.49%,191.75%,7.241674,6.37%,-10.96%,,2022,2.36,4.04%,1/1/1992,1992,,25,6.89%,56,2067,2.28%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                        18.93,,,6/29/2015,,6/29/2015,,,,,8.72%,$              18.93,1.65,35.26,22.01,25.91,-23%,86%,4.68%,7.50%,12.72%,153.49%,191.75%,7.241674,6.37%,-10.96%,,2023,2.41,2.12%,1/1/1993,1993,,26,6.99%,61,2128,2.48%
