,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,FNV US,Franco Nevada,,,,,,,,,,94%,3%,$     214.68,$          104.11,$        144.97,$          280.82,$        221.49,2.05%,0.69%,1.06%,3.20%,405.61%,414.37%,151%,,,,,,,NO,,,1.90%,0.58%,1.32%,0.02%,66
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.78%,,Franco Nevada - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.46%,11/10/2017,,,,,,,,,,$        144.97,-32%,0.71%,$        221.49,$          82.98,$             42.46,$          59.59,0.54%,1.46%,1.05%,0.48%,-23.55%,-23.55%,-25%,,,,5Y CAGR,5.55%,,Franco Nevada - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.74%,,Franco Nevada - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Franco Nevada - Rating: 94% - Upside: 3%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       46.85,,,12/29/2014,,12/29/2014,,,,,1.86%,$             46.85,0.87,126.77,59.59,82.98,-19%,171%,0.69%,1.46%,2.90%,358.23%,366.17%,3.72,1.05%,0.00%,,1997,0.00,-,94,,,0,0.58%,27,27,1.02%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        45.81,,,1/5/2015,,1/5/2015,,,,,1.90%,$              45.81,0.87,126.77,59.59,82.98,-21%,177%,0.69%,1.46%,2.97%,368.63%,376.75%,3.72,1.05%,-2.22%,,1998,0.00,,3,,,1,0.60%,9,36,0.34%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       47.72,,,1/12/2015,,1/12/2015,,,,,1.82%,$             47.72,0.87,126.77,59.59,82.98,-18%,166%,0.69%,1.46%,2.85%,349.87%,357.67%,3.72,1.05%,0.00%,,1999,0.00,,,,,2,0.62%,15,51,0.57%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        49.31,,,1/20/2015,,1/20/2015,,,,,1.76%,$              49.31,0.87,126.77,59.59,82.98,-15%,157%,0.69%,1.46%,2.76%,335.37%,342.91%,3.72,1.05%,0.00%,,2000,0.00,,1/1/1970,1970,,3,0.64%,26,77,0.98%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       48.83,,,1/26/2015,,1/26/2015,,,,,1.78%,$             48.83,0.87,126.77,59.59,82.98,-16%,160%,0.69%,1.46%,2.79%,339.65%,347.27%,3.72,1.05%,-0.97%,,2001,0.00,,1/1/1971,1971,,4,0.66%,28,105,1.06%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       47.76,,,2/2/2015,,2/2/2015,,,,,1.82%,$             47.76,0.87,126.77,59.59,82.98,-18%,165%,0.69%,1.46%,2.85%,349.50%,357.29%,3.72,1.05%,-3.14%,,2002,0.00,,1/1/1972,1972,,5,0.68%,40,145,1.51%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       46.67,,,2/9/2015,,2/9/2015,,,,,1.86%,$             46.67,0.87,126.77,59.59,82.98,-19%,172%,0.69%,1.46%,2.91%,360.00%,367.97%,3.72,1.05%,-5.35%,,2003,0.00,,1/1/1973,1973,,6,0.70%,45,190,1.70%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       46.87,,,2/17/2015,,2/17/2015,,,,,1.86%,$             46.87,0.87,126.77,59.59,82.98,-19%,170%,0.69%,1.46%,2.90%,358.03%,365.97%,3.72,1.05%,-4.95%,,2004,0.00,,1/1/1974,1974,,7,0.72%,67,257,2.52%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        46.17,,,2/23/2015,,2/23/2015,,,,,1.88%,$              46.17,0.87,126.77,59.59,82.98,-20%,175%,0.69%,1.46%,2.95%,364.98%,373.03%,3.72,1.05%,-6.37%,,2005,0.00,,1/1/1975,1975,,8,0.74%,60,317,2.26%
