,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,FPE GR,FUCHS PETROLUB SE,,,,,,,,,,37%,40%,$        41.06,$           31.23,$          43.56,$              51.57,$          57.58,4.17%,1.84%,2.48%,4.33%,67.87%,67.87%,117%,,,,,,,NO,,,3.96%,1.75%,2.21%,0.03%,74
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,FUCHS PETROLUB SE - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.39%,11/10/2017,,,,,,,,,,$          43.56,6%,2.58%,$          57.58,$          33.29,$             24.46,$          23.87,1.71%,3.39%,2.43%,2.06%,-20.38%,-19.09%,-22%,,,,5Y CAGR,1.58%,,FUCHS PETROLUB SE - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.73%,,FUCHS PETROLUB SE - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,FUCHS PETROLUB SE - Rating: 37% - Upside: 40%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       43.04,,,12/29/2014,,12/29/2014,,,,,1.88%,€               43.04,0.81,44.00,23.87,33.29,95%,2%,1.84%,3.39%,2.46%,-4.59%,3.61%,3.53,2.43%,0.00%,,1997,0.00,-,37,,,0,1.75%,33,33,1.23%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                           43.11,,,1/5/2015,,1/5/2015,,,,,1.88%,€                 43.11,0.81,44.00,23.87,33.29,96%,2%,1.84%,3.39%,2.46%,-4.74%,3.45%,3.53,2.43%,0.00%,,1998,0.00,,40,,,1,1.78%,40,73,1.49%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         42.65,,,1/12/2015,,1/12/2015,,,,,1.90%,€               42.65,0.81,44.00,23.87,33.29,93%,3%,1.84%,3.39%,2.49%,-3.73%,4.55%,3.53,2.43%,-1.06%,,1999,0.00,,,,,2,1.81%,48,121,1.79%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                          41.00,,,1/19/2015,,1/20/2015,,,,,1.98%,€                41.00,0.81,44.00,23.87,33.29,85%,7%,1.84%,3.39%,2.59%,0.16%,8.77%,3.53,2.43%,-4.90%,,2000,0.00,,1/1/1970,1970,,3,1.84%,38,159,1.42%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          40.01,,,1/26/2015,,1/26/2015,,,,,2.02%,€                40.01,0.81,44.00,23.87,33.29,80%,10%,1.84%,3.39%,2.65%,2.64%,11.46%,3.53,2.43%,-7.19%,,2001,0.00,,1/1/1971,1971,,4,1.87%,31,190,1.16%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         39.55,,,2/2/2015,,2/2/2015,,,,,2.05%,€               39.55,0.81,44.00,23.87,33.29,78%,11%,1.84%,3.39%,2.68%,3.83%,12.76%,3.53,2.43%,-8.26%,,2002,0.14,,1/1/1972,1972,,5,1.90%,28,218,1.04%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                          40.51,,,2/9/2015,,2/9/2015,,,,,2.00%,€                40.51,0.81,44.00,23.87,33.29,83%,9%,1.84%,3.39%,2.62%,1.37%,10.09%,3.53,2.43%,-6.03%,,2003,0.16,12.92%,1/1/1973,1973,,6,1.93%,16,234,0.60%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         40.34,,,2/16/2015,,2/17/2015,,,,,2.01%,€               40.34,0.81,44.00,23.87,33.29,82%,9%,1.84%,3.39%,2.63%,1.80%,10.55%,3.53,2.43%,-6.43%,,2004,0.17,7.09%,1/1/1974,1974,,7,1.96%,70,304,2.61%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         39.67,,,2/23/2015,,2/23/2015,,,,,2.04%,€               39.67,0.81,44.00,23.87,33.29,78%,11%,1.84%,3.39%,2.67%,3.50%,12.40%,3.53,2.43%,-7.97%,,2005,0.18,6.41%,1/1/1975,1975,,8,1.99%,101,405,3.77%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                         38.20,,,3/2/2015,,3/2/2015,,,,,2.12%,€               38.20,0.81,44.00,23.87,33.29,71%,15%,1.84%,3.39%,2.77%,7.49%,16.73%,3.53,2.43%,-11.38%,,2006,0.20,10.24%,1/1/1976,1976,,9,2.02%,93,498,3.47%
