,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,FRE GR,Fresenius,,,,,,,,,,21%,159%,$       43.35,$           25.14,$           45.61,$             79.49,$         112.37,4.64%,0.82%,2.10%,4.64%,118.66%,118.66%,113%,,,,,,,NO,,,4.23%,0.77%,3.46%,0.05%,69
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Fresenius - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.66%,11/10/2017,,,,,,,,,,$           45.61,5%,2.12%,$         112.37,$          27.27,$              19.83,$           15.03,0.74%,3.66%,2.02%,1.16%,-45.47%,-42.74%,-6%,,,,5Y CAGR,0.89%,,Fresenius - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.28%,,Fresenius - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Fresenius - Rating: 21% - Upside: 159%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       63.75,,,12/29/2014,,12/29/2014,,,,,0.86%,€               63.75,0.55,67.18,15.03,27.27,93%,5%,0.82%,3.66%,1.44%,-32.00%,-27.73%,2.72,2.02%,0.00%,,1997,0.00,-,21,,,0,0.77%,122,122,4.55%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          63.41,,,1/5/2015,,1/5/2015,,,,,0.87%,€                63.41,0.55,67.18,15.03,27.27,93%,6%,0.82%,3.66%,1.45%,-31.64%,-27.35%,2.72,2.02%,-0.53%,,1998,0.00,,159,,,1,0.82%,206,328,7.69%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         63.00,,,1/12/2015,,1/12/2015,,,,,0.87%,€               63.00,0.55,67.18,15.03,27.27,92%,7%,0.82%,3.66%,1.46%,-31.19%,-26.87%,2.72,2.02%,-1.18%,,1999,0.00,,,,,2,0.87%,110,438,4.10%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         60.43,,,1/19/2015,,1/20/2015,,,,,0.91%,€               60.43,0.55,67.18,15.03,27.27,87%,11%,0.82%,3.66%,1.52%,-28.27%,-23.77%,2.72,2.02%,-5.20%,,2000,0.00,,1/1/1970,1970,,3,0.92%,31,469,1.16%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          61.06,,,1/26/2015,,1/26/2015,,,,,0.90%,€                61.06,0.55,67.18,15.03,27.27,88%,10%,0.82%,3.66%,1.51%,-29.00%,-24.54%,2.72,2.02%,-4.23%,,2001,0.00,,1/1/1971,1971,,4,0.97%,20,489,0.75%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         59.33,,,2/2/2015,,2/2/2015,,,,,0.93%,€               59.33,0.55,67.18,15.03,27.27,85%,13%,0.82%,3.66%,1.55%,-26.93%,-22.34%,2.72,2.02%,-6.94%,,2002,0.11,,1/1/1972,1972,,5,1.02%,8,497,0.30%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                          61.30,,,2/9/2015,,2/9/2015,,,,,0.90%,€                61.30,0.55,67.18,15.03,27.27,89%,10%,0.82%,3.66%,1.50%,-29.28%,-24.84%,2.72,2.02%,-3.84%,,2003,0.13,10.68%,1/1/1973,1973,,6,1.07%,79,576,2.95%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         60.74,,,2/16/2015,,2/17/2015,,,,,0.91%,€               60.74,0.55,67.18,15.03,27.27,88%,11%,0.82%,3.66%,1.51%,-28.63%,-24.15%,2.72,2.02%,-4.72%,,2004,0.14,7.89%,1/1/1974,1974,,7,1.12%,59,635,2.20%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         60.95,,,2/23/2015,,2/23/2015,,,,,0.90%,€               60.95,0.55,67.18,15.03,27.27,88%,10%,0.82%,3.66%,1.51%,-28.87%,-24.41%,2.72,2.02%,-4.40%,,2005,0.15,9.76%,1/1/1975,1975,,8,1.17%,54,689,2.01%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                         57.88,,,3/2/2015,,3/2/2015,,,,,0.95%,€               57.88,0.55,67.18,15.03,27.27,82%,16%,0.82%,3.66%,1.59%,-25.11%,-20.41%,2.72,2.02%,-9.20%,,2006,0.16,9.63%,1/1/1976,1976,,9,1.22%,11,700,0.41%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                          58.17,,,3/9/2015,,3/9/2015,,,,,0.95%,€                58.17,0.55,67.18,15.03,27.27,83%,15%,0.82%,3.66%,1.58%,-25.48%,-20.81%,2.72,2.02%,-8.75%,,2007,0.19,15.54%,1/1/1977,1977,,10,1.27%,5,705,0.19%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                          59.41,,,3/16/2015,,3/16/2015,,,,,0.93%,€                59.41,0.55,67.18,15.03,27.27,85%,13%,0.82%,3.66%,1.55%,-27.03%,-22.45%,2.72,2.02%,-6.81%,,2008,0.22,15.79%,1/1/1978,1978,,11,1.32%,4,709,0.15%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                         56.75,,,3/23/2015,,3/23/2015,,,,,0.97%,€               56.75,0.55,67.18,15.03,27.27,80%,18%,0.82%,3.66%,1.62%,-23.61%,-18.82%,2.72,2.02%,-10.98%,,2009,0.23,6.06%,1/1/1979,1979,,12,1.37%,7,716,0.26%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                         59.25,,,3/30/2015,,3/30/2015,,,,,0.93%,€               59.25,0.55,67.18,15.03,27.27,85%,13%,0.82%,3.66%,1.55%,-26.83%,-22.24%,2.72,2.02%,-7.07%,,2010,0.25,7.14%,1/1/1980,1980,,13,1.42%,6,722,0.22%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                         59.96,,,4/7/2015,,4/6/2015,,,,,0.92%,€               59.96,0.55,67.18,15.03,27.27,86%,12%,0.82%,3.66%,1.53%,-27.70%,-23.17%,2.72,2.02%,-5.95%,,2011,0.29,14.67%,1/1/1981,1981,,14,1.47%,6,728,0.22%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                          61.07,,,4/13/2015,,4/13/2015,,,,,0.90%,€                61.07,0.55,67.18,15.03,27.27,88%,10%,0.82%,3.66%,1.51%,-29.02%,-24.56%,2.72,2.02%,-4.20%,,2012,0.32,10.47%,1/1/1982,1982,,15,1.52%,17,745,0.63%
