,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,FRT US,Federal Realty Investment Trust,,,,,,,,,,47%,37%,$     126.08,$          85.20,$         117.85,$           170.35,$        173.02,6.41%,2.52%,3.77%,6.59%,91.58%,91.58%,123%,,,,,,,NO,,,6.01%,2.30%,3.71%,0.05%,74
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.15%,,Federal Realty Investment Trust - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.12%,11/10/2017,,,,,,,,,,$         117.85,-7%,3.46%,$        173.02,$        103.79,$              65.81,$          75.04,2.25%,5.12%,3.70%,2.55%,-25.99%,-16.61%,-20%,,,,5Y CAGR,0.47%,,Federal Realty Investment Trust - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.28%,,Federal Realty Investment Trust - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Federal Realty Investment Trust - Rating: 47% - Upside: 37%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     144.86,,,12/29/2014,,12/29/2014,,,,,2.65%,$           144.86,3.84,152.38,75.04,103.79,90%,5%,2.52%,5.12%,3.00%,-12.96%,-1.93%,15.98,3.70%,0.00%,,1997,0.00,-,47,,,0,2.30%,14,14,0.53%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                     146.54,,,1/5/2015,,1/5/2015,,,,,2.62%,$           146.54,3.84,152.38,75.04,103.79,92%,4%,2.52%,5.12%,2.96%,-13.96%,-3.06%,15.98,3.70%,0.00%,,1998,0.00,,37,,,1,2.35%,10,24,0.38%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     147.44,,,1/12/2015,,1/12/2015,,,,,2.60%,$           147.44,3.84,152.38,75.04,103.79,94%,3%,2.52%,5.12%,2.94%,-14.49%,-3.65%,15.98,3.70%,0.00%,,1999,0.00,,,,,2,2.40%,43,67,1.62%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                     145.03,,,1/20/2015,,1/20/2015,,,,,2.65%,$           145.03,3.84,152.38,75.04,103.79,90%,5%,2.52%,5.12%,2.99%,-13.07%,-2.05%,15.98,3.70%,-1.63%,,2000,0.00,,1/1/1970,1970,,3,2.45%,43,110,1.62%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                     145.27,,,1/26/2015,,1/26/2015,,,,,2.64%,$           145.27,3.84,152.38,75.04,103.79,91%,5%,2.52%,5.12%,2.99%,-13.21%,-2.21%,15.98,3.70%,-1.47%,,2001,0.00,,1/1/1971,1971,,4,2.50%,26,136,0.98%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                     146.24,,,2/2/2015,,2/2/2015,,,,,2.63%,$           146.24,3.84,152.38,75.04,103.79,92%,4%,2.52%,5.12%,2.97%,-13.79%,-2.86%,15.98,3.70%,-0.81%,,2002,1.93,,1/1/1972,1972,,5,2.55%,25,161,0.94%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                      146.41,,,2/9/2015,,2/9/2015,,,,,2.62%,$            146.41,3.84,152.38,75.04,103.79,92%,4%,2.52%,5.12%,2.96%,-13.89%,-2.97%,15.98,3.70%,-0.70%,,2003,1.95,1.04%,1/1/1973,1973,,6,2.60%,32,193,1.21%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                      146.81,,,2/17/2015,,2/17/2015,,,,,2.62%,$            146.81,3.84,152.38,75.04,103.79,93%,4%,2.52%,5.12%,2.96%,-14.12%,-3.24%,15.98,3.70%,-0.43%,,2004,1.99,2.05%,1/1/1974,1974,,7,2.65%,9,202,0.34%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                     147.05,,,2/23/2015,,2/23/2015,,,,,2.61%,$           147.05,3.84,152.38,75.04,103.79,93%,4%,2.52%,5.12%,2.95%,-14.26%,-3.39%,15.98,3.70%,-0.26%,,2005,2.17,9.05%,1/1/1975,1975,,8,2.70%,23,225,0.87%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                     146.74,,,3/2/2015,,3/2/2015,,,,,2.62%,$           146.74,3.84,152.38,75.04,103.79,93%,4%,2.52%,5.12%,2.96%,-14.08%,-3.19%,15.98,3.70%,-0.47%,,2006,2.26,4.15%,1/1/1976,1976,,9,2.75%,29,254,1.09%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                     148.34,,,3/9/2015,,3/9/2015,,,,,2.59%,$           148.34,3.84,152.38,75.04,103.79,95%,3%,2.52%,5.12%,2.93%,-15.01%,-4.23%,15.98,3.70%,0.00%,,2007,2.37,4.87%,1/1/1977,1977,,10,2.80%,24,278,0.90%
