,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,FTS CN,Fortis Inc/Canada,,,,,,,,,,155%,-12%,$       82.99,$          53.86,$            61.91,$             82.99,$          72.65,4.59%,3.15%,3.71%,6.32%,129.70%,148.25%,155%,,,,,,,NO,,,4.38%,2.80%,1.58%,0.02%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Fortis Inc/Canada - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.24%,11/10/2017,,,,,,,,,,$            61.91,-25%,2.75%,$          72.65,$           41.32,$              36.13,$          35.95,2.75%,4.24%,3.69%,2.75%,0.00%,0.00%,-22%,,,,5Y CAGR,2.19%,,Fortis Inc/Canada - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.13%,,Fortis Inc/Canada - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Fortis Inc/Canada - Rating: 155% - Upside: -12%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        37.13,,,12/29/2014,,12/29/2014,,,,,4.11%,$              37.13,1.53,48.49,35.95,41.32,9%,31%,3.15%,4.24%,6.15%,123.51%,141.56%,6.7025,3.69%,0.00%,,1997,0.00,-,155,,,0,2.80%,6,6,0.23%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       37.44,,,1/5/2015,,1/5/2015,,,,,4.07%,$             37.44,1.53,48.49,35.95,41.32,12%,30%,3.15%,4.24%,6.10%,121.66%,139.56%,6.7025,3.69%,0.00%,,1998,0.00,,-12,,,1,2.82%,4,10,0.15%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       37.44,,,1/12/2015,,1/12/2015,,,,,4.07%,$             37.44,1.53,48.49,35.95,41.32,12%,30%,3.15%,4.24%,6.10%,121.66%,139.56%,6.7025,3.69%,0.00%,,1999,0.00,,,,,2,2.84%,4,14,0.15%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       36.72,,,1/19/2015,,1/20/2015,,,,,4.15%,$             36.72,1.53,48.49,35.95,41.32,6%,32%,3.15%,4.24%,6.22%,126.01%,144.26%,6.7025,3.69%,-1.92%,,2000,0.00,,1/1/1970,1970,,3,2.86%,4,18,0.15%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       37.23,,,1/26/2015,,1/26/2015,,,,,4.10%,$             37.23,1.53,48.49,35.95,41.32,10%,30%,3.15%,4.24%,6.14%,122.91%,140.91%,6.7025,3.69%,-0.56%,,2001,0.00,,1/1/1971,1971,,4,2.88%,11,29,0.42%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       37.39,,,2/2/2015,,2/2/2015,,,,,4.08%,$             37.39,1.53,48.49,35.95,41.32,11%,30%,3.15%,4.24%,6.11%,121.96%,139.88%,6.7025,3.69%,-0.13%,,2002,0.49,,1/1/1972,1972,,5,2.90%,12,41,0.45%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       37.72,,,2/9/2015,,2/9/2015,,,,,4.04%,$             37.72,1.53,48.49,35.95,41.32,14%,29%,3.15%,4.24%,6.06%,120.02%,137.78%,6.7025,3.69%,0.00%,,2003,0.52,7.22%,1/1/1973,1973,,6,2.92%,16,57,0.60%
