,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,FUL US,HB Fuller Co,,,,,,,,,,9%,48%,$       55.70,$          52.95,$          67.45,$             86.20,$          82.60,2.56%,0.97%,1.22%,3.18%,120.33%,120.33%,154%,,,,,,,NO,,,2.29%,0.85%,1.45%,0.02%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,HB Fuller Co - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.52%,11/10/2017,,,,,,,,,,$          67.45,21%,1.45%,$          82.60,$          46.09,$             25.28,$           36.18,0.82%,1.52%,1.19%,0.93%,-35.38%,-35.38%,-73%,,,,5Y CAGR,3.90%,,HB Fuller Co - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.88%,,HB Fuller Co - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,HB Fuller Co - Rating: 9% - Upside: 48%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       35.56,,,12/29/2014,,12/29/2014,,,,,1.55%,$             35.56,0.55,56.43,36.18,46.09,-3%,59%,0.97%,1.52%,2.26%,56.64%,63.36%,2.39,1.19%,0.00%,,1997,0.00,-,9,,,0,0.85%,13,13,0.49%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       35.50,,,1/5/2015,,1/5/2015,,,,,1.55%,$             35.50,0.55,56.43,36.18,46.09,-3%,59%,0.97%,1.52%,2.27%,56.90%,63.63%,2.39,1.19%,-0.17%,,1998,0.00,,48,,,1,0.87%,6,19,0.23%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       34.80,,,1/12/2015,,1/12/2015,,,,,1.58%,$             34.80,0.55,56.43,36.18,46.09,-7%,62%,0.97%,1.52%,2.31%,60.06%,66.93%,2.39,1.19%,-2.14%,,1999,0.00,,,,,2,0.89%,7,26,0.26%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       33.74,,,1/20/2015,,1/20/2015,,,,,1.63%,$             33.74,0.55,56.43,36.18,46.09,-12%,67%,0.97%,1.52%,2.39%,65.09%,72.17%,2.39,1.19%,-5.12%,,2000,0.00,,1/1/1970,1970,,3,0.91%,8,34,0.30%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       33.06,,,1/26/2015,,1/26/2015,,,,,1.66%,$             33.06,0.55,56.43,36.18,46.09,-15%,71%,0.97%,1.52%,2.43%,68.48%,75.71%,2.39,1.19%,-7.03%,,2001,0.00,,1/1/1971,1971,,4,0.93%,17,51,0.64%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       32.89,,,2/2/2015,,2/2/2015,,,,,1.67%,$             32.89,0.55,56.43,36.18,46.09,-16%,72%,0.97%,1.52%,2.45%,69.35%,76.62%,2.39,1.19%,-7.51%,,2002,0.22,,1/1/1972,1972,,5,0.95%,45,96,1.70%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       33.58,,,2/9/2015,,2/9/2015,,,,,1.64%,$             33.58,0.55,56.43,36.18,46.09,-13%,68%,0.97%,1.52%,2.40%,65.87%,72.99%,2.39,1.19%,-5.57%,,2003,0.22,2.29%,1/1/1973,1973,,6,0.97%,62,158,2.34%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        32.71,,,2/17/2015,,2/17/2015,,,,,1.68%,$              32.71,0.55,56.43,36.18,46.09,-17%,73%,0.97%,1.52%,2.46%,70.28%,77.59%,2.39,1.19%,-8.01%,,2004,0.23,2.23%,1/1/1974,1974,,7,0.99%,60,218,2.26%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       34.88,,,2/23/2015,,2/23/2015,,,,,1.58%,$             34.88,0.55,56.43,36.18,46.09,-6%,62%,0.97%,1.52%,2.31%,59.69%,66.54%,2.39,1.19%,-1.91%,,2005,0.24,5.46%,1/1/1975,1975,,8,1.01%,109,327,4.11%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        34.12,,,3/2/2015,,3/2/2015,,,,,1.61%,$              34.12,0.55,56.43,36.18,46.09,-10%,65%,0.97%,1.52%,2.36%,63.25%,70.25%,2.39,1.19%,-4.05%,,2006,0.25,3.11%,1/1/1976,1976,,9,1.03%,136,463,5.12%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       33.38,,,3/9/2015,,3/9/2015,,,,,1.65%,$             33.38,0.55,56.43,36.18,46.09,-14%,69%,0.97%,1.52%,2.41%,66.87%,74.03%,2.39,1.19%,-6.13%,,2007,0.26,2.91%,1/1/1977,1977,,10,1.05%,118,581,4.45%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       34.48,,,3/16/2015,,3/16/2015,,,,,1.60%,$             34.48,0.55,56.43,36.18,46.09,-8%,64%,0.97%,1.52%,2.33%,61.54%,68.47%,2.39,1.19%,-3.04%,,2008,0.26,2.54%,1/1/1978,1978,,11,1.07%,84,665,3.17%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       33.97,,,3/23/2015,,3/23/2015,,,,,1.62%,$             33.97,0.55,56.43,36.18,46.09,-11%,66%,0.97%,1.52%,2.37%,63.97%,71.00%,2.39,1.19%,-4.47%,,2009,0.27,2.86%,1/1/1979,1979,,12,1.09%,111,776,4.18%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       34.72,,,3/30/2015,,3/30/2015,,,,,1.58%,$             34.72,0.55,56.43,36.18,46.09,-7%,63%,0.97%,1.52%,2.32%,60.43%,67.31%,2.39,1.19%,-2.36%,,2010,0.28,2.96%,1/1/1980,1980,,13,1.11%,99,875,3.73%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       34.28,,,4/6/2015,,4/6/2015,,,,,1.60%,$             34.28,0.55,56.43,36.18,46.09,-9%,65%,0.97%,1.52%,2.35%,62.49%,69.46%,2.39,1.19%,-3.60%,,2011,0.30,6.12%,1/1/1981,1981,,14,1.13%,129,1004,4.86%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        35.19,,,4/13/2015,,4/13/2015,,,,,1.56%,$              35.19,0.55,56.43,36.18,46.09,-5%,60%,0.97%,1.52%,2.29%,58.28%,65.08%,2.39,1.19%,-1.04%,,2012,0.33,11.86%,1/1/1982,1982,,15,1.15%,126,1130,4.75%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       34.85,,,4/20/2015,,4/20/2015,,,,,1.58%,$             34.85,0.55,56.43,36.18,46.09,-7%,62%,0.97%,1.52%,2.31%,59.83%,66.69%,2.39,1.19%,-2.00%,,2013,0.39,16.67%,1/1/1983,1983,,16,1.17%,146,1276,5.50%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       35.35,,,4/27/2015,,4/27/2015,,,,,1.56%,$             35.35,0.55,56.43,36.18,46.09,-4%,60%,0.97%,1.52%,2.28%,57.57%,64.33%,2.39,1.19%,-0.59%,,2014,0.46,19.48%,1/1/1984,1984,,17,1.19%,114,1390,4.30%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       37.22,,,5/4/2015,,5/4/2015,,,,,1.48%,$             37.22,0.55,56.43,36.18,46.09,5%,52%,0.97%,1.52%,2.16%,49.65%,56.07%,2.39,1.19%,0.00%,,2015,0.51,10.87%,1/1/1985,1985,,18,1.21%,113,1503,4.26%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       37.23,,,5/11/2015,,5/11/2015,,,,,1.48%,$             37.23,0.55,56.43,36.18,46.09,5%,52%,0.97%,1.52%,2.16%,49.61%,56.03%,2.39,1.19%,0.00%,,2016,0.55,7.84%,1/1/1986,1986,,19,1.23%,113,1616,4.26%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                        36.18,,,5/18/2015,,5/18/2015,,,,,1.52%,$              36.18,0.55,56.43,36.18,46.09,0%,56%,0.97%,1.52%,2.22%,53.95%,60.56%,2.39,1.19%,-2.82%,,2017,0.59,7.27%,1/1/1987,1987,,20,1.25%,94,1710,3.54%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       36.99,,,5/26/2015,,5/26/2015,,,,,1.49%,$             36.99,0.55,56.43,36.18,46.09,4%,53%,0.97%,1.52%,2.18%,50.58%,57.04%,2.39,1.19%,-0.64%,,2018,0.62,4.24%,1/1/1988,1988,,21,1.27%,103,1813,3.88%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       36.79,,,6/1/2015,,6/1/2015,,,,,1.49%,$             36.79,0.55,56.43,36.18,46.09,3%,53%,0.97%,1.52%,2.19%,51.40%,57.90%,2.39,1.19%,-1.18%,,2019,0.64,3.25%,1/1/1989,1989,,22,1.29%,83,1896,3.13%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       35.92,,,6/8/2015,,6/8/2015,,,,,1.53%,$             35.92,0.55,56.43,36.18,46.09,-1%,57%,0.97%,1.52%,2.24%,55.07%,61.72%,2.39,1.19%,-3.52%,,2020,0.65,1.97%,1/1/1990,1990,,23,1.31%,96,1992,3.62%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       35.30,,,6/15/2015,,6/15/2015,,,,,1.56%,$             35.30,0.55,56.43,36.18,46.09,-4%,60%,0.97%,1.52%,2.28%,57.79%,64.56%,2.39,1.19%,-5.18%,,2021,0.67,2.70%,1/1/1991,1991,,24,1.33%,106,2098,3.99%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                        36.12,,,6/22/2015,,6/22/2015,,,,,1.52%,$              36.12,0.55,56.43,36.18,46.09,0%,56%,0.97%,1.52%,2.23%,54.21%,60.83%,2.39,1.19%,-2.98%,,2022,0.74,10.90%,1/1/1992,1992,,25,1.35%,67,2165,2.52%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       36.02,,,6/29/2015,,6/29/2015,,,,,1.53%,$             36.02,0.55,56.43,36.18,46.09,-1%,57%,0.97%,1.52%,2.23%,54.64%,61.27%,2.39,1.19%,-3.25%,,2023,0.81,9.15%,1/1/1993,1993,,26,1.37%,53,2218,2.00%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                       35.95,,,7/6/2015,,7/6/2015,,,,,1.53%,$             35.95,0.55,56.43,36.18,46.09,-1%,57%,0.97%,1.52%,2.24%,54.94%,61.59%,2.39,1.19%,-3.44%,,2024,0.81,0.00%,1/1/1994,1994,,27,1.39%,54,2272,2.03%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       36.00,,,7/13/2015,,7/13/2015,,,,,1.53%,$             36.00,0.55,56.43,36.18,46.09,-1%,57%,0.97%,1.52%,2.24%,54.72%,61.36%,2.39,1.19%,-3.30%,,2025,0.81,0.00%,1/1/1995,1995,,28,1.41%,54,2326,2.03%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       36.46,,,7/20/2015,,7/20/2015,,,,,1.51%,$             36.46,0.55,56.43,36.18,46.09,1%,55%,0.97%,1.52%,2.21%,52.77%,59.33%,2.39,1.19%,-2.07%,,2026,0.81,0.00%,1/1/1996,1996,,29,1.43%,55,2381,2.07%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                        37.19,,,7/27/2015,,7/27/2015,,,,,1.48%,$              37.19,0.55,56.43,36.18,46.09,5%,52%,0.97%,1.52%,2.16%,49.77%,56.20%,2.39,1.19%,-0.11%,,,,,1/1/1997,1997,,30,1.45%,34,2415,1.28%
