,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,GCG/A CN,Guardian Capital Group Ltd,,,,,,,,,,63%,25%,$       67.97,$          39.25,$           51.00,$             67.97,$          85.07,3.94%,1.48%,2.46%,7.88%,324.81%,330.46%,125%,,,,,,,NO,,,3.56%,1.37%,2.19%,0.03%,73
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Guardian Capital Group Ltd - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.21%,11/10/2017,,,,,,,,,,$           51.00,-25%,1.85%,$          85.07,$           13.36,$              16.00,$           10.28,1.31%,3.21%,2.47%,1.85%,0.00%,0.00%,-16%,,,,5Y CAGR,12.47%,,Guardian Capital Group Ltd - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,14.34%,,Guardian Capital Group Ltd - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Guardian Capital Group Ltd - Rating: 63% - Upside: 25%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        17.60,,,12/29/2014,,12/29/2014,,,,,1.88%,$              17.60,0.33,22.28,10.28,13.36,61%,27%,1.48%,3.21%,7.16%,286.19%,296.22%,1.765,2.47%,0.00%,,1997,0.00,-,63,,,0,1.37%,24,24,1.11%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        17.29,,,1/5/2015,,1/5/2015,,,,,1.91%,$              17.29,0.33,22.28,10.28,13.36,58%,29%,1.48%,3.21%,7.29%,293.12%,303.33%,1.765,2.47%,-1.76%,,1998,0.00,,25,,,1,1.40%,18,42,0.83%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                        17.97,,,1/12/2015,,1/12/2015,,,,,1.84%,$              17.97,0.33,22.28,10.28,13.36,64%,24%,1.48%,3.21%,7.01%,278.24%,288.06%,1.765,2.47%,0.00%,,1999,0.00,,,,,2,1.43%,39,81,1.81%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        17.94,,,1/19/2015,,1/20/2015,,,,,1.84%,$              17.94,0.33,22.28,10.28,13.36,64%,24%,1.48%,3.21%,7.02%,278.87%,288.71%,1.765,2.47%,-0.17%,,2000,0.00,,1/1/1970,1970,,3,1.46%,24,105,1.11%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        17.00,,,1/27/2015,,1/26/2015,,,,,1.94%,$              17.00,0.33,22.28,10.28,13.36,56%,31%,1.48%,3.21%,7.41%,299.82%,310.21%,1.765,2.47%,-5.40%,,2001,0.00,,1/1/1971,1971,,4,1.49%,31,136,1.44%
