,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,GD US,General Dynamics,,,,,,,,,,115%,-6%,$    386.75,$        201.54,$       277.77,$          386.75,$       363.00,4.05%,1.63%,2.15%,4.90%,262.80%,262.80%,115%,,,,,,,NO,,,3.39%,1.55%,1.84%,0.03%,61
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,4.28%,,General Dynamics - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.94%,11/10/2017,,,,,,,,,,$       277.77,-28%,1.53%,$       363.00,$        139.35,$           106.60,$           101.11,1.53%,2.94%,2.13%,1.35%,0.00%,0.00%,-34%,,,,5Y CAGR,4.86%,,General Dynamics - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.14%,,General Dynamics - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,General Dynamics - Rating: 115% - Upside: -6%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     136.07,,,12/29/2014,,12/29/2014,,,,,2.18%,$           136.07,2.97,182.11,101.11,139.35,43%,34%,1.63%,2.94%,3.84%,184.23%,194.42%,13.87,2.13%,0.00%,,1997,0.00,-,115,,,0,1.55%,9,9,0.34%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                     136.64,,,1/5/2015,,1/5/2015,,,,,2.17%,$           136.64,2.97,182.11,101.11,139.35,44%,33%,1.63%,2.94%,3.82%,183.04%,193.19%,13.87,2.13%,0.00%,,1998,0.00,,-6,,,1,1.58%,44,53,1.66%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     135.26,,,1/12/2015,,1/12/2015,,,,,2.20%,$           135.26,2.97,182.11,101.11,139.35,42%,35%,1.63%,2.94%,3.86%,185.93%,196.19%,13.87,2.13%,-1.01%,,1999,0.00,,,,,2,1.61%,102,155,3.84%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                     130.80,,,1/20/2015,,1/20/2015,,,,,2.27%,$           130.80,2.97,182.11,101.11,139.35,37%,39%,1.63%,2.94%,3.99%,195.68%,206.28%,13.87,2.13%,-4.27%,,2000,0.00,,1/1/1970,1970,,3,1.64%,89,244,3.35%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                      130.19,,,1/26/2015,,1/26/2015,,,,,2.28%,$            130.19,2.97,182.11,101.11,139.35,36%,40%,1.63%,2.94%,4.01%,197.07%,207.72%,13.87,2.13%,-4.72%,,2001,0.00,,1/1/1971,1971,,4,1.67%,69,313,2.60%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                      131.29,,,2/2/2015,,2/2/2015,,,,,2.26%,$            131.29,2.97,182.11,101.11,139.35,37%,39%,1.63%,2.94%,3.98%,194.58%,205.14%,13.87,2.13%,-3.92%,,2002,0.59,,1/1/1972,1972,,5,1.70%,94,407,3.54%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                     132.49,,,2/9/2015,,2/9/2015,,,,,2.24%,$           132.49,2.97,182.11,101.11,139.35,39%,37%,1.63%,2.94%,3.94%,191.91%,202.38%,13.87,2.13%,-3.04%,,2003,0.63,6.78%,1/1/1973,1973,,6,1.73%,86,493,3.24%
