,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,GEBN SW,Geberit AG,,,,,,,,,,20%,47%,$     514.00,$       452.30,$       540.23,$          775.00,$       755.82,3.05%,1.67%,2.30%,3.98%,62.20%,74.69%,133%,,,,,,,NO,,,2.99%,1.49%,1.50%,0.02%,75
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Geberit AG - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.79%,11/10/2017,,,,,,,,,,$       540.23,5%,2.45%,$       755.82,$        360.15,$           316.90,$        301.53,1.47%,2.79%,2.33%,1.63%,-33.68%,-33.68%,-13%,,,,5Y CAGR,2.02%,,Geberit AG - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.14%,,Geberit AG - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Geberit AG - Rating: 20% - Upside: 47%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    332.50,,,12/29/2014,,12/29/2014,,,,,2.53%,332.50 CHF,8.40,503.88,301.53,360.15,15%,52%,1.67%,2.79%,3.79%,54.59%,66.50%,39.6,2.33%,0.00%,,1997,0.00,-,20,,,0,1.49%,16,16,0.60%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,336.10 CHF,,,1/5/2015,,1/5/2015,,,,,2.50%,336.10 CHF,8.40,503.88,301.53,360.15,17%,50%,1.67%,2.79%,3.75%,52.93%,64.71%,39.6,2.33%,0.00%,,1998,0.00,,47,,,1,1.51%,9,25,0.34%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,329.80 CHF,,,1/12/2015,,1/12/2015,,,,,2.55%,329.80 CHF,8.40,503.88,301.53,360.15,14%,53%,1.67%,2.79%,3.82%,55.85%,67.86%,39.6,2.33%,-1.87%,,1999,0.00,,,,,2,1.53%,14,39,0.53%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,323.20 CHF,,,1/19/2015,,1/20/2015,,,,,2.60%,323.20 CHF,8.40,503.88,301.53,360.15,11%,56%,1.67%,2.79%,3.90%,59.03%,71.29%,39.6,2.33%,-3.84%,,2000,0.00,,1/1/1970,1970,,3,1.55%,12,51,0.45%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,318.60 CHF,,,1/26/2015,,1/26/2015,,,,,2.64%,318.60 CHF,8.40,503.88,301.53,360.15,8%,58%,1.67%,2.79%,3.95%,61.33%,73.76%,39.6,2.33%,-5.21%,,2001,0.00,,1/1/1971,1971,,4,1.57%,21,72,0.79%
