,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,GGG US,Graco Inc,,,,,,,,,,61%,19%,$       79.50,$          55.49,$          78.25,$             94.82,$          94.62,2.08%,0.99%,1.26%,4.44%,275.24%,285.10%,116%,,,,,,,NO,,,1.91%,0.95%,0.97%,0.02%,48
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Graco Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.69%,11/10/2017,,,,,,,,,,$          78.25,-2%,1.18%,$          94.62,$          36.63,$               21.19,$          25.97,0.93%,1.69%,1.20%,0.99%,-16.16%,-16.16%,-26%,,,,5Y CAGR,4.62%,,Graco Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.89%,,Graco Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Graco Inc - Rating: 61% - Upside: 19%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       23.89,,,12/29/2014,,12/29/2014,,,,,1.84%,$             23.89,0.44,44.29,25.97,36.63,-11%,85%,0.99%,1.69%,3.94%,232.83%,241.58%,2.09,1.20%,0.00%,,1997,0.00,-,61,,,0,0.95%,41,41,1.54%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       23.60,,,1/5/2015,,1/5/2015,,,,,1.86%,$             23.60,0.44,44.29,25.97,36.63,-13%,88%,0.99%,1.69%,3.98%,236.92%,245.77%,2.09,1.20%,-1.21%,,1998,0.00,,19,,,1,0.97%,61,102,2.30%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       23.08,,,1/12/2015,,1/12/2015,,,,,1.91%,$             23.08,0.44,44.29,25.97,36.63,-16%,92%,0.99%,1.69%,4.07%,244.46%,253.51%,2.09,1.20%,-3.38%,,1999,0.00,,,,,2,0.99%,62,164,2.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       22.48,,,1/20/2015,,1/20/2015,,,,,1.96%,$             22.48,0.44,44.29,25.97,36.63,-19%,97%,0.99%,1.69%,4.18%,253.70%,263.00%,2.09,1.20%,-5.90%,,2000,0.00,,1/1/1970,1970,,3,1.01%,63,227,2.37%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       22.03,,,1/26/2015,,1/26/2015,,,,,2.00%,$             22.03,0.44,44.29,25.97,36.63,-22%,101%,0.99%,1.69%,4.27%,260.82%,270.31%,2.09,1.20%,-7.76%,,2001,0.00,,1/1/1971,1971,,4,1.03%,55,282,2.07%
