,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,GLW US,Corning Inc,,,,,,,,,,148%,-26%,$     146.65,$          30.24,$          43.24,$          255.69,$        108.84,4.96%,1.03%,2.64%,6.71%,778.67%,794.73%,,,,,,,,NO,,,4.43%,0.56%,3.88%,0.05%,78
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Corning Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.70%,11/10/2017,,,,,,,,,,$          43.24,-71%,0.76%,$        108.84,$          20.85,$              16.69,$           14.58,0.44%,3.70%,2.59%,0.44%,-42.65%,-42.65%,,,,,5Y CAGR,3.13%,,Corning Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.57%,,Corning Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Corning Inc - Rating: 148% - Upside: -26%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         17.91,,,12/29/2014,,12/29/2014,,,,,3.02%,$               17.91,0.54,52.48,14.58,20.85,9%,193%,1.03%,3.70%,6.25%,718.82%,733.78%,2.68,2.59%,0.00%,,1997,0.00,-,148,,,0,0.56%,19,19,0.79%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        17.90,,,1/5/2015,,1/5/2015,,,,,3.02%,$              17.90,0.54,52.48,14.58,20.85,9%,193%,1.03%,3.70%,6.26%,719.27%,734.25%,2.68,2.59%,-0.06%,,1998,0.00,,-26,,,1,0.61%,20,39,0.83%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        17.50,,,1/12/2015,,1/12/2015,,,,,3.09%,$              17.50,0.54,52.48,14.58,20.85,8%,200%,1.03%,3.70%,6.40%,738.00%,753.31%,2.68,2.59%,-2.29%,,1999,0.00,,,,,2,0.66%,18,57,0.75%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                         17.10,,,1/20/2015,,1/20/2015,,,,,3.16%,$               17.10,0.54,52.48,14.58,20.85,7%,207%,1.03%,3.70%,6.55%,757.60%,773.27%,2.68,2.59%,-4.52%,,2000,0.00,,1/1/1970,1970,,3,0.71%,13,70,0.54%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                         17.15,,,1/26/2015,,1/26/2015,,,,,3.15%,$               17.15,0.54,52.48,14.58,20.85,7%,206%,1.03%,3.70%,6.53%,755.10%,770.73%,2.68,2.59%,-4.24%,,2001,0.00,,1/1/1971,1971,,4,0.76%,8,78,0.33%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                         17.31,,,2/2/2015,,2/2/2015,,,,,3.12%,$               17.31,0.54,52.48,14.58,20.85,7%,203%,1.03%,3.70%,6.47%,747.20%,762.68%,2.68,2.59%,-3.35%,,2002,0.00,,1/1/1972,1972,,5,0.81%,15,93,0.62%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        17.34,,,2/9/2015,,2/9/2015,,,,,3.11%,$              17.34,0.54,52.48,14.58,20.85,7%,203%,1.03%,3.70%,6.46%,745.73%,761.19%,2.68,2.59%,-3.18%,,2003,0.00,,1/1/1973,1973,,6,0.86%,10,103,0.42%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        17.06,,,2/17/2015,,2/17/2015,,,,,3.17%,$              17.06,0.54,52.48,14.58,20.85,7%,208%,1.03%,3.70%,6.57%,759.61%,775.32%,2.68,2.59%,-4.75%,,2004,0.00,,1/1/1974,1974,,7,0.91%,1,104,0.04%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        17.30,,,2/23/2015,,2/23/2015,,,,,3.12%,$              17.30,0.54,52.48,14.58,20.85,7%,203%,1.03%,3.70%,6.47%,747.69%,763.18%,2.68,2.59%,-3.41%,,2005,0.00,,1/1/1975,1975,,8,0.96%,2,106,0.08%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        16.87,,,3/2/2015,,3/2/2015,,,,,3.20%,$              16.87,0.54,52.48,14.58,20.85,6%,211%,1.03%,3.70%,6.64%,769.29%,785.18%,2.68,2.59%,-5.81%,,2006,0.00,,1/1/1976,1976,,9,1.01%,3,109,0.12%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        16.76,,,3/9/2015,,3/9/2015,,,,,3.22%,$              16.76,0.54,52.48,14.58,20.85,6%,213%,1.03%,3.70%,6.68%,775.00%,790.99%,2.68,2.59%,-6.42%,,2007,0.10,,1/1/1977,1977,,10,1.06%,3,112,0.12%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        16.69,,,3/16/2015,,3/16/2015,,,,,3.24%,$              16.69,0.54,52.48,14.58,20.85,6%,214%,1.03%,3.70%,6.71%,778.67%,794.73%,2.68,2.59%,-6.81%,,2008,0.20,100.00%,1/1/1978,1978,,11,1.11%,0,112,0.00%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        16.93,,,3/23/2015,,3/23/2015,,,,,3.19%,$              16.93,0.54,52.48,14.58,20.85,6%,210%,1.03%,3.70%,6.62%,766.21%,782.04%,2.68,2.59%,-5.47%,,2009,0.20,0.00%,1/1/1979,1979,,12,1.16%,6,118,0.25%
