,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,GPC US,Genuine Parts,,,,,,,,,,15%,50%,$      124.21,$         113.25,$        146.50,$           187.28,$        186.59,6.28%,2.28%,2.96%,7.56%,146.99%,146.99%,149%,,,,,,,NO,,,4.67%,1.96%,2.70%,0.04%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.80%,,Genuine Parts - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.75%,11/10/2017,,,,,,,,,,$        146.50,18%,3.42%,$        186.59,$          90.66,$             50.29,$          70.08,1.91%,3.75%,2.90%,2.03%,-33.68%,-33.68%,-62%,,,,5Y CAGR,5.45%,,Genuine Parts - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.92%,,Genuine Parts - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Genuine Parts - Rating: 15% - Upside: 50%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       84.03,,,12/29/2014,,12/29/2014,,,,,3.13%,$             84.03,2.63,115.47,70.08,90.66,31%,37%,2.28%,3.75%,4.52%,47.82%,61.22%,11.26,2.90%,0.00%,,1997,0.00,-,15,,,0,1.96%,14,14,0.53%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       84.33,,,1/5/2015,,1/5/2015,,,,,3.12%,$             84.33,2.63,115.47,70.08,90.66,31%,37%,2.28%,3.75%,4.51%,47.29%,60.64%,11.26,2.90%,0.00%,,1998,0.00,,50,,,1,2.00%,14,28,0.53%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       82.66,,,1/12/2015,,1/12/2015,,,,,3.18%,$             82.66,2.63,115.47,70.08,90.66,28%,40%,2.28%,3.75%,4.60%,50.27%,63.89%,11.26,2.90%,-1.98%,,1999,0.00,,,,,2,2.04%,4,32,0.15%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       80.88,,,1/20/2015,,1/20/2015,,,,,3.25%,$             80.88,2.63,115.47,70.08,90.66,24%,43%,2.28%,3.75%,4.70%,53.57%,67.50%,11.26,2.90%,-4.09%,,2000,0.00,,1/1/1970,1970,,3,2.08%,7,39,0.26%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       78.56,,,1/26/2015,,1/26/2015,,,,,3.35%,$             78.56,2.63,115.47,70.08,90.66,19%,47%,2.28%,3.75%,4.84%,58.11%,72.44%,11.26,2.90%,-6.84%,,2001,0.00,,1/1/1971,1971,,4,2.12%,5,44,0.19%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       79.07,,,2/2/2015,,2/2/2015,,,,,3.33%,$             79.07,2.63,115.47,70.08,90.66,20%,46%,2.28%,3.75%,4.81%,57.09%,71.33%,11.26,2.90%,-6.24%,,2002,1.16,,1/1/1972,1972,,5,2.16%,10,54,0.38%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       79.64,,,2/9/2015,,2/9/2015,,,,,3.30%,$             79.64,2.63,115.47,70.08,90.66,21%,45%,2.28%,3.75%,4.77%,55.96%,70.10%,11.26,2.90%,-5.56%,,2003,1.18,1.72%,1/1/1973,1973,,6,2.20%,27,81,1.02%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       77.40,,,2/17/2015,,2/17/2015,,,,,3.40%,$             77.40,2.63,115.47,70.08,90.66,16%,49%,2.28%,3.75%,4.91%,60.48%,75.03%,11.26,2.90%,-8.22%,,2004,1.20,1.69%,1/1/1974,1974,,7,2.24%,53,134,2.00%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       78.50,,,2/23/2015,,2/23/2015,,,,,3.35%,$             78.50,2.63,115.47,70.08,90.66,19%,47%,2.28%,3.75%,4.84%,58.23%,72.57%,11.26,2.90%,-6.91%,,2005,1.25,4.17%,1/1/1975,1975,,8,2.28%,41,175,1.54%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       78.47,,,3/2/2015,,3/2/2015,,,,,3.35%,$             78.47,2.63,115.47,70.08,90.66,18%,47%,2.28%,3.75%,4.84%,58.29%,72.64%,11.26,2.90%,-6.95%,,2006,1.35,8.00%,1/1/1976,1976,,9,2.32%,30,205,1.13%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        78.31,,,3/9/2015,,3/9/2015,,,,,3.36%,$              78.31,2.63,115.47,70.08,90.66,18%,47%,2.28%,3.75%,4.85%,58.61%,72.99%,11.26,2.90%,-7.14%,,2007,1.46,8.15%,1/1/1977,1977,,10,2.36%,29,234,1.09%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       79.04,,,3/16/2015,,3/16/2015,,,,,3.33%,$             79.04,2.63,115.47,70.08,90.66,20%,46%,2.28%,3.75%,4.81%,57.15%,71.39%,11.26,2.90%,-6.27%,,2008,1.56,6.85%,1/1/1978,1978,,11,2.40%,42,276,1.58%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       79.22,,,3/23/2015,,3/23/2015,,,,,3.32%,$             79.22,2.63,115.47,70.08,90.66,20%,46%,2.28%,3.75%,4.80%,56.79%,71.00%,11.26,2.90%,-6.06%,,2009,1.60,2.56%,1/1/1979,1979,,12,2.44%,47,323,1.77%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       79.73,,,3/30/2015,,3/30/2015,,,,,3.30%,$             79.73,2.63,115.47,70.08,90.66,21%,45%,2.28%,3.75%,4.77%,55.79%,69.91%,11.26,2.90%,-5.45%,,2010,1.64,2.50%,1/1/1980,1980,,13,2.48%,37,360,1.39%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       79.30,,,4/6/2015,,4/6/2015,,,,,3.32%,$             79.30,2.63,115.47,70.08,90.66,20%,46%,2.28%,3.75%,4.79%,56.63%,70.83%,11.26,2.90%,-5.96%,,2011,1.80,9.76%,1/1/1981,1981,,14,2.52%,67,427,2.52%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       82.05,,,4/13/2015,,4/13/2015,,,,,3.21%,$             82.05,2.63,115.47,70.08,90.66,26%,41%,2.28%,3.75%,4.63%,51.38%,65.11%,11.26,2.90%,-2.70%,,2012,1.98,10.00%,1/1/1982,1982,,15,2.56%,81,508,3.05%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       82.02,,,4/20/2015,,4/20/2015,,,,,3.21%,$             82.02,2.63,115.47,70.08,90.66,26%,41%,2.28%,3.75%,4.63%,51.44%,65.17%,11.26,2.90%,-2.74%,,2013,2.15,8.59%,1/1/1983,1983,,16,2.60%,74,582,2.79%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       83.35,,,4/27/2015,,4/27/2015,,,,,3.16%,$             83.35,2.63,115.47,70.08,90.66,29%,39%,2.28%,3.75%,4.56%,49.02%,62.53%,11.26,2.90%,-1.16%,,2014,2.30,6.98%,1/1/1984,1984,,17,2.64%,88,670,3.32%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                        86.17,,,5/4/2015,,5/4/2015,,,,,3.05%,$              86.17,2.63,115.47,70.08,90.66,35%,34%,2.28%,3.75%,4.41%,44.15%,57.21%,11.26,2.90%,0.00%,,2015,2.46,6.96%,1/1/1985,1985,,18,2.68%,119,789,4.48%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                        83.91,,,5/11/2015,,5/11/2015,,,,,3.13%,$              83.91,2.63,115.47,70.08,90.66,30%,38%,2.28%,3.75%,4.53%,48.03%,61.45%,11.26,2.90%,-2.62%,,2016,2.63,6.91%,1/1/1986,1986,,19,2.72%,89,878,3.35%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       82.67,,,5/18/2015,,5/18/2015,,,,,3.18%,$             82.67,2.63,115.47,70.08,90.66,28%,40%,2.28%,3.75%,4.60%,50.25%,63.87%,11.26,2.90%,-4.06%,,2017,2.70,2.66%,1/1/1987,1987,,20,2.76%,124,1002,4.67%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       83.84,,,5/26/2015,,5/26/2015,,,,,3.14%,$             83.84,2.63,115.47,70.08,90.66,30%,38%,2.28%,3.75%,4.53%,48.15%,61.58%,11.26,2.90%,-2.70%,,2018,2.88,6.67%,1/1/1988,1988,,21,2.80%,121,1123,4.56%
