,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,GRI LN,Grainger PLC,,,,,,,,,,,,$     177.60,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Grainger PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,5.25%,,Grainger PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.98%,,Grainger PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    243.50,,,12/29/2014,,12/29/2014,,,,,1.85%,243.50,4.50,,,,,,,,2.73%,,,19.81,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,243.80,,,1/5/2015,,1/5/2015,,,,,1.85%,243.80,4.50,,,,,,,,2.73%,,,19.81,,0.00%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,241.40,,,1/12/2015,,1/12/2015,,,,,1.86%,241.40,4.50,,,,,,,,2.75%,,,19.81,,-0.98%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,239.30,,,1/19/2015,,1/20/2015,,,,,1.88%,239.30,4.50,,,,,,,,2.78%,,,19.81,,-1.85%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,233.60,,,1/26/2015,,1/26/2015,,,,,1.93%,233.60,4.50,,,,,,,,2.85%,,,19.81,,-4.18%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,235.70,,,2/2/2015,,2/2/2015,,,,,1.91%,235.70,4.50,,,,,,,,2.82%,,,19.81,,-3.32%,,2002,2.55,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,234.10,,,2/9/2015,,2/9/2015,,,,,1.92%,234.10,4.50,,,,,,,,2.84%,,,19.81,,-3.98%,,2003,2.93,15.00%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,230.80,,,2/16/2015,,2/17/2015,,,,,1.95%,230.80,4.50,,,,,,,,2.88%,,,19.81,,-5.33%,,2004,3.37,15.03%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,228.40,,,2/23/2015,,2/23/2015,,,,,1.97%,228.40,4.50,,,,,,,,2.91%,,,19.81,,-6.32%,,2005,5.54,64.49%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,227.70,,,3/2/2015,,3/2/2015,,,,,1.98%,227.70,4.50,,,,,,,,2.92%,,,19.81,,-6.60%,,2006,5.28,-4.69%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/18/2016,218.70,,,3/9/2015,,3/9/2015,,,,,2.06%,218.70,4.50,,,,,,,,3.04%,,,19.81,,-10.30%,,2007,5.81,10.04%,1/1/1977,1977,,10,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,221.70,,,3/16/2015,,3/16/2015,,,,,2.03%,221.70,4.50,,,,,,,,3.00%,,,19.81,,-9.06%,,2008,6.39,9.98%,1/1/1978,1978,,11,,,,
,,,,,,,,,,,,,,,,,,2016,1/20/2016,217.90,,,3/23/2015,,3/23/2015,,,,,2.07%,217.90,4.50,,,,,,,,3.05%,,,19.81,,-10.62%,,2009,7.82,22.38%,1/1/1979,1979,,12,,,,
,,,,,,,,,,,,,,,,,,2016,1/21/2016,215.70,,,3/30/2015,,3/30/2015,,,,,2.09%,215.70,4.50,,,,,,,,3.08%,,,19.81,,-11.53%,,2010,1.70,-78.26%,1/1/1980,1980,,13,,,,
,,,,,,,,,,,,,,,,,,2016,1/22/2016,220.50,,,4/7/2015,,4/6/2015,,,,,2.04%,220.50,4.50,,,,,,,,3.02%,,,19.81,,-9.56%,,2011,1.30,-23.53%,1/1/1981,1981,,14,,,,
,,,,,,,,,,,,,,,,,,2016,1/25/2016,222.60,,,4/13/2015,,4/13/2015,,,,,2.02%,222.60,4.50,,,,,,,,2.99%,,,19.81,,-8.70%,,2012,1.92,47.69%,1/1/1982,1982,,15,,,,
,,,,,,,,,,,,,,,,,,2016,1/26/2016,224.80,,,4/20/2015,,4/20/2015,,,,,2.00%,224.80,4.50,,,,,,,,2.96%,,,19.81,,-7.79%,,2013,2.04,6.25%,1/1/1983,1983,,16,,,,
,,,,,,,,,,,,,,,,,,2016,1/27/2016,224.40,,,4/27/2015,,4/27/2015,,,,,2.01%,224.40,4.50,,,,,,,,2.96%,,,19.81,,-7.96%,,2014,2.50,22.55%,1/1/1984,1984,,17,,,,
,,,,,,,,,,,,,,,,,,2016,1/28/2016,222.00,,,5/5/2015,,5/4/2015,,,,,2.03%,222.00,4.50,,,,,,,,3.00%,,,19.81,,-8.94%,,2015,2.75,10.00%,1/1/1985,1985,,18,,,,
