,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,GSY CN,GoEasy,,,,,,,,,,-29%,369%,$       49.02,$           90.16,$        155.99,$           217.67,$       229.88,13.47%,1.67%,2.82%,23.11%,198.90%,219.39%,162%,,,,,,,NO,,,12.01%,1.29%,10.72%,0.15%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.44%,,GoEasy - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.26%,11/10/2017,,,,,,,,,,$        155.99,218%,7.83%,$       229.88,$           20.31,$              16.40,$            11.74,1.21%,4.26%,2.46%,1.74%,-77.48%,-77.48%,-44%,,,,5Y CAGR,7.78%,,GoEasy - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,22.61%,,GoEasy - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,GoEasy - Rating: -29% - Upside: 369%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        18.92,,,12/29/2014,,12/29/2014,,,,,2.64%,$              18.92,0.50,29.93,11.74,20.31,39%,58%,1.67%,4.26%,20.03%,159.09%,176.85%,3.36,2.46%,0.00%,,1997,0.00,-,-29,,,0,1.29%,53,53,2.00%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        19.06,,,1/5/2015,,1/5/2015,,,,,2.62%,$              19.06,0.50,29.93,11.74,20.31,40%,57%,1.67%,4.26%,19.88%,157.19%,174.82%,3.36,2.46%,0.00%,,1998,0.00,,369,,,1,1.44%,45,98,1.70%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        19.03,,,1/12/2015,,1/12/2015,,,,,2.63%,$              19.03,0.50,29.93,11.74,20.31,40%,57%,1.67%,4.26%,19.92%,157.59%,175.25%,3.36,2.46%,-0.16%,,1999,0.00,,,,,2,1.59%,56,154,2.11%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        18.40,,,1/19/2015,,1/20/2015,,,,,2.72%,$              18.40,0.50,29.93,11.74,20.31,37%,63%,1.67%,4.26%,20.60%,166.41%,184.67%,3.36,2.46%,-3.46%,,2000,0.00,,1/1/1970,1970,,3,1.74%,118,272,4.46%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        18.57,,,1/26/2015,,1/26/2015,,,,,2.69%,$              18.57,0.50,29.93,11.74,20.31,38%,61%,1.67%,4.26%,20.41%,163.97%,182.07%,3.36,2.46%,-2.57%,,2001,0.00,,1/1/1971,1971,,4,1.89%,137,409,5.17%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        17.70,,,2/2/2015,,2/2/2015,,,,,2.82%,$              17.70,0.50,29.93,11.74,20.31,33%,69%,1.67%,4.26%,21.41%,176.95%,195.93%,3.36,2.46%,-7.14%,,2002,0.00,,1/1/1972,1972,,5,2.04%,327,736,12.35%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                         17.15,,,2/9/2015,,2/9/2015,,,,,2.92%,$               17.15,0.50,29.93,11.74,20.31,30%,75%,1.67%,4.26%,22.10%,185.83%,205.42%,3.36,2.46%,-10.02%,,2003,0.00,,1/1/1973,1973,,6,2.19%,308,1044,11.63%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        17.00,,,2/17/2015,,2/17/2015,,,,,2.94%,$              17.00,0.50,29.93,11.74,20.31,29%,76%,1.67%,4.26%,22.29%,188.35%,208.12%,3.36,2.46%,-10.81%,,2004,0.08,,1/1/1974,1974,,7,2.34%,331,1375,12.50%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        16.44,,,2/23/2015,,2/23/2015,,,,,3.04%,$              16.44,0.50,29.93,11.74,20.31,26%,82%,1.67%,4.26%,23.05%,198.18%,218.61%,3.36,2.46%,-13.75%,,2005,0.16,100.00%,1/1/1975,1975,,8,2.49%,252,1627,9.52%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                         16.41,,,3/2/2015,,3/2/2015,,,,,3.05%,$               16.41,0.50,29.93,11.74,20.31,26%,82%,1.67%,4.26%,23.10%,198.72%,219.20%,3.36,2.46%,-13.90%,,2006,0.24,50.00%,1/1/1976,1976,,9,2.64%,172,1799,6.50%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                        16.40,,,3/9/2015,,3/9/2015,,,,,3.05%,$              16.40,0.50,29.93,11.74,20.31,26%,83%,1.67%,4.26%,23.11%,198.90%,219.39%,3.36,2.46%,-13.96%,,2007,0.28,16.67%,1/1/1977,1977,,10,2.79%,153,1952,5.78%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        16.48,,,3/16/2015,,3/16/2015,,,,,3.03%,$              16.48,0.50,29.93,11.74,20.31,26%,82%,1.67%,4.26%,23.00%,197.45%,217.84%,3.36,2.46%,-13.54%,,2008,0.34,21.43%,1/1/1978,1978,,11,2.94%,170,2122,6.42%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        16.74,,,3/23/2015,,3/23/2015,,,,,2.99%,$              16.74,0.50,29.93,11.74,20.31,27%,79%,1.67%,4.26%,22.64%,192.83%,212.90%,3.36,2.46%,-12.17%,,2009,0.34,0.00%,1/1/1979,1979,,12,3.09%,104,2226,3.93%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        17.00,,,3/30/2015,,3/30/2015,,,,,2.94%,$              17.00,0.50,29.93,11.74,20.31,29%,76%,1.67%,4.26%,22.29%,188.35%,208.12%,3.36,2.46%,-10.81%,,2010,0.34,0.00%,1/1/1980,1980,,13,3.24%,89,2315,3.36%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        17.05,,,4/6/2015,,4/6/2015,,,,,2.93%,$              17.05,0.50,29.93,11.74,20.31,29%,76%,1.67%,4.26%,22.23%,187.51%,207.21%,3.36,2.46%,-10.55%,,2011,0.34,0.00%,1/1/1981,1981,,14,3.39%,105,2420,3.97%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        17.80,,,4/13/2015,,4/13/2015,,,,,2.81%,$              17.80,0.50,29.93,11.74,20.31,33%,68%,1.67%,4.26%,21.29%,175.39%,194.27%,3.36,2.46%,-6.61%,,2012,0.34,0.00%,1/1/1982,1982,,15,3.54%,38,2458,1.44%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        18.50,,,4/20/2015,,4/20/2015,,,,,2.70%,$              18.50,0.50,29.93,11.74,20.31,37%,62%,1.67%,4.26%,20.49%,164.97%,183.14%,3.36,2.46%,-2.94%,,2013,0.34,0.00%,1/1/1983,1983,,16,3.69%,12,2470,0.45%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        18.73,,,4/27/2015,,4/27/2015,,,,,2.67%,$              18.73,0.50,29.93,11.74,20.31,38%,60%,1.67%,4.26%,20.23%,161.72%,179.66%,3.36,2.46%,-1.73%,,2014,0.34,0.00%,1/1/1984,1984,,17,3.84%,15,2485,0.57%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                        18.20,,,5/4/2015,,5/4/2015,,,,,2.75%,$              18.20,0.50,29.93,11.74,20.31,36%,64%,1.67%,4.26%,20.82%,169.34%,187.80%,3.36,2.46%,-4.51%,,2015,0.40,17.65%,1/1/1985,1985,,18,3.99%,12,2497,0.45%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                        18.86,,,5/11/2015,,5/11/2015,,,,,2.65%,$              18.86,0.50,29.93,11.74,20.31,39%,59%,1.67%,4.26%,20.10%,159.92%,177.73%,3.36,2.46%,-1.05%,,2016,0.50,25.00%,1/1/1986,1986,,19,4.14%,6,2503,0.23%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                        18.49,,,5/19/2015,,5/18/2015,,,,,2.70%,$              18.49,0.50,29.93,11.74,20.31,37%,62%,1.67%,4.26%,20.50%,165.12%,183.29%,3.36,2.46%,-2.99%,,2017,0.72,44.00%,1/1/1987,1987,,20,4.29%,3,2506,0.11%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                         18.71,,,5/25/2015,,5/26/2015,,,,,2.67%,$               18.71,0.50,29.93,11.74,20.31,38%,60%,1.67%,4.26%,20.26%,162.00%,179.96%,3.36,2.46%,-1.84%,,2018,0.90,25.00%,1/1/1988,1988,,21,4.44%,5,2511,0.19%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                        18.30,,,6/1/2015,,6/1/2015,,,,,2.73%,$              18.30,0.50,29.93,11.74,20.31,36%,64%,1.67%,4.26%,20.71%,167.87%,186.23%,3.36,2.46%,-3.99%,,2019,1.24,37.78%,1/1/1989,1989,,22,4.59%,5,2516,0.19%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                         18.15,,,6/8/2015,,6/8/2015,,,,,2.75%,$               18.15,0.50,29.93,11.74,20.31,35%,65%,1.67%,4.26%,20.88%,170.08%,188.60%,3.36,2.46%,-4.77%,,2020,1.80,45.16%,1/1/1990,1990,,23,4.74%,5,2521,0.19%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                        18.40,,,6/15/2015,,6/15/2015,,,,,2.72%,$              18.40,0.50,29.93,11.74,20.31,37%,63%,1.67%,4.26%,20.60%,166.41%,184.67%,3.36,2.46%,-3.46%,,2021,2.64,46.67%,1/1/1991,1991,,24,4.89%,5,2526,0.19%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                        17.60,,,6/22/2015,,6/22/2015,,,,,2.84%,$              17.60,0.50,29.93,11.74,20.31,32%,70%,1.67%,4.26%,21.53%,178.52%,197.61%,3.36,2.46%,-7.66%,,2022,3.64,37.88%,1/1/1992,1992,,25,5.04%,0,2526,0.00%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                        17.64,,,6/29/2015,,6/29/2015,,,,,2.83%,$              17.64,0.50,29.93,11.74,20.31,32%,70%,1.67%,4.26%,21.49%,177.89%,196.94%,3.36,2.46%,-7.45%,,2023,3.79,4.12%,1/1/1993,1993,,26,5.19%,1,2527,0.04%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                         17.16,,,7/6/2015,,7/6/2015,,,,,2.91%,$               17.16,0.50,29.93,11.74,20.31,30%,74%,1.67%,4.26%,22.09%,185.66%,205.24%,3.36,2.46%,-9.97%,,2024,3.84,1.32%,1/1/1994,1994,,27,5.34%,3,2530,0.11%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                        16.99,,,7/13/2015,,7/13/2015,,,,,2.94%,$              16.99,0.50,29.93,11.74,20.31,29%,76%,1.67%,4.26%,22.31%,188.52%,208.30%,3.36,2.46%,-10.86%,,2025,3.84,0.00%,1/1/1995,1995,,28,5.49%,2,2532,0.08%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                        16.95,,,7/20/2015,,7/20/2015,,,,,2.95%,$              16.95,0.50,29.93,11.74,20.31,29%,77%,1.67%,4.26%,22.36%,189.20%,209.03%,3.36,2.46%,-11.07%,,2026,3.84,0.00%,1/1/1996,1996,,29,5.64%,1,2533,0.04%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                        17.60,,,7/27/2015,,7/27/2015,,,,,2.84%,$              17.60,0.50,29.93,11.74,20.31,32%,70%,1.67%,4.26%,21.53%,178.52%,197.61%,3.36,2.46%,-7.66%,,,,,1/1/1997,1997,,30,5.79%,0,2533,0.00%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                        18.07,,,8/4/2015,,8/3/2015,,,,,2.77%,$              18.07,0.50,29.93,11.74,20.31,35%,66%,1.67%,4.26%,20.97%,171.28%,189.87%,3.36,2.46%,-5.19%,,,,,1/1/1998,1998,,31,5.94%,1,2534,0.04%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                         19.15,,,8/10/2015,,8/10/2015,,,,,2.61%,$               19.15,0.50,29.93,11.74,20.31,41%,56%,1.67%,4.26%,19.79%,155.98%,173.52%,3.36,2.46%,0.00%,,,,,1/1/1999,1999,,32,6.09%,1,2535,0.04%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                        18.45,,,8/17/2015,,8/17/2015,,,,,2.71%,$              18.45,0.50,29.93,11.74,20.31,37%,62%,1.67%,4.26%,20.54%,165.69%,183.90%,3.36,2.46%,-3.66%,,,,,1/1/2000,2000,,33,6.24%,1,2536,0.04%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                        19.00,,,8/24/2015,,8/24/2015,,,,,2.63%,$              19.00,0.50,29.93,11.74,20.31,40%,58%,1.67%,4.26%,19.95%,158.00%,175.68%,3.36,2.46%,-0.78%,,,,,1/1/2001,2001,,34,6.39%,1,2537,0.04%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                        18.85,,,8/31/2015,,8/31/2015,,,,,2.65%,$              18.85,0.50,29.93,11.74,20.31,39%,59%,1.67%,4.26%,20.11%,160.05%,177.88%,3.36,2.46%,-1.57%,,,,,1/1/2002,2002,,35,6.54%,0,2537,0.00%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                        19.00,,,9/8/2015,,9/8/2015,,,,,2.63%,$              19.00,0.50,29.93,11.74,20.31,40%,58%,1.67%,4.26%,19.95%,158.00%,175.68%,3.36,2.46%,-0.78%,,,,,1/1/2003,2003,,36,6.69%,0,2537,0.00%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                        19.39,,,9/14/2015,,9/14/2015,,,,,2.58%,$              19.39,0.50,29.93,11.74,20.31,42%,54%,1.67%,4.26%,19.55%,152.81%,170.14%,3.36,2.46%,0.00%,,,,,1/1/2004,2004,,37,6.84%,0,2537,0.00%
