,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,GWW US,WW Grainger Inc,,,,,,,,,,132%,-19%,$ 1.382,60,$        281.94,$        488.51,$       1.402,03,$      1.118,16,3.24%,0.65%,1.52%,4.67%,784.86%,795.17%,134%,,,,,,,NO,,,3.09%,0.54%,2.56%,0.04%,64
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,WW Grainger Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.59%,11/10/2017,,,,,,,,,,$        488.51,-65%,0.53%,$      1.118,16,$       323.22,$           156.25,$        186.54,0.52%,2.59%,1.49%,0.52%,-1.39%,-1.39%,-7%,,,,5Y CAGR,2.70%,,WW Grainger Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.22%,,WW Grainger Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,WW Grainger Inc - Rating: 132% - Upside: -19%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     202.12,,,12/29/2014,,12/29/2014,,,,,2.39%,$           202.12,4.83,739.82,186.54,323.22,3%,266%,0.65%,2.59%,3.61%,584.05%,594.40%,20.93,1.49%,0.00%,,1997,0.00,-,132,,,0,0.54%,25,25,0.94%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                     199.68,,,1/5/2015,,1/5/2015,,,,,2.42%,$           199.68,4.83,739.82,186.54,323.22,2%,271%,0.65%,2.59%,3.66%,592.41%,602.89%,20.93,1.49%,-1.21%,,1998,0.00,,-19,,,1,0.58%,37,62,1.39%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     199.05,,,1/12/2015,,1/12/2015,,,,,2.43%,$           199.05,4.83,739.82,186.54,323.22,2%,272%,0.65%,2.59%,3.67%,594.60%,605.11%,20.93,1.49%,-1.52%,,1999,0.00,,,,,2,0.62%,64,126,2.41%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                      197.13,,,1/20/2015,,1/20/2015,,,,,2.45%,$            197.13,4.83,739.82,186.54,323.22,2%,275%,0.65%,2.59%,3.70%,601.36%,611.98%,20.93,1.49%,-2.47%,,2000,0.00,,1/1/1970,1970,,3,0.66%,98,224,3.69%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                     194.79,,,1/26/2015,,1/26/2015,,,,,2.48%,$           194.79,4.83,739.82,186.54,323.22,1%,280%,0.65%,2.59%,3.75%,609.79%,620.53%,20.93,1.49%,-3.63%,,2001,0.00,,1/1/1971,1971,,4,0.70%,153,377,5.76%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                      189.12,,,2/2/2015,,2/2/2015,,,,,2.55%,$            189.12,4.83,739.82,186.54,323.22,0%,291%,0.65%,2.59%,3.86%,631.07%,642.14%,20.93,1.49%,-6.43%,,2002,0.72,,1/1/1972,1972,,5,0.74%,169,546,6.37%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                     187.65,,,2/9/2015,,2/9/2015,,,,,2.57%,$           187.65,4.83,739.82,186.54,323.22,0%,294%,0.65%,2.59%,3.89%,636.80%,647.95%,20.93,1.49%,-7.16%,,2003,0.74,2.80%,1/1/1973,1973,,6,0.78%,60,606,2.26%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                     185.60,,,2/17/2015,,2/17/2015,,,,,2.60%,$           185.60,4.83,739.82,186.54,323.22,0%,299%,0.65%,2.59%,3.93%,644.94%,656.21%,20.93,1.49%,-8.17%,,2004,0.79,6.80%,1/1/1974,1974,,7,0.82%,12,618,0.45%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                     188.96,,,2/23/2015,,2/23/2015,,,,,2.56%,$           188.96,4.83,739.82,186.54,323.22,0%,292%,0.65%,2.59%,3.86%,631.69%,642.77%,20.93,1.49%,-6.51%,,2005,0.92,17.20%,1/1/1975,1975,,8,0.86%,23,641,0.87%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                     189.42,,,3/2/2015,,3/2/2015,,,,,2.55%,$           189.42,4.83,739.82,186.54,323.22,1%,291%,0.65%,2.59%,3.85%,629.91%,640.96%,20.93,1.49%,-6.28%,,2006,1.11,20.65%,1/1/1976,1976,,9,0.90%,28,669,1.06%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                     186.58,,,3/9/2015,,3/9/2015,,,,,2.59%,$           186.58,4.83,739.82,186.54,323.22,0%,297%,0.65%,2.59%,3.91%,641.02%,652.24%,20.93,1.49%,-7.69%,,2007,1.34,20.72%,1/1/1977,1977,,10,0.94%,21,690,0.79%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                     182.78,,,3/16/2015,,3/16/2015,,,,,2.64%,$           182.78,4.83,739.82,186.54,323.22,-1%,305%,0.65%,2.59%,3.99%,656.43%,667.88%,20.93,1.49%,-9.57%,,2008,1.55,15.67%,1/1/1978,1978,,11,0.98%,25,715,0.94%
