,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HBAN US,Huntington Bancshares,,,,,,,,,,,,$        17.36,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Huntington Bancshares - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,0.49%,,Huntington Bancshares - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.89%,,Huntington Bancshares - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        10.70,,,12/29/2014,,12/29/2014,,,,,2.71%,$              10.70,0.29,,,,,,,,5.79%,,,1.72,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        10.72,,,1/5/2015,,1/5/2015,,,,,2.71%,$              10.72,0.29,,,,,,,,5.78%,,,1.72,,0.00%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        10.55,,,1/12/2015,,1/12/2015,,,,,2.75%,$              10.55,0.29,,,,,,,,5.88%,,,1.72,,-1.59%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        10.23,,,1/20/2015,,1/20/2015,,,,,2.83%,$              10.23,0.29,,,,,,,,6.06%,,,1.72,,-4.57%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        10.05,,,1/26/2015,,1/26/2015,,,,,2.89%,$              10.05,0.29,,,,,,,,6.17%,,,1.72,,-6.25%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                         10.10,,,2/2/2015,,2/2/2015,,,,,2.87%,$               10.10,0.29,,,,,,,,6.14%,,,1.72,,-5.78%,,2002,0.64,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                         10.18,,,2/9/2015,,2/9/2015,,,,,2.85%,$               10.18,0.29,,,,,,,,6.09%,,,1.72,,-5.04%,,2003,0.67,4.69%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                          9.75,,,2/17/2015,,2/17/2015,,,,,2.97%,$                9.75,0.29,,,,,,,,6.36%,,,1.72,,-9.05%,,2004,0.75,11.94%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                          9.85,,,2/23/2015,,2/23/2015,,,,,2.94%,$                9.85,0.29,,,,,,,,6.29%,,,1.72,,-8.12%,,2005,0.85,12.67%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                          9.58,,,3/2/2015,,3/2/2015,,,,,3.03%,$                9.58,0.29,,,,,,,,6.47%,,,1.72,,-10.63%,,2006,1.00,18.34%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                          9.48,,,3/9/2015,,3/9/2015,,,,,3.06%,$                9.48,0.29,,,,,,,,6.54%,,,1.72,,-11.57%,,2007,1.06,6.00%,1/1/1977,1977,,10,,,,
