,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HBB US,Hamilton Beach Brands Holding,,,,,,,,,,,,$        22.31,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Hamilton Beach Brands Holding - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,,,Hamilton Beach Brands Holding - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,Hamilton Beach Brands Holding - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2017,9/26/2017,$                                                        31.00,,,9/26/2017,,12/29/2014,,,,,0.00%,$              31.00,0.00,,,,,,,,1.40%,,,0,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2017,9/27/2017,$                                                       29.35,,,10/2/2017,,1/5/2015,,,,,0.00%,$             29.35,0.00,,,,,,,,1.48%,,,0,,-5.34%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2017,9/28/2017,$                                                        31.25,,,10/9/2017,,1/12/2015,,,,,0.00%,$              31.25,0.00,,,,,,,,1.39%,,,0,,0.00%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2017,9/29/2017,$                                                        33.10,,,10/16/2017,,1/20/2015,,,,,0.00%,$              33.10,0.00,,,,,,,,1.31%,,,0,,0.00%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2017,10/2/2017,$                                                       30.23,,,10/23/2017,,1/26/2015,,,,,0.00%,$             30.23,0.00,,,,,,,,1.44%,,,0,,-8.67%,,2001,0.00,,1/1/1971,1971,,4,,,,
