,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HD US,Home Depot,,,,,,,,,,,,$    332.98,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.69%,,Home Depot - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,7.15%,,Home Depot - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,12.94%,,Home Depot - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                      131.07,,,12/29/2014,,12/29/2014,,,,,2.11%,$            131.07,2.76,,,,,,,,6.38%,,,15.88,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                     130.43,,,1/5/2015,,1/5/2015,,,,,2.12%,$           130.43,2.76,,,,,,,,6.41%,,,15.88,,-0.49%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     129.08,,,1/12/2015,,1/12/2015,,,,,2.14%,$           129.08,2.76,,,,,,,,6.48%,,,15.88,,-1.52%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                     125.40,,,1/20/2015,,1/20/2015,,,,,2.20%,$           125.40,2.76,,,,,,,,6.67%,,,15.88,,-4.33%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                     123.90,,,1/26/2015,,1/26/2015,,,,,2.23%,$           123.90,2.76,,,,,,,,6.75%,,,15.88,,-5.47%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                     125.78,,,2/2/2015,,2/2/2015,,,,,2.19%,$           125.78,2.76,,,,,,,,6.65%,,,15.88,,-4.04%,,2002,0.21,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                     127.49,,,2/9/2015,,2/9/2015,,,,,2.16%,$           127.49,2.76,,,,,,,,6.56%,,,15.88,,-2.73%,,2003,0.26,23.81%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                      121.40,,,2/17/2015,,2/17/2015,,,,,2.27%,$            121.40,2.76,,,,,,,,6.89%,,,15.88,,-7.38%,,2004,0.33,25.00%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                      119.62,,,2/23/2015,,2/23/2015,,,,,2.31%,$            119.62,2.76,,,,,,,,6.99%,,,15.88,,-8.74%,,2005,0.40,23.08%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                      119.23,,,3/2/2015,,3/2/2015,,,,,2.31%,$            119.23,2.76,,,,,,,,7.01%,,,15.88,,-9.03%,,2006,0.68,68.75%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                      119.76,,,3/9/2015,,3/9/2015,,,,,2.30%,$            119.76,2.76,,,,,,,,6.98%,,,15.88,,-8.63%,,2007,0.90,33.33%,1/1/1977,1977,,10,,,,
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                      116.46,,,3/16/2015,,3/16/2015,,,,,2.37%,$            116.46,2.76,,,,,,,,7.18%,,,15.88,,-11.15%,,2008,0.90,0.00%,1/1/1978,1978,,11,,,,
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                     120.22,,,3/23/2015,,3/23/2015,,,,,2.30%,$           120.22,2.76,,,,,,,,6.95%,,,15.88,,-8.28%,,2009,0.90,0.00%,1/1/1979,1979,,12,,,,
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                     122.76,,,3/30/2015,,3/30/2015,,,,,2.25%,$           122.76,2.76,,,,,,,,6.81%,,,15.88,,-6.34%,,2010,0.95,5.00%,1/1/1980,1980,,13,,,,
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       121.71,,,4/6/2015,,4/6/2015,,,,,2.27%,$             121.71,2.76,,,,,,,,6.87%,,,15.88,,-7.14%,,2011,1.04,10.05%,1/1/1981,1981,,14,,,,
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                     122.20,,,4/13/2015,,4/13/2015,,,,,2.26%,$           122.20,2.76,,,,,,,,6.84%,,,15.88,,-6.77%,,2012,1.16,11.54%,1/1/1982,1982,,15,,,,
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                      121.57,,,4/20/2015,,4/20/2015,,,,,2.27%,$            121.57,2.76,,,,,,,,6.88%,,,15.88,,-7.25%,,2013,1.56,34.48%,1/1/1983,1983,,16,,,,
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                     122.28,,,4/27/2015,,4/27/2015,,,,,2.26%,$           122.28,2.76,,,,,,,,6.84%,,,15.88,,-6.71%,,2014,1.88,20.51%,1/1/1984,1984,,17,,,,
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                     125.76,,,5/4/2015,,5/4/2015,,,,,2.19%,$           125.76,2.76,,,,,,,,6.65%,,,15.88,,-4.05%,,2015,2.36,25.53%,1/1/1985,1985,,18,,,,
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                      126.51,,,5/11/2015,,5/11/2015,,,,,2.18%,$            126.51,2.76,,,,,,,,6.61%,,,15.88,,-3.48%,,2016,2.76,16.95%,1/1/1986,1986,,19,,,,
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                     125.27,,,5/18/2015,,5/18/2015,,,,,2.20%,$           125.27,2.76,,,,,,,,6.67%,,,15.88,,-4.43%,,2017,3.56,28.99%,1/1/1987,1987,,20,,,,
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                     123.79,,,5/26/2015,,5/26/2015,,,,,2.23%,$           123.79,2.76,,,,,,,,6.75%,,,15.88,,-5.55%,,2018,4.12,15.73%,1/1/1988,1988,,21,,,,
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                        121.11,,,6/1/2015,,6/1/2015,,,,,2.28%,$              121.11,2.76,,,,,,,,6.90%,,,15.88,,-7.60%,,2019,5.44,32.04%,1/1/1989,1989,,22,,,,
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                      116.43,,,6/8/2015,,6/8/2015,,,,,2.37%,$            116.43,2.76,,,,,,,,7.18%,,,15.88,,-11.17%,,2020,6.00,10.29%,1/1/1990,1990,,23,,,,
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       111.85,,,6/15/2015,,6/15/2015,,,,,2.47%,$             111.85,2.76,,,,,,,,7.47%,,,15.88,,-14.66%,,2021,6.60,10.00%,1/1/1991,1991,,24,,,,
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                      113.86,,,6/22/2015,,6/22/2015,,,,,2.42%,$            113.86,2.76,,,,,,,,7.34%,,,15.88,,-13.13%,,2022,7.60,15.15%,1/1/1992,1992,,25,,,,
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                      114.33,,,6/29/2015,,6/29/2015,,,,,2.41%,$            114.33,2.76,,,,,,,,7.31%,,,15.88,,-12.77%,,2023,8.36,10.00%,1/1/1993,1993,,26,,,,
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                      113.27,,,7/6/2015,,7/6/2015,,,,,2.44%,$            113.27,2.76,,,,,,,,7.38%,,,15.88,,-13.58%,,2024,9.00,7.66%,1/1/1994,1994,,27,,,,
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                      116.32,,,7/13/2015,,7/13/2015,,,,,2.37%,$            116.32,2.76,,,,,,,,7.19%,,,15.88,,-11.25%,,2025,9.20,2.22%,1/1/1995,1995,,28,,,,
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                      119.43,,,7/20/2015,,7/20/2015,,,,,2.31%,$            119.43,2.76,,,,,,,,7.00%,,,15.88,,-8.88%,,2026,9.32,1.30%,1/1/1996,1996,,29,,,,
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                       121.21,,,7/27/2015,,7/27/2015,,,,,2.28%,$             121.21,2.76,,,,,,,,6.90%,,,15.88,,-7.52%,,,,,1/1/1997,1997,,30,,,,
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                      119.97,,,8/3/2015,,8/3/2015,,,,,2.30%,$            119.97,2.76,,,,,,,,6.97%,,,15.88,,-8.47%,,,,,1/1/1998,1998,,31,,,,
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                      121.69,,,8/10/2015,,8/10/2015,,,,,2.27%,$            121.69,2.76,,,,,,,,6.87%,,,15.88,,-7.16%,,,,,1/1/1999,1999,,32,,,,
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                     122.85,,,8/17/2015,,8/17/2015,,,,,2.25%,$           122.85,2.76,,,,,,,,6.81%,,,15.88,,-6.27%,,,,,1/1/2000,2000,,33,,,,
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                     124.53,,,8/24/2015,,8/24/2015,,,,,2.22%,$           124.53,2.76,,,,,,,,6.71%,,,15.88,,-4.99%,,,,,1/1/2001,2001,,34,,,,
