,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HEN3 GR,Henkel AG & Co KGaA,,,,,,,,,,15%,87%,$       74.68,$           63.10,$           84.19,$           128.90,$        139.90,3.22%,1.32%,2.16%,3.22%,29.79%,29.79%,119%,,,,,,,NO,,,3.11%,1.22%,1.88%,0.03%,63
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Henkel AG & Co KGaA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.93%,11/10/2017,,,,,,,,,,$           84.19,13%,2.48%,$        139.90,$          66.90,$             57.54,$           50.14,1.20%,2.93%,2.20%,1.44%,-42.06%,-37.98%,-7%,,,,5Y CAGR,0.00%,,Henkel AG & Co KGaA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.33%,,Henkel AG & Co KGaA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Henkel AG & Co KGaA - Rating: 15% - Upside: 87%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       98.98,,,12/29/2014,,12/29/2014,,,,,1.49%,€               98.98,1.47,111.16,50.14,66.90,80%,12%,1.32%,2.93%,1.87%,-24.55%,-17.75%,6.73,2.20%,0.00%,,1997,0.00,-,15,,,0,1.22%,35,35,1.31%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         98.68,,,1/5/2015,,1/5/2015,,,,,1.49%,€               98.68,1.47,111.16,50.14,66.90,80%,13%,1.32%,2.93%,1.87%,-24.32%,-17.50%,6.73,2.20%,-0.30%,,1998,0.00,,87,,,1,1.25%,23,58,0.86%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                          98.18,,,1/12/2015,,1/12/2015,,,,,1.50%,€                98.18,1.47,111.16,50.14,66.90,79%,13%,1.32%,2.93%,1.88%,-23.94%,-17.08%,6.73,2.20%,-0.81%,,1999,0.00,,,,,2,1.28%,51,109,1.90%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                          96.01,,,1/19/2015,,1/20/2015,,,,,1.53%,€                96.01,1.47,111.16,50.14,66.90,75%,16%,1.32%,2.93%,1.93%,-22.22%,-15.21%,6.73,2.20%,-3.00%,,2000,0.00,,1/1/1970,1970,,3,1.31%,67,176,2.50%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         95.30,,,1/26/2015,,1/26/2015,,,,,1.54%,€               95.30,1.47,111.16,50.14,66.90,74%,17%,1.32%,2.93%,1.94%,-21.64%,-14.58%,6.73,2.20%,-3.72%,,2001,0.00,,1/1/1971,1971,,4,1.34%,77,253,2.87%
