,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HER IM,Hera SpA,,,,,,,,,,71%,13%,$          3.92,$             2.65,$             3.66,$                4.46,$             4.44,5.99%,2.82%,3.54%,6.60%,107.09%,126.88%,164%,,,,,,,NO,,,5.62%,2.36%,3.26%,0.05%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Hera SpA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.72%,11/10/2017,,,,,,,,,,$             3.66,-7%,3.19%,$             4.44,$             2.63,$                 1.89,$               1.91,2.24%,4.72%,3.42%,2.80%,-12.06%,-12.06%,-31%,,,,5Y CAGR,2.59%,,Hera SpA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.34%,,Hera SpA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Hera SpA - Rating: 71% - Upside: 13%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                          2.44,,,12/29/2014,,12/29/2014,,,,,3.69%,€                  2.44,0.09,3.19,1.91,2.63,41%,31%,2.82%,4.72%,5.13%,61.07%,76.46%,0.375,3.42%,0.00%,,1997,0.00,-,71,,,0,2.36%,7,7,0.26%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                            2.45,,,1/5/2015,,1/5/2015,,,,,3.67%,€                  2.45,0.09,3.19,1.91,2.63,42%,30%,2.82%,4.72%,5.10%,60.19%,75.50%,0.375,3.42%,0.00%,,1998,0.00,,13,,,1,2.41%,8,15,0.30%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                            2.44,,,1/12/2015,,1/12/2015,,,,,3.69%,€                  2.44,0.09,3.19,1.91,2.63,41%,31%,2.82%,4.72%,5.13%,61.09%,76.49%,0.375,3.42%,-0.56%,,1999,0.00,,,,,2,2.46%,9,24,0.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                             2.41,,,1/19/2015,,1/20/2015,,,,,3.73%,€                   2.41,0.09,3.19,1.91,2.63,40%,32%,2.82%,4.72%,5.18%,62.50%,78.03%,0.375,3.42%,-1.42%,,2000,0.00,,1/1/1970,1970,,3,2.51%,16,40,0.60%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                            2.44,,,1/26/2015,,1/26/2015,,,,,3.69%,€                  2.44,0.09,3.19,1.91,2.63,42%,31%,2.82%,4.72%,5.12%,60.70%,76.06%,0.375,3.42%,-0.32%,,2001,0.00,,1/1/1971,1971,,4,2.56%,29,69,1.08%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                            2.46,,,2/2/2015,,2/2/2015,,,,,3.66%,€                  2.46,0.09,3.19,1.91,2.63,43%,30%,2.82%,4.72%,5.09%,59.77%,75.03%,0.375,3.42%,0.00%,,2002,0.00,,1/1/1972,1972,,5,2.61%,21,90,0.78%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                            2.52,,,2/9/2015,,2/9/2015,,,,,3.56%,€                  2.52,0.09,3.19,1.91,2.63,48%,26%,2.82%,4.72%,4.95%,55.42%,70.28%,0.375,3.42%,0.00%,,2003,0.00,,1/1/1973,1973,,6,2.66%,11,101,0.41%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                            2.57,,,2/16/2015,,2/17/2015,,,,,3.50%,€                  2.57,0.09,3.19,1.91,2.63,52%,24%,2.82%,4.72%,4.87%,52.74%,67.33%,0.375,3.42%,0.00%,,2004,0.05,,1/1/1974,1974,,7,2.71%,5,106,0.19%
