,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HEXAB SS,Hexagon AB,,,,,,,,,,7%,81%,$       83.36,$          78.20,$          95.94,$           125.23,$         150.61,2.17%,0.90%,1.40%,4.33%,165.80%,175.07%,141%,,,,,,,NO,,,1.87%,0.77%,1.11%,0.02%,55
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Hexagon AB - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.74%,11/10/2017,,,,,,,,,,$          95.94,15%,1.63%,$         150.61,$           40.31,$              31.36,$          32.85,0.75%,1.74%,1.42%,1.09%,-33.43%,-33.43%,-21%,,,,5Y CAGR,7.58%,,Hexagon AB - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,9.06%,,Hexagon AB - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Hexagon AB - Rating: 7% - Upside: 81%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       36.05,,,12/29/2014,,12/29/2014,,,,,1.58%,36.05 kr,0.57,63.27,32.85,40.31,11%,76%,0.90%,1.74%,3.77%,131.22%,139.29%,2.906673,1.42%,0.00%,,1997,0.00,-,7,,,0,0.77%,25,25,0.94%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,35.76 kr,,,1/5/2015,,1/5/2015,,,,,1.60%,35.76 kr,0.57,63.27,32.85,40.31,10%,77%,0.90%,1.74%,3.80%,133.13%,141.26%,2.906673,1.42%,-0.82%,,1998,0.00,,81,,,1,0.79%,15,40,0.56%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,34.91 kr,,,1/12/2015,,1/12/2015,,,,,1.64%,34.91 kr,0.57,63.27,32.85,40.31,7%,81%,0.90%,1.74%,3.89%,138.81%,147.14%,2.906673,1.42%,-3.18%,,1999,0.00,,,,,2,0.81%,20,60,0.75%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,34.39 kr,,,1/19/2015,,1/20/2015,,,,,1.66%,34.39 kr,0.57,63.27,32.85,40.31,5%,84%,0.90%,1.74%,3.95%,142.42%,150.88%,2.906673,1.42%,-4.62%,,2000,0.00,,1/1/1970,1970,,3,0.83%,22,82,0.83%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,33.91 kr,,,1/26/2015,,1/26/2015,,,,,1.68%,33.91 kr,0.57,63.27,32.85,40.31,3%,87%,0.90%,1.74%,4.01%,145.80%,154.37%,2.906673,1.42%,-5.93%,,2001,0.00,,1/1/1971,1971,,4,0.85%,20,102,0.75%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,34.04 kr,,,2/2/2015,,2/2/2015,,,,,1.68%,34.04 kr,0.57,63.27,32.85,40.31,4%,86%,0.90%,1.74%,3.99%,144.86%,153.40%,2.906673,1.42%,-5.57%,,2002,0.08,,1/1/1972,1972,,5,0.87%,11,113,0.41%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,33.81 kr,,,2/9/2015,,2/9/2015,,,,,1.69%,33.81 kr,0.57,63.27,32.85,40.31,3%,87%,0.90%,1.74%,4.02%,146.57%,155.17%,2.906673,1.42%,-6.23%,,2003,0.07,-8.00%,1/1/1973,1973,,6,0.89%,12,125,0.45%
