,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HNR1 GR,Hannover Rueck SE,,,,,,,,,,,,$    253.20,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Hannover Rueck SE - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,2.13%,,Hannover Rueck SE - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.40%,,Hannover Rueck SE - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     102.40,,,12/29/2014,,12/29/2014,,,,,3.17%,€             102.40,3.25,,,,,,,,4.88%,,,14,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                        101.50,,,1/5/2015,,1/5/2015,,,,,3.20%,€              101.50,3.25,,,,,,,,4.93%,,,14,,-0.88%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                       102.25,,,1/12/2015,,1/12/2015,,,,,3.18%,€             102.25,3.25,,,,,,,,4.89%,,,14,,-0.15%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         99.50,,,1/19/2015,,1/20/2015,,,,,3.27%,€               99.50,3.25,,,,,,,,5.03%,,,14,,-2.83%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                       100.30,,,1/26/2015,,1/26/2015,,,,,3.24%,€             100.30,3.25,,,,,,,,4.99%,,,14,,-2.05%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         97.63,,,2/2/2015,,2/2/2015,,,,,3.33%,€               97.63,3.25,,,,,,,,5.12%,,,14,,-4.66%,,2002,0.00,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                       100.50,,,2/9/2015,,2/9/2015,,,,,3.23%,€             100.50,3.25,,,,,,,,4.98%,,,14,,-1.86%,,2003,0.85,,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                        101.25,,,2/16/2015,,2/17/2015,,,,,3.21%,€              101.25,3.25,,,,,,,,4.94%,,,14,,-1.12%,,2004,0.95,11.76%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         97.62,,,2/23/2015,,2/23/2015,,,,,3.33%,€               97.62,3.25,,,,,,,,5.12%,,,14,,-4.67%,,2005,1.00,5.26%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                         96.97,,,3/2/2015,,3/2/2015,,,,,3.35%,€               96.97,3.25,,,,,,,,5.16%,,,14,,-5.30%,,2006,0.00,-100.00%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                         94.98,,,3/9/2015,,3/9/2015,,,,,3.42%,€               94.98,3.25,,,,,,,,5.26%,,,14,,-7.25%,,2007,1.60,,1/1/1977,1977,,10,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                         97.20,,,3/16/2015,,3/16/2015,,,,,3.34%,€               97.20,3.25,,,,,,,,5.14%,,,14,,-5.08%,,2008,1.80,12.50%,1/1/1978,1978,,11,,,,
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                         93.74,,,3/23/2015,,3/23/2015,,,,,3.47%,€               93.74,3.25,,,,,,,,5.33%,,,14,,-8.46%,,2009,0.00,-100.00%,1/1/1979,1979,,12,,,,
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                         93.35,,,3/30/2015,,3/30/2015,,,,,3.48%,€               93.35,3.25,,,,,,,,5.36%,,,14,,-8.84%,,2010,2.10,,1/1/1980,1980,,13,,,,
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                          95.21,,,4/7/2015,,4/6/2015,,,,,3.41%,€                95.21,3.25,,,,,,,,5.25%,,,14,,-7.02%,,2011,2.30,9.52%,1/1/1981,1981,,14,,,,
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                         95.93,,,4/13/2015,,4/13/2015,,,,,3.39%,€               95.93,3.25,,,,,,,,5.21%,,,14,,-6.32%,,2012,2.10,-8.70%,1/1/1982,1982,,15,,,,
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                         95.04,,,4/20/2015,,4/20/2015,,,,,3.42%,€               95.04,3.25,,,,,,,,5.26%,,,14,,-7.19%,,2013,3.00,42.86%,1/1/1983,1983,,16,,,,
,,,,,,,,,,,,,,,,,,2016,1/27/2016,€                                                         95.49,,,4/27/2015,,4/27/2015,,,,,3.40%,€               95.49,3.25,,,,,,,,5.24%,,,14,,-6.75%,,2014,3.00,0.00%,1/1/1984,1984,,17,,,,
