,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HON US,Honeywell International Inc,,,,,,,,,,100%,0%,$     243.15,$         169.17,$        200.13,$           260.01,$       243.39,3.54%,1.71%,2.08%,4.61%,168.72%,181.54%,122%,,,,,,,NO,,,2.80%,1.64%,1.16%,0.02%,58
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Honeywell International Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.46%,11/10/2017,,,,,,,,,,$        200.13,-18%,1.71%,$       243.39,$         117.58,$             90.49,$          99.39,1.60%,2.46%,2.08%,1.60%,-6.48%,-6.48%,-69%,,,,5Y CAGR,2.04%,,Honeywell International Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.46%,,Honeywell International Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Honeywell International Inc - Rating: 100% - Upside: 0%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       96.44,,,12/29/2014,,12/29/2014,,,,,2.54%,$             96.44,2.45,143.00,99.39,117.58,-7%,48%,1.71%,2.46%,4.32%,152.13%,164.17%,11.605,2.08%,0.00%,,1997,0.00,-,100,,,0,1.64%,36,36,1.36%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       97.23,,,1/5/2015,,1/5/2015,,,,,2.52%,$             97.23,2.45,143.00,99.39,117.58,-5%,47%,1.71%,2.46%,4.29%,150.08%,162.02%,11.605,2.08%,0.00%,,1998,0.00,,0,,,1,1.66%,34,70,1.28%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        96.13,,,1/12/2015,,1/12/2015,,,,,2.55%,$              96.13,2.45,143.00,99.39,117.58,-7%,49%,1.71%,2.46%,4.34%,152.95%,165.02%,11.605,2.08%,-1.13%,,1999,0.00,,,,,2,1.68%,21,91,0.79%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       93.30,,,1/20/2015,,1/20/2015,,,,,2.63%,$             93.30,2.45,143.00,99.39,117.58,-14%,53%,1.71%,2.46%,4.47%,160.62%,173.06%,11.605,2.08%,-4.04%,,2000,0.00,,1/1/1970,1970,,3,1.70%,42,133,1.58%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       92.54,,,1/26/2015,,1/26/2015,,,,,2.65%,$             92.54,2.45,143.00,99.39,117.58,-16%,55%,1.71%,2.46%,4.51%,162.74%,175.28%,11.605,2.08%,-4.82%,,2001,0.00,,1/1/1971,1971,,4,1.72%,37,170,1.39%
