,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HUH1V FH,Huhtamaki Oyj,,,,,,,,,,5%,77%,$       30.26,$          29.02,$          39.24,$             46.40,$          53.50,3.85%,1.87%,2.59%,4.32%,30.60%,37.68%,143%,,,,,,,NO,,,3.78%,1.60%,2.18%,0.03%,73
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Huhtamaki Oyj - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.45%,11/10/2017,,,,,,,,,,$          39.24,30%,3.30%,$          53.50,$          25.90,$              23.17,$            19.15,1.56%,3.45%,2.55%,2.16%,-34.78%,-34.78%,-12%,,,,5Y CAGR,1.68%,,Huhtamaki Oyj - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.24%,,Huhtamaki Oyj - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Huhtamaki Oyj - Rating: 5% - Upside: 77%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       32.83,,,12/29/2014,,12/29/2014,,,,,2.01%,€               32.83,0.66,35.31,19.15,25.90,85%,8%,1.87%,3.45%,3.05%,-7.83%,1.40%,3.03,2.55%,0.00%,,1997,0.00,-,5,,,0,1.60%,13,13,0.49%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         32.80,,,1/5/2015,,1/5/2015,,,,,2.01%,€               32.80,0.66,35.31,19.15,25.90,84%,8%,1.87%,3.45%,3.05%,-7.74%,1.49%,3.03,2.55%,-0.09%,,1998,0.00,,77,,,1,1.63%,9,22,0.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                          32.18,,,1/12/2015,,1/12/2015,,,,,2.05%,€                32.18,0.66,35.31,19.15,25.90,81%,10%,1.87%,3.45%,3.11%,-5.97%,3.45%,3.03,2.55%,-1.98%,,1999,0.00,,,,,2,1.66%,15,37,0.57%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         32.22,,,1/19/2015,,1/20/2015,,,,,2.05%,€               32.22,0.66,35.31,19.15,25.90,81%,10%,1.87%,3.45%,3.10%,-6.08%,3.32%,3.03,2.55%,-1.86%,,2000,0.00,,1/1/1970,1970,,3,1.69%,20,57,0.75%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         32.80,,,1/26/2015,,1/26/2015,,,,,2.01%,€               32.80,0.66,35.31,19.15,25.90,84%,8%,1.87%,3.45%,3.05%,-7.74%,1.49%,3.03,2.55%,-0.09%,,2001,0.00,,1/1/1971,1971,,4,1.72%,12,69,0.45%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         33.47,,,2/2/2015,,2/2/2015,,,,,1.97%,€               33.47,0.66,35.31,19.15,25.90,89%,5%,1.87%,3.45%,2.99%,-9.59%,-0.54%,3.03,2.55%,0.00%,,2002,1.25,,1/1/1972,1972,,5,1.75%,15,84,0.57%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         33.52,,,2/9/2015,,2/9/2015,,,,,1.97%,€               33.52,0.66,35.31,19.15,25.90,89%,5%,1.87%,3.45%,2.98%,-9.73%,-0.69%,3.03,2.55%,0.00%,,2003,0.38,-69.60%,1/1/1973,1973,,6,1.78%,11,95,0.41%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         32.27,,,2/16/2015,,2/17/2015,,,,,2.05%,€               32.27,0.66,35.31,19.15,25.90,81%,9%,1.87%,3.45%,3.10%,-6.23%,3.16%,3.03,2.55%,-3.73%,,2004,0.38,0.00%,1/1/1974,1974,,7,1.81%,3,98,0.11%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                          31.25,,,2/23/2015,,2/23/2015,,,,,2.11%,€                31.25,0.66,35.31,19.15,25.90,75%,13%,1.87%,3.45%,3.20%,-3.17%,6.53%,3.03,2.55%,-6.77%,,2005,0.38,0.00%,1/1/1975,1975,,8,1.84%,21,119,0.79%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                           31.17,,,3/2/2015,,3/2/2015,,,,,2.12%,€                 31.17,0.66,35.31,19.15,25.90,74%,13%,1.87%,3.45%,3.21%,-2.92%,6.80%,3.03,2.55%,-7.01%,,2006,0.38,0.00%,1/1/1976,1976,,9,1.87%,22,141,0.83%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                          31.65,,,3/9/2015,,3/9/2015,,,,,2.09%,€                31.65,0.66,35.31,19.15,25.90,77%,12%,1.87%,3.45%,3.16%,-4.39%,5.18%,3.03,2.55%,-5.58%,,2007,0.42,10.53%,1/1/1977,1977,,10,1.90%,18,159,0.68%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                         30.59,,,3/16/2015,,3/16/2015,,,,,2.16%,€               30.59,0.66,35.31,19.15,25.90,71%,15%,1.87%,3.45%,3.27%,-1.08%,8.83%,3.03,2.55%,-8.74%,,2008,0.42,0.00%,1/1/1978,1978,,11,1.93%,22,181,0.83%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                           31.01,,,3/23/2015,,3/23/2015,,,,,2.13%,€                 31.01,0.66,35.31,19.15,25.90,73%,14%,1.87%,3.45%,3.22%,-2.42%,7.35%,3.03,2.55%,-7.49%,,2009,0.34,-19.05%,1/1/1979,1979,,12,1.96%,27,208,1.02%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                         32.06,,,3/30/2015,,3/30/2015,,,,,2.06%,€               32.06,0.66,35.31,19.15,25.90,80%,10%,1.87%,3.45%,3.12%,-5.61%,3.84%,3.03,2.55%,-4.36%,,2010,0.38,11.76%,1/1/1980,1980,,13,1.99%,55,263,2.07%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                         32.40,,,4/7/2015,,4/6/2015,,,,,2.04%,€               32.40,0.66,35.31,19.15,25.90,82%,9%,1.87%,3.45%,3.09%,-6.60%,2.75%,3.03,2.55%,-3.34%,,2011,0.44,15.79%,1/1/1981,1981,,14,2.02%,68,331,2.56%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                          32.21,,,4/13/2015,,4/13/2015,,,,,2.05%,€                32.21,0.66,35.31,19.15,25.90,81%,10%,1.87%,3.45%,3.10%,-6.05%,3.35%,3.03,2.55%,-3.91%,,2012,0.46,4.55%,1/1/1982,1982,,15,2.05%,86,417,3.24%
