,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,IBM US,IBM,,,,,,,,,,58%,31%,$      214.19,$        124.00,$        156.30,$          329.23,$       280.77,6.87%,2.39%,4.16%,7.00%,126.01%,126.01%,131%,,,,,,,NO,,,6.03%,2.17%,3.86%,0.05%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.45%,,IBM - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.42%,11/10/2017,,,,,,,,,,$        156.30,-27%,3.14%,$       280.77,$        127.92,$             94.77,$         101.48,2.04%,5.42%,4.30%,2.01%,-34.94%,-34.94%,-17%,,,,5Y CAGR,0.51%,,IBM - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.02%,,IBM - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,IBM - Rating: 58% - Upside: 31%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     135.95,,,12/29/2014,,12/29/2014,,,,,4.05%,$           135.95,5.50,229.80,101.48,127.92,27%,69%,2.39%,5.42%,4.88%,57.55%,75.23%,24.04,4.30%,0.00%,,1997,0.00,-,58,,,0,2.17%,33,33,1.24%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                     135.85,,,1/5/2015,,1/5/2015,,,,,4.05%,$           135.85,5.50,229.80,101.48,127.92,27%,69%,2.39%,5.42%,4.88%,57.67%,75.36%,24.04,4.30%,-0.07%,,1998,0.00,,31,,,1,2.22%,22,55,0.83%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                      135.17,,,1/12/2015,,1/12/2015,,,,,4.07%,$            135.17,5.50,229.80,101.48,127.92,26%,70%,2.39%,5.42%,4.90%,58.46%,76.24%,24.04,4.30%,-0.57%,,1999,0.00,,,,,2,2.27%,24,79,0.90%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                     132.86,,,1/20/2015,,1/20/2015,,,,,4.14%,$           132.86,5.50,229.80,101.48,127.92,24%,73%,2.39%,5.42%,4.99%,61.21%,79.31%,24.04,4.30%,-2.27%,,2000,0.00,,1/1/1970,1970,,3,2.32%,22,101,0.83%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                      131.63,,,1/26/2015,,1/26/2015,,,,,4.18%,$            131.63,5.50,229.80,101.48,127.92,23%,75%,2.39%,5.42%,5.04%,62.72%,80.98%,24.04,4.30%,-3.18%,,2001,0.00,,1/1/1971,1971,,4,2.37%,23,124,0.87%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                     133.23,,,2/2/2015,,2/2/2015,,,,,4.13%,$           133.23,5.50,229.80,101.48,127.92,25%,72%,2.39%,5.42%,4.98%,60.77%,78.81%,24.04,4.30%,-2.00%,,2002,0.59,,1/1/1972,1972,,5,2.42%,11,135,0.41%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                     132.90,,,2/9/2015,,2/9/2015,,,,,4.14%,$           132.90,5.50,229.80,101.48,127.92,24%,73%,2.39%,5.42%,4.99%,61.17%,79.26%,24.04,4.30%,-2.24%,,2003,0.63,6.78%,1/1/1973,1973,,6,2.47%,10,145,0.38%
