,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,IFC CN,Intact Financial Corp,,,,,,,,,,107%,-3%,$    293.46,$        153.64,$        195.53,$           316.65,$       284.25,3.11%,1.55%,2.24%,5.61%,274.02%,287.69%,125%,,,,,,,NO,,,3.01%,1.42%,1.59%,0.02%,80
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Intact Financial Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.86%,11/10/2017,,,,,,,,,,$        195.53,-33%,1.50%,$       284.25,$         103.10,$             78.46,$            81.01,1.39%,2.86%,2.25%,1.39%,-7.32%,-7.32%,-9%,,,,5Y CAGR,5.29%,,Intact Financial Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.61%,,Intact Financial Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Intact Financial Corp - Rating: 107% - Upside: -3%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       87.74,,,12/29/2014,,12/29/2014,,,,,2.64%,$             87.74,2.32,149.88,81.01,103.10,10%,71%,1.55%,2.86%,5.01%,234.47%,246.68%,10.72,2.25%,0.00%,,1997,0.00,-,107,,,0,1.42%,19,19,0.72%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       88.25,,,1/5/2015,,1/5/2015,,,,,2.63%,$             88.25,2.32,149.88,81.01,103.10,11%,70%,1.55%,2.86%,4.99%,232.53%,244.68%,10.72,2.25%,0.00%,,1998,0.00,,-3,,,1,1.44%,24,43,0.91%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       87.00,,,1/12/2015,,1/12/2015,,,,,2.67%,$             87.00,2.32,149.88,81.01,103.10,9%,72%,1.55%,2.86%,5.06%,237.31%,249.63%,10.72,2.25%,-1.42%,,1999,0.00,,,,,2,1.46%,12,55,0.45%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       86.37,,,1/19/2015,,1/20/2015,,,,,2.69%,$             86.37,2.32,149.88,81.01,103.10,8%,74%,1.55%,2.86%,5.09%,239.77%,252.18%,10.72,2.25%,-2.13%,,2000,0.00,,1/1/1970,1970,,3,1.48%,13,68,0.49%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       86.94,,,1/26/2015,,1/26/2015,,,,,2.67%,$             86.94,2.32,149.88,81.01,103.10,9%,72%,1.55%,2.86%,5.06%,237.54%,249.87%,10.72,2.25%,-1.48%,,2001,0.00,,1/1/1971,1971,,4,1.50%,15,83,0.57%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       88.09,,,2/2/2015,,2/2/2015,,,,,2.63%,$             88.09,2.32,149.88,81.01,103.10,10%,70%,1.55%,2.86%,4.99%,233.14%,245.31%,10.72,2.25%,-0.18%,,2002,0.00,,1/1/1972,1972,,5,1.52%,17,100,0.64%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       88.06,,,2/9/2015,,2/9/2015,,,,,2.63%,$             88.06,2.32,149.88,81.01,103.10,10%,70%,1.55%,2.86%,5.00%,233.25%,245.42%,10.72,2.25%,-0.22%,,2003,0.00,,1/1/1973,1973,,6,1.54%,35,135,1.32%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       87.40,,,2/17/2015,,2/17/2015,,,,,2.65%,$             87.40,2.32,149.88,81.01,103.10,9%,71%,1.55%,2.86%,5.03%,235.77%,248.03%,10.72,2.25%,-0.96%,,2004,0.00,,1/1/1974,1974,,7,1.56%,35,170,1.32%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       85.47,,,2/23/2015,,2/23/2015,,,,,2.71%,$             85.47,2.32,149.88,81.01,103.10,6%,75%,1.55%,2.86%,5.15%,243.35%,255.89%,10.72,2.25%,-3.15%,,2005,0.65,,1/1/1975,1975,,8,1.58%,38,208,1.44%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       84.90,,,3/2/2015,,3/2/2015,,,,,2.73%,$             84.90,2.32,149.88,81.01,103.10,6%,77%,1.55%,2.86%,5.18%,245.65%,258.28%,10.72,2.25%,-3.80%,,2006,1.00,53.85%,1/1/1976,1976,,9,1.60%,16,224,0.60%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                       83.38,,,3/9/2015,,3/9/2015,,,,,2.78%,$             83.38,2.32,149.88,81.01,103.10,3%,80%,1.55%,2.86%,5.28%,251.95%,264.81%,10.72,2.25%,-5.52%,,2007,1.08,8.00%,1/1/1977,1977,,10,1.62%,34,258,1.28%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       84.92,,,3/16/2015,,3/16/2015,,,,,2.73%,$             84.92,2.32,149.88,81.01,103.10,6%,76%,1.55%,2.86%,5.18%,245.57%,258.20%,10.72,2.25%,-3.77%,,2008,1.24,14.81%,1/1/1978,1978,,11,1.64%,36,294,1.36%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       84.28,,,3/23/2015,,3/23/2015,,,,,2.75%,$             84.28,2.32,149.88,81.01,103.10,5%,78%,1.55%,2.86%,5.22%,248.20%,260.92%,10.72,2.25%,-4.50%,,2009,1.28,3.23%,1/1/1979,1979,,12,1.66%,34,328,1.28%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       82.59,,,3/30/2015,,3/30/2015,,,,,2.81%,$             82.59,2.32,149.88,81.01,103.10,2%,81%,1.55%,2.86%,5.33%,255.32%,268.30%,10.72,2.25%,-6.41%,,2010,1.36,6.25%,1/1/1980,1980,,13,1.68%,35,363,1.32%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       84.56,,,4/6/2015,,4/6/2015,,,,,2.74%,$             84.56,2.32,149.88,81.01,103.10,5%,77%,1.55%,2.86%,5.20%,247.04%,259.72%,10.72,2.25%,-4.18%,,2011,1.48,8.82%,1/1/1981,1981,,14,1.70%,30,393,1.13%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        84.12,,,4/13/2015,,4/13/2015,,,,,2.76%,$              84.12,2.32,149.88,81.01,103.10,5%,78%,1.55%,2.86%,5.23%,248.86%,261.60%,10.72,2.25%,-4.68%,,2012,1.60,8.11%,1/1/1982,1982,,15,1.72%,36,429,1.36%
