,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,IIP-U CN,InterRent Real Estate Investme,,,,,,,,,,30%,45%,$        13.54,$           10.98,$           13.82,$              18.82,$           19.62,3.75%,1.85%,2.53%,4.12%,53.51%,62.75%,126%,,,,,,,NO,,,3.71%,1.78%,1.93%,0.03%,64
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,InterRent Real Estate Investme - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$           13.82,2%,2.68%,$           19.62,$             9.42,$                8.82,$             7.48,1.66%,3.31%,2.63%,1.93%,-28.06%,-28.06%,-15%,,,,5Y CAGR,2.03%,,InterRent Real Estate Investme - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.53%,,InterRent Real Estate Investme - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,InterRent Real Estate Investme - Rating: 30% - Upside: 45%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2017,12/1/2017,$                                                          8.94,,,12/1/2017,,12/29/2014,,,,,2.77%,$                8.94,0.25,13.38,7.48,9.42,25%,50%,1.85%,3.31%,4.06%,51.45%,60.56%,0.81417,2.63%,0.00%,,1997,0.00,-,30,,,0,1.78%,36,36,1.67%
,,,,,,,,,,,,,,,,,,2017,12/4/2017,$                                                          8.87,,,12/4/2017,,1/5/2015,,,,,2.79%,$                8.87,0.25,13.38,7.48,9.42,24%,51%,1.85%,3.31%,4.09%,52.65%,61.83%,0.81417,2.63%,-0.78%,,1998,0.00,,45,,,1,1.81%,38,74,1.76%
,,,,,,,,,,,,,,,,,,2017,12/5/2017,$                                                          8.82,,,12/11/2017,,1/12/2015,,,,,2.81%,$                8.82,0.25,13.38,7.48,9.42,23%,52%,1.85%,3.31%,4.12%,53.51%,62.75%,0.81417,2.63%,-1.34%,,1999,0.00,,,,,2,1.84%,62,136,2.87%
,,,,,,,,,,,,,,,,,,2017,12/6/2017,$                                                          8.92,,,12/18/2017,,1/20/2015,,,,,2.77%,$                8.92,0.25,13.38,7.48,9.42,24%,50%,1.85%,3.31%,4.07%,51.79%,60.92%,0.81417,2.63%,-0.22%,,2000,0.00,,1/1/1970,1970,,3,1.87%,53,189,2.46%
,,,,,,,,,,,,,,,,,,2017,12/7/2017,$                                                          9.02,,,12/27/2017,,1/26/2015,,,,,2.74%,$                9.02,0.25,13.38,7.48,9.42,26%,48%,1.85%,3.31%,4.02%,50.11%,59.14%,0.81417,2.63%,0.00%,,2001,0.00,,1/1/1971,1971,,4,1.90%,36,225,1.67%
