,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,INTU US,Intuit Inc,,,,,,,,,,,,$    296.33,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,10.06%,,Intuit Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,12.01%,,Intuit Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,13.29%,,Intuit Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       94.38,,,12/29/2014,,12/29/2014,,,,,1.31%,$             94.38,1.24,,,,,,,,3.43%,,,6.23,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       95.95,,,1/5/2015,,1/5/2015,,,,,1.29%,$             95.95,1.24,,,,,,,,3.38%,,,6.23,,0.00%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       96.29,,,1/12/2015,,1/12/2015,,,,,1.29%,$             96.29,1.24,,,,,,,,3.36%,,,6.23,,0.00%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       94.44,,,1/20/2015,,1/20/2015,,,,,1.31%,$             94.44,1.24,,,,,,,,3.43%,,,6.23,,-1.92%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        93.14,,,1/26/2015,,1/26/2015,,,,,1.33%,$              93.14,1.24,,,,,,,,3.48%,,,6.23,,-3.27%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       94.00,,,2/2/2015,,2/2/2015,,,,,1.32%,$             94.00,1.24,,,,,,,,3.45%,,,6.23,,-2.38%,,2002,0.00,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       94.85,,,2/9/2015,,2/9/2015,,,,,1.31%,$             94.85,1.24,,,,,,,,3.42%,,,6.23,,-1.50%,,2003,0.00,,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        91.70,,,2/17/2015,,2/17/2015,,,,,1.35%,$              91.70,1.24,,,,,,,,3.53%,,,6.23,,-4.77%,,2004,0.00,,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       94.32,,,2/23/2015,,2/23/2015,,,,,1.31%,$             94.32,1.24,,,,,,,,3.44%,,,6.23,,-2.05%,,2005,0.00,,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        91.49,,,3/2/2015,,3/2/2015,,,,,1.36%,$              91.49,1.24,,,,,,,,3.54%,,,6.23,,-4.98%,,2006,0.00,,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       90.88,,,3/9/2015,,3/9/2015,,,,,1.36%,$             90.88,1.24,,,,,,,,3.57%,,,6.23,,-5.62%,,2007,0.00,,1/1/1977,1977,,10,,,,
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        91.99,,,3/16/2015,,3/16/2015,,,,,1.35%,$              91.99,1.24,,,,,,,,3.52%,,,6.23,,-4.47%,,2008,0.00,,1/1/1978,1978,,11,,,,
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        91.95,,,3/23/2015,,3/23/2015,,,,,1.35%,$              91.95,1.24,,,,,,,,3.52%,,,6.23,,-4.51%,,2009,0.00,,1/1/1979,1979,,12,,,,
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        93.61,,,3/30/2015,,3/30/2015,,,,,1.32%,$              93.61,1.24,,,,,,,,3.46%,,,6.23,,-2.78%,,2010,0.00,,1/1/1980,1980,,13,,,,
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        91.73,,,4/6/2015,,4/6/2015,,,,,1.35%,$              91.73,1.24,,,,,,,,3.53%,,,6.23,,-4.74%,,2011,0.15,,1/1/1981,1981,,14,,,,
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       92.64,,,4/13/2015,,4/13/2015,,,,,1.34%,$             92.64,1.24,,,,,,,,3.50%,,,6.23,,-3.79%,,2012,0.62,313.33%,1/1/1982,1982,,15,,,,
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       90.77,,,4/20/2015,,4/20/2015,,,,,1.37%,$             90.77,1.24,,,,,,,,3.57%,,,6.23,,-5.73%,,2013,0.70,12.90%,1/1/1983,1983,,16,,,,
