,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,IP US,International Paper,,,,,,,,,,47%,29%,$        42.16,$           31.34,$          47.23,$              61.62,$          60.42,8.18%,3.39%,4.46%,7.38%,68.21%,68.21%,124%,,,,,,,NO,,,7.10%,3.15%,3.95%,0.05%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,International Paper - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.90%,11/10/2017,,,,,,,,,,$          42.62,1%,4.39%,$          54.52,$           41.06,$             25.06,$           30.19,3.08%,5.90%,4.34%,3.00%,-31.58%,-31.13%,-38%,,,,5Y CAGR,-1.55%,,International Paper - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,0.37%,,International Paper - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,International Paper - Rating: 47% - Upside: 29%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       35.67,,,12/29/2014,,12/29/2014,,,,,5.00%,$             35.67,1.78,52.53,30.19,41.06,25%,47%,3.39%,5.90%,5.19%,18.20%,39.45%,7.5825,4.34%,0.00%,,1997,0.00,-,47,,,0,3.15%,11,11,0.41%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       35.97,,,1/5/2015,,1/5/2015,,,,,4.96%,$             35.97,1.78,52.53,30.19,41.06,26%,46%,3.39%,5.90%,5.14%,17.20%,38.28%,7.5825,4.34%,0.00%,,1998,0.00,,29,,,1,3.20%,17,28,0.64%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       35.40,,,1/12/2015,,1/12/2015,,,,,5.03%,$             35.40,1.78,52.53,30.19,41.06,23%,48%,3.39%,5.90%,5.23%,19.08%,40.50%,7.5825,4.34%,-1.58%,,1999,0.00,,,,,2,3.25%,24,52,0.90%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       34.36,,,1/20/2015,,1/20/2015,,,,,5.19%,$             34.36,1.78,52.53,30.19,41.06,19%,53%,3.39%,5.90%,5.38%,22.69%,44.76%,7.5825,4.34%,-4.48%,,2000,0.00,,1/1/1970,1970,,3,3.30%,38,90,1.43%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       33.99,,,1/26/2015,,1/26/2015,,,,,5.24%,$             33.99,1.78,52.53,30.19,41.06,17%,55%,3.39%,5.90%,5.44%,24.02%,46.33%,7.5825,4.34%,-5.50%,,2001,0.00,,1/1/1971,1971,,4,3.35%,45,135,1.70%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       34.47,,,2/2/2015,,2/2/2015,,,,,5.17%,$             34.47,1.78,52.53,30.19,41.06,19%,52%,3.39%,5.90%,5.37%,22.32%,44.32%,7.5825,4.34%,-4.19%,,2002,1.00,,1/1/1972,1972,,5,3.40%,65,200,2.45%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       34.42,,,2/9/2015,,2/9/2015,,,,,5.18%,$             34.42,1.78,52.53,30.19,41.06,19%,53%,3.39%,5.90%,5.37%,22.49%,44.52%,7.5825,4.34%,-4.32%,,2003,1.00,0.00%,1/1/1973,1973,,6,3.45%,66,266,2.49%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        34.14,,,2/17/2015,,2/17/2015,,,,,5.22%,$              34.14,1.78,52.53,30.19,41.06,18%,54%,3.39%,5.90%,5.42%,23.51%,45.72%,7.5825,4.34%,-5.11%,,2004,1.00,0.00%,1/1/1974,1974,,7,3.50%,51,317,1.92%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       34.60,,,2/23/2015,,2/23/2015,,,,,5.15%,$             34.60,1.78,52.53,30.19,41.06,20%,52%,3.39%,5.90%,5.35%,21.85%,43.77%,7.5825,4.34%,-3.82%,,2005,1.00,0.00%,1/1/1975,1975,,8,3.55%,48,365,1.81%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       34.49,,,3/2/2015,,3/2/2015,,,,,5.17%,$             34.49,1.78,52.53,30.19,41.06,19%,52%,3.39%,5.90%,5.36%,22.25%,44.24%,7.5825,4.34%,-4.13%,,2006,1.00,0.00%,1/1/1976,1976,,9,3.60%,57,422,2.15%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       33.75,,,3/9/2015,,3/9/2015,,,,,5.28%,$             33.75,1.78,52.53,30.19,41.06,16%,56%,3.39%,5.90%,5.48%,24.93%,47.40%,7.5825,4.34%,-6.19%,,2007,1.00,0.00%,1/1/1977,1977,,10,3.65%,69,491,2.60%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       33.42,,,3/16/2015,,3/16/2015,,,,,5.33%,$             33.42,1.78,52.53,30.19,41.06,14%,57%,3.39%,5.90%,5.54%,26.17%,48.86%,7.5825,4.34%,-7.11%,,2008,1.00,0.00%,1/1/1978,1978,,11,3.70%,61,552,2.30%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       33.58,,,3/23/2015,,3/23/2015,,,,,5.31%,$             33.58,1.78,52.53,30.19,41.06,15%,56%,3.39%,5.90%,5.51%,25.56%,48.15%,7.5825,4.34%,-6.66%,,2009,0.33,-67.50%,1/1/1979,1979,,12,3.75%,77,629,2.90%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        34.51,,,3/30/2015,,3/30/2015,,,,,5.16%,$              34.51,1.78,52.53,30.19,41.06,19%,52%,3.39%,5.90%,5.36%,22.15%,44.12%,7.5825,4.34%,-4.05%,,2010,0.40,23.08%,1/1/1980,1980,,13,3.80%,98,727,3.69%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       30.85,,,4/6/2015,,4/6/2015,,,,,5.78%,$             30.85,1.78,52.53,30.19,41.06,3%,70%,3.39%,5.90%,6.00%,36.66%,61.24%,7.5825,4.34%,-14.24%,,2011,0.98,143.75%,1/1/1981,1981,,14,3.85%,123,850,4.63%
