,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,IPN FP,Ipsen SA,,,,,,,,,,94%,3%,$     158.40,$            76.11,$         108.51,$           172.90,$        163.50,2.71%,0.73%,1.11%,3.25%,328.57%,328.57%,123%,,,,,,,NO,,,2.08%,0.67%,1.41%,0.02%,70
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Ipsen SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.58%,11/10/2017,,,,,,,,,,$         108.51,-31%,0.76%,$        163.50,$          76.86,$             36.96,$           53.91,0.65%,1.58%,1.11%,0.69%,-8.39%,-8.39%,-36%,,,,5Y CAGR,3.71%,,Ipsen SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.51%,,Ipsen SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Ipsen SA - Rating: 94% - Upside: 3%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        61.00,,,12/29/2014,,12/29/2014,,,,,1.39%,€                61.00,0.85,115.81,53.91,76.86,11%,90%,0.73%,1.58%,1.97%,159.67%,165.74%,3.7,1.11%,0.00%,,1997,0.00,-,94,,,0,0.67%,30,30,1.11%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         59.70,,,1/5/2015,,1/5/2015,,,,,1.42%,€               59.70,0.85,115.81,53.91,76.86,9%,94%,0.73%,1.58%,2.01%,165.33%,171.52%,3.7,1.11%,-2.13%,,1998,0.00,,3,,,1,0.69%,48,78,1.78%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                          60.17,,,1/12/2015,,1/12/2015,,,,,1.41%,€                60.17,0.85,115.81,53.91,76.86,10%,92%,0.73%,1.58%,1.99%,163.25%,169.40%,3.7,1.11%,-1.36%,,1999,0.00,,,,,2,0.71%,47,125,1.74%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         59.83,,,1/19/2015,,1/20/2015,,,,,1.42%,€               59.83,0.85,115.81,53.91,76.86,10%,94%,0.73%,1.58%,2.01%,164.75%,170.93%,3.7,1.11%,-1.92%,,2000,0.00,,1/1/1970,1970,,3,0.73%,102,227,3.77%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          58.61,,,1/26/2015,,1/26/2015,,,,,1.45%,€                58.61,0.85,115.81,53.91,76.86,8%,98%,0.73%,1.58%,2.05%,170.26%,176.57%,3.7,1.11%,-3.92%,,2001,0.00,,1/1/1971,1971,,4,0.75%,71,298,2.63%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         58.30,,,2/2/2015,,2/2/2015,,,,,1.46%,€               58.30,0.85,115.81,53.91,76.86,7%,99%,0.73%,1.58%,2.06%,171.70%,178.04%,3.7,1.11%,-4.43%,,2002,0.00,,1/1/1972,1972,,5,0.77%,68,366,2.52%
