,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,IPX LN,Impax Asset Management Group P,,,,,,,,,,-1%,2658%,$     108.00,$        147.36,$       929.75,$       1.482,00,$  2.978,67,29.71%,0.93%,5.22%,68.16%,166.73%,195.87%,134%,,,,,,,NO,,,28.19%,0.74%,27.45%,0.01%,2745
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Impax Asset Management Group P - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,18.73%,11/10/2017,,,,,,,,,,$       929.75,761%,25.56%,$  2.978,67,$          57.27,$             40.49,$             9.08,0.70%,18.73%,2.97%,1.86%,-92.71%,-92.71%,-2%,,,,5Y CAGR,21.56%,,Impax Asset Management Group P - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,32.14%,,Impax Asset Management Group P - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Impax Asset Management Group P - Rating: -1% - Upside: 2658%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       40.62,,,12/29/2014,,12/29/2014,,,,,4.19%,40.62,1.70,183.47,9.08,57.27,18%,352%,0.93%,18.73%,67.95%,165.89%,194.94%,11.8,2.97%,0.00%,,1997,0.00,-,-1,,,0,0.74%,11,11,0.41%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,41.35,,,1/5/2015,,1/5/2015,,,,,4.11%,41.35,1.70,183.47,9.08,57.27,19%,344%,0.93%,18.73%,66.75%,161.18%,189.72%,11.8,2.97%,0.00%,,1998,0.00,,2658,,,1,0.75%,4,15,0.15%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,41.72,,,1/12/2015,,1/12/2015,,,,,4.08%,41.72,1.70,183.47,9.08,57.27,19%,340%,0.93%,18.73%,66.16%,158.89%,187.17%,11.8,2.97%,0.00%,,1999,0.00,,,,,2,0.76%,5,20,0.19%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,41.72,,,1/19/2015,,1/20/2015,,,,,4.08%,41.72,1.70,183.47,9.08,57.27,19%,340%,0.93%,18.73%,66.16%,158.89%,187.17%,11.8,2.97%,0.00%,,2000,0.00,,1/1/1970,1970,,3,0.77%,4,24,0.15%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,41.72,,,1/26/2015,,1/26/2015,,,,,4.08%,41.72,1.70,183.47,9.08,57.27,19%,340%,0.93%,18.73%,66.16%,158.89%,187.17%,11.8,2.97%,0.00%,,2001,0.00,,1/1/1971,1971,,4,0.78%,2,26,0.07%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,41.72,,,2/2/2015,,2/2/2015,,,,,4.08%,41.72,1.70,183.47,9.08,57.27,19%,340%,0.93%,18.73%,66.16%,158.89%,187.17%,11.8,2.97%,0.00%,,2002,0.00,,1/1/1972,1972,,5,0.79%,8,34,0.30%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,41.72,,,2/9/2015,,2/9/2015,,,,,4.08%,41.72,1.70,183.47,9.08,57.27,19%,340%,0.93%,18.73%,66.16%,158.89%,187.17%,11.8,2.97%,0.00%,,2003,0.00,,1/1/1973,1973,,6,0.80%,11,45,0.41%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,41.96,,,2/16/2015,,2/17/2015,,,,,4.05%,41.96,1.70,183.47,9.08,57.27,19%,337%,0.93%,18.73%,65.78%,157.38%,185.50%,11.8,2.97%,0.00%,,2004,0.00,,1/1/1974,1974,,7,0.81%,4,49,0.15%
