,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,JDG LN,Judges Scientific PLC,,,,,,,,,,1%,139%,$4.590,00,$   4.524,13,$  7.980,00,$    12.250,00,$10.952,80,2.36%,0.79%,1.23%,7.23%,285.71%,296.76%,131%,,,,,,,NO,,,2.09%,0.69%,1.40%,0.02%,70
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Judges Scientific PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.90%,11/10/2017,,,,,,,,,,$  7.980,00,74%,1.87%,$10.952,80,$  2.403,28,$        1.190,00,$   1.362,50,0.67%,1.90%,1.08%,0.70%,-62.53%,-62.53%,-14%,,,,5Y CAGR,8.38%,,Judges Scientific PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,12.75%,,Judges Scientific PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Judges Scientific PLC - Rating: 1% - Upside: 139%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                 1.475,00,,,12/29/2014,,12/29/2014,,,,,1.76%,1.475,00,25.90,3.298,58,1.362,50,2.403,28,6%,124%,0.79%,1.90%,5.83%,211.19%,220.09%,131.4,1.08%,0.00%,,1997,0.00,-,1,,,0,0.69%,17,17,0.63%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.410,00,,,1/5/2015,,1/5/2015,,,,,1.84%,1.410,00,25.90,3.298,58,1.362,50,2.403,28,2%,134%,0.79%,1.90%,6.10%,225.53%,234.85%,131.4,1.08%,-4.41%,,1998,0.00,,139,,,1,0.71%,13,30,0.48%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.385,00,,,1/12/2015,,1/12/2015,,,,,1.87%,1.385,00,25.90,3.298,58,1.362,50,2.403,28,1%,138%,0.79%,1.90%,6.21%,231.41%,240.90%,131.4,1.08%,-6.10%,,1999,0.00,,,,,2,0.73%,32,62,1.19%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.385,00,,,1/19/2015,,1/20/2015,,,,,1.87%,1.385,00,25.90,3.298,58,1.362,50,2.403,28,1%,138%,0.79%,1.90%,6.21%,231.41%,240.90%,131.4,1.08%,-6.10%,,2000,0.00,,1/1/1970,1970,,3,0.75%,50,112,1.85%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.417,50,,,1/26/2015,,1/26/2015,,,,,1.83%,1.417,50,25.90,3.298,58,1.362,50,2.403,28,3%,133%,0.79%,1.90%,6.07%,223.81%,233.08%,131.4,1.08%,-3.90%,,2001,0.00,,1/1/1971,1971,,4,0.77%,25,137,0.93%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.380,00,,,2/2/2015,,2/2/2015,,,,,1.88%,1.380,00,25.90,3.298,58,1.362,50,2.403,28,1%,139%,0.79%,1.90%,6.23%,232.61%,242.13%,131.4,1.08%,-6.44%,,2002,0.00,,1/1/1972,1972,,5,0.79%,48,185,1.78%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,1.350,00,,,2/9/2015,,2/9/2015,,,,,1.92%,1.350,00,25.90,3.298,58,1.362,50,2.403,28,-1%,144%,0.79%,1.90%,6.37%,240.00%,249.73%,131.4,1.08%,-8.47%,,2003,0.00,,1/1/1973,1973,,6,0.81%,70,255,2.59%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,1.342,50,,,2/16/2015,,2/17/2015,,,,,1.93%,1.342,50,25.90,3.298,58,1.362,50,2.403,28,-1%,146%,0.79%,1.90%,6.41%,241.90%,251.69%,131.4,1.08%,-8.98%,,2004,0.00,,1/1/1974,1974,,7,0.83%,60,315,2.22%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,1.340,00,,,2/23/2015,,2/23/2015,,,,,1.93%,1.340,00,25.90,3.298,58,1.362,50,2.403,28,-1%,146%,0.79%,1.90%,6.42%,242.54%,252.34%,131.4,1.08%,-9.15%,,2005,0.00,,1/1/1975,1975,,8,0.85%,64,379,2.37%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,1.360,00,,,3/2/2015,,3/2/2015,,,,,1.90%,1.360,00,25.90,3.298,58,1.362,50,2.403,28,0%,143%,0.79%,1.90%,6.32%,237.50%,247.16%,131.4,1.08%,-7.80%,,2006,1.00,,1/1/1976,1976,,9,0.87%,72,451,2.67%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,1.362,50,,,3/9/2015,,3/9/2015,,,,,1.90%,1.362,50,25.90,3.298,58,1.362,50,2.403,28,0%,142%,0.79%,1.90%,6.31%,236.88%,246.52%,131.4,1.08%,-7.63%,,2007,3.10,210.00%,1/1/1977,1977,,10,0.89%,125,576,4.63%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,1.445,00,,,3/16/2015,,3/16/2015,,,,,1.79%,1.445,00,25.90,3.298,58,1.362,50,2.403,28,4%,128%,0.79%,1.90%,5.95%,217.65%,226.74%,131.4,1.08%,-2.03%,,2008,3.40,9.68%,1/1/1978,1978,,11,0.91%,131,707,4.85%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,1.445,00,,,3/23/2015,,3/23/2015,,,,,1.79%,1.445,00,25.90,3.298,58,1.362,50,2.403,28,4%,128%,0.79%,1.90%,5.95%,217.65%,226.74%,131.4,1.08%,-2.03%,,2009,3.70,8.82%,1/1/1979,1979,,12,0.93%,144,851,5.34%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,1.445,00,,,3/30/2015,,3/30/2015,,,,,1.79%,1.445,00,25.90,3.298,58,1.362,50,2.403,28,4%,128%,0.79%,1.90%,5.95%,217.65%,226.74%,131.4,1.08%,-2.03%,,2010,6.20,67.57%,1/1/1980,1980,,13,0.95%,98,949,3.63%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,1.455,00,,,4/7/2015,,4/6/2015,,,,,1.78%,1.455,00,25.90,3.298,58,1.362,50,2.403,28,5%,127%,0.79%,1.90%,5.91%,215.46%,224.49%,131.4,1.08%,-1.36%,,2011,8.30,33.87%,1/1/1981,1981,,14,0.97%,105,1054,3.89%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,1.455,00,,,4/13/2015,,4/13/2015,,,,,1.78%,1.455,00,25.90,3.298,58,1.362,50,2.403,28,5%,127%,0.79%,1.90%,5.91%,215.46%,224.49%,131.4,1.08%,-1.36%,,2012,11.70,40.96%,1/1/1982,1982,,15,0.99%,88,1142,3.26%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,1.455,00,,,4/20/2015,,4/20/2015,,,,,1.78%,1.455,00,25.90,3.298,58,1.362,50,2.403,28,5%,127%,0.79%,1.90%,5.91%,215.46%,224.49%,131.4,1.08%,-1.36%,,2013,16.60,41.88%,1/1/1983,1983,,16,1.01%,78,1220,2.89%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,1.465,00,,,4/27/2015,,4/27/2015,,,,,1.77%,1.465,00,25.90,3.298,58,1.362,50,2.403,28,5%,125%,0.79%,1.90%,5.87%,213.31%,222.28%,131.4,1.08%,-0.68%,,2014,20.70,24.70%,1/1/1984,1984,,17,1.03%,61,1281,2.26%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,1.465,00,,,5/5/2015,,5/4/2015,,,,,1.77%,1.465,00,25.90,3.298,58,1.362,50,2.403,28,5%,125%,0.79%,1.90%,5.87%,213.31%,222.28%,131.4,1.08%,-0.68%,,2015,22.80,10.14%,1/1/1985,1985,,18,1.05%,37,1318,1.37%
